#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	248956422	52917653	230145578	92.4441	31.5209	255	53.2
chr2	1	242193529	52049847	240229951	99.1893	31.51	255	55.8
chr3	1	198295559	41200914	197903454	99.8023	30.8665	255	58.2
chr4	1	190214555	39992399	189529028	99.6396	30.8416	255	55.8
chr5	1	181538259	37705293	178829900	98.5081	30.6986	255	56.9
chr6	1	170805979	35159476	170002521	99.5296	30.5867	255	58.2
chr7	1	159345973	33197691	158651906	99.5644	30.871	255	56.4
chr8	1	145138636	29894701	144629542	99.6492	30.6154	255	57.4
chr9	1	138394717	25521269	121474806	87.7742	27.382	255	54.7
chr10	1	133797422	29117191	132378651	98.9396	31.9247	255	55.7
chr11	1	135086622	28020597	134388464	99.4832	30.8237	255	57.6
chr12	1	133275309	28007622	133016641	99.8059	31.1201	255	57.7
chr13	1	114364328	21100292	97887479	85.5927	27.4387	255	54.7
chr14	1	107043718	18656335	88380598	82.565	25.817	255	58.1
chr15	1	101991189	18079648	84520007	82.8699	26.2617	255	55
chr16	1	90338345	19739022	81756026	90.4998	32.2031	255	51.5
chr17	1	83257441	18309247	82141973	98.6602	32.238	255	55.5
chr18	1	80373285	16469709	79907920	99.421	30.4492	255	55
chr19	1	58617616	12534724	55731940	95.0771	31.5211	255	57.9
chr20	1	64444167	14504591	63625159	98.7291	32.9442	255	54.3
chr21	1	46709983	9526642	37983201	81.3171	29.6726	255	46.8
chr22	1	50818468	8797092	37035362	72.8778	25.463	255	54
chrX	1	156040895	16019086	154630142	99.0959	15.1696	255	55.5
chrY	1	57227415	5132744	23620990	41.2757	12.0854	255	21.5
chrM	1	16569	1273695	16569	100	11428.9	255	56.7
chr1_KI270706v1_random	1	175055	45801	175035	99.9886	38.7536	255	36
chr1_KI270707v1_random	1	32032	7839	32018	99.9563	36.1957	255	37.6
chr1_KI270708v1_random	1	127682	18869	127655	99.9789	21.4196	255	38.4
chr1_KI270709v1_random	1	66860	231099	66860	100	508.475	255	16.4
chr1_KI270710v1_random	1	40176	10377	40150	99.9353	38.5358	255	34.1
chr1_KI270711v1_random	1	42210	29846	42183	99.936	105.554	255	24.8
chr1_KI270712v1_random	1	176043	44989	175638	99.7699	35.5146	255	20.2
chr1_KI270713v1_random	1	40745	18576	40730	99.9632	67.9978	255	33
chr1_KI270714v1_random	1	41717	19102	41712	99.988	67.895	255	33.8
chr2_KI270715v1_random	1	161471	43553	161228	99.8495	39.9325	255	10.1
chr2_KI270716v1_random	1	153799	31592	142965	92.9557	30.0704	255	7.27
chr3_GL000221v1_random	1	155397	62482	154706	99.5553	59.8713	255	12.5
chr4_GL000008v2_random	1	209709	94871	209702	99.9967	60.7988	255	31.8
chr5_GL000208v1_random	1	92689	30354	92600	99.904	48.3717	255	34.9
chr9_KI270717v1_random	1	40062	6801	40055	99.9825	24.3138	255	13.5
chr9_KI270718v1_random	1	38054	11921	37727	99.1407	45.9482	255	12.4
chr9_KI270719v1_random	1	176845	46994	174495	98.6712	39.4905	255	29.5
chr9_KI270720v1_random	1	39050	12434	39050	100	47.0942	255	44.9
chr11_KI270721v1_random	1	100316	12991	97530	97.2228	19.2026	255	5.4
chr14_GL000009v2_random	1	201709	85505	201681	99.9861	62.8886	255	32.6
chr14_GL000225v1_random	1	211173	578890	211097	99.964	363.53	255	22
chr14_KI270722v1_random	1	194050	44917	194050	100	34.2107	255	45.1
chr14_GL000194v1_random	1	191469	73106	191449	99.9896	56.3844	255	30.9
chr14_KI270723v1_random	1	38115	26508	38113	99.9948	98.804	255	35.9
