## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
tx	44042	34765285	49567	96068	20116	7153409	0	0.205922	72442437

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	non_optical_sets
1.0	1	21764769	21764769
2.0	1.618844	4771040	4771040
3.0	2.001812	885664	885664
4.0	2.238809	157483	157483
5.0	2.385473	27236	27236
6.0	2.476236	4676	4676
7.0	2.532403	833	833
8.0	2.567162	146	146
9.0	2.588673	23	23
10.0	2.601984	6	6
11.0	2.610222	1	1
12.0	2.61532	0	0
13.0	2.618475	0	0
14.0	2.620427	0	0
15.0	2.621635	0	0
16.0	2.622383	0	0
17.0	2.622846	0	0
18.0	2.623132	0	0
19.0	2.623309	0	0
20.0	2.623419	0	0
21.0	2.623487	0	0
22.0	2.623529	0	0
23.0	2.623555	0	0
24.0	2.623571	0	0
25.0	2.623581	0	0
26.0	2.623587	0	0
27.0	2.623591	0	0
28.0	2.623593	0	0
29.0	2.623595	0	0
30.0	2.623596	0	0
31.0	2.623596	0	0
32.0	2.623597	0	0
33.0	2.623597	0	0
34.0	2.623597	0	0
35.0	2.623597	0	0
36.0	2.623597	0	0
37.0	2.623597	0	0
38.0	2.623597	0	0
39.0	2.623597	0	0
40.0	2.623597	0	0
41.0	2.623597	0	0
42.0	2.623597	0	0
43.0	2.623597	0	0
44.0	2.623597	0	0
45.0	2.623597	0	0
46.0	2.623597	0	0
47.0	2.623597	0	0
48.0	2.623597	0	0
49.0	2.623597	0	0
50.0	2.623597	0	0
51.0	2.623597	0	0
52.0	2.623597	0	0
53.0	2.623597	0	0
54.0	2.623597	0	0
55.0	2.623597	0	0
56.0	2.623597	0	0
57.0	2.623597	0	0
58.0	2.623597	0	0
59.0	2.623597	0	0
60.0	2.623597	0	0
61.0	2.623597	0	0
62.0	2.623597	0	0
63.0	2.623597	0	0
64.0	2.623597	0	0
65.0	2.623597	0	0
66.0	2.623597	0	0
67.0	2.623597	0	0
68.0	2.623597	0	0
69.0	2.623597	0	0
70.0	2.623597	0	0
71.0	2.623597	0	0
72.0	2.623597	0	0
73.0	2.623597	0	0
74.0	2.623597	0	0
75.0	2.623597	0	0
76.0	2.623597	0	0
77.0	2.623597	0	0
78.0	2.623597	0	0
79.0	2.623597	0	0
80.0	2.623597	0	0
81.0	2.623597	0	0
82.0	2.623597	0	0
83.0	2.623597	0	0
84.0	2.623597	0	0
85.0	2.623597	0	0
86.0	2.623597	0	0
87.0	2.623597	0	0
88.0	2.623597	0	0
89.0	2.623597	0	0
90.0	2.623597	0	0
91.0	2.623597	0	0
92.0	2.623597	0	0
93.0	2.623597	0	0
94.0	2.623597	0	0
95.0	2.623597	0	0
96.0	2.623597	0	0
97.0	2.623597	0	0
98.0	2.623597	0	0
99.0	2.623597	0	0
100.0	2.623597	0	0
