pos	3pG>A
1	0.167487684729064
2	0.0893854748603352
3	0.0261780104712042
4	0.063953488372093
5	0.0336538461538462
6	0.0382775119617225
7	0.0441176470588235
8	0.0162162162162162
9	0.0222222222222222
10	0.0103092783505155
11	0.0256410256410256
12	0.0207253886010363
13	0.032258064516129
14	0.0297029702970297
15	0.0277777777777778
16	0.0153846153846154
17	0.00454545454545455
18	0.0206185567010309
19	0.0150753768844221
20	0.0109289617486339
21	0.0102564102564103
22	0.0167597765363128
23	0.00909090909090909
24	0.0110497237569061
25	0.00921658986175115
