sample	insert_size	fr_count	rf_count	tandem_count
HG03953	1	0	30	43
HG03953	2	106	36	7
HG03953	3	118	31	10
HG03953	4	115	33	9
HG03953	5	104	35	8
HG03953	6	101	23	4
HG03953	7	122	28	4
HG03953	8	106	31	9
HG03953	9	105	36	4
HG03953	10	119	30	8
HG03953	11	134	30	7
HG03953	12	107	20	5
HG03953	13	116	24	5
HG03953	14	146	24	3
HG03953	15	95	23	2
HG03953	16	142	22	5
HG03953	17	122	23	2
HG03953	18	134	30	4
HG03953	19	173	30	4
HG03953	20	166	31	0
HG03953	21	175	25	4
HG03953	22	209	27	2
HG03953	23	243	30	5
HG03953	24	161	34	5
HG03953	25	182	30	0
HG03953	26	158	17	2
HG03953	27	190	27	1
HG03953	28	208	36	1
HG03953	29	170	32	3
HG03953	30	171	26	1
HG03953	31	149	26	1
HG03953	32	168	25	2
HG03953	33	162	24	2
HG03953	34	402	17	4
HG03953	35	167	20	3
HG03953	36	166	24	4
HG03953	37	166	24	4
HG03953	38	187	32	4
HG03953	39	185	25	2
HG03953	40	221	24	1
HG03953	41	208	20	1
HG03953	42	187	17	5
HG03953	43	247	27	2
HG03953	44	221	15	0
HG03953	45	241	29	2
HG03953	46	260	24	2
HG03953	47	249	21	1
HG03953	48	265	18	3
HG03953	49	285	23	2
HG03953	50	282	25	3
HG03953	51	315	23	2
HG03953	52	272	21	1
HG03953	53	290	19	7
HG03953	54	318	17	3
HG03953	55	294	21	2
HG03953	56	273	23	0
HG03953	57	299	27	4
HG03953	58	297	16	3
HG03953	59	330	19	2
HG03953	60	313	22	1
HG03953	61	322	13	2
HG03953	62	311	17	1
HG03953	63	287	28	3
HG03953	64	361	20	1
HG03953	65	311	15	7
HG03953	66	326	19	6
HG03953	67	326	18	1
HG03953	68	379	16	3
HG03953	69	348	16	2
HG03953	70	351	12	3
HG03953	71	360	18	2
HG03953	72	409	19	5
HG03953	73	385	15	2
HG03953	74	382	18	3
HG03953	75	390	12	2
HG03953	76	430	16	1
HG03953	77	390	19	1
HG03953	78	399	20	1
HG03953	79	491	23	1
HG03953	80	416	19	2
HG03953	81	441	19	2
HG03953	82	410	13	2
HG03953	83	449	18	4
HG03953	84	491	13	3
HG03953	85	445	28	1
HG03953	86	473	16	5
HG03953	87	445	14	1
HG03953	88	458	14	0
HG03953	89	444	10	4
HG03953	90	427	14	3
HG03953	91	491	12	5
HG03953	92	489	14	0
HG03953	93	482	9	5
HG03953	94	532	15	0
HG03953	95	509	12	0
HG03953	96	505	9	3
HG03953	97	485	17	3
HG03953	98	496	11	3
HG03953	99	500	12	4
HG03953	100	505	12	6
HG03953	101	528	17	4
HG03953	102	445	19	2
HG03953	103	548	13	7
HG03953	104	535	18	3
HG03953	105	551	21	4
HG03953	106	540	12	5
HG03953	107	506	15	5
HG03953	108	522	12	9
HG03953	109	551	12	5
HG03953	110	574	7	6
HG03953	111	503	18	3
HG03953	112	620	18	3
HG03953	113	582	13	1
HG03953	114	584	10	3
HG03953	115	600	7	4
HG03953	116	600	11	5
HG03953	117	599	11	3
HG03953	118	640	14	3
HG03953	119	634	8	4
HG03953	120	685	13	6
HG03953	121	640	10	1
HG03953	122	640	10	4
HG03953	123	618	11	1
HG03953	124	704	7	3
HG03953	125	666	14	1
HG03953	126	688	16	4
HG03953	127	652	9	4
HG03953	128	711	14	9
HG03953	129	683	7	1
HG03953	130	687	7	1
HG03953	131	733	10	4
HG03953	132	694	15	1
HG03953	133	721	16	2
HG03953	134	761	13	2
HG03953	135	731	23	4
HG03953	136	774	13	9
HG03953	137	748	9	2
HG03953	138	761	3	8
HG03953	139	832	9	1
HG03953	140	799	11	5
HG03953	141	829	7	1
HG03953	142	818	9	3
HG03953	143	816	9	0
HG03953	144	898	13	1
HG03953	145	854	16	2
HG03953	146	938	13	3
HG03953	147	877	8	1
HG03953	148	872	9	1
HG03953	149	937	19	2
HG03953	150	1000	11	4
HG03953	151	1015	5	4
HG03953	152	1067	10	3
HG03953	153	1107	8	4
HG03953	154	1069	11	4
HG03953	155	1102	5	4
HG03953	156	1162	11	4
HG03953	157	1066	14	4
HG03953	158	1143	13	2
HG03953	159	1199	8	3
HG03953	160	1247	8	3
HG03953	161	1198	5	2
HG03953	162	1207	8	6
HG03953	163	1247	11	3
HG03953	164	1342	11	3
HG03953	165	1336	7	4
HG03953	166	1425	7	5
HG03953	167	1386	5	3
HG03953	168	1481	9	4
HG03953	169	1449	8	6
HG03953	170	1425	2	3
HG03953	171	1538	8	2
HG03953	172	1603	14	6
HG03953	173	1587	9	5
HG03953	174	1676	10	1
HG03953	175	1695	10	6
HG03953	176	1678	3	3
HG03953	177	1705	11	1
HG03953	178	1867	9	7
HG03953	179	1976	9	5
HG03953	180	1881	11	10
HG03953	181	2047	14	8
HG03953	182	2132	11	0
HG03953	183	2014	13	5
HG03953	184	2016	7	4
HG03953	185	2160	10	3
HG03953	186	2151	2	3
HG03953	187	2264	6	3
HG03953	188	2362	10	8
HG03953	189	2383	8	3
HG03953	190	2500	8	7
HG03953	191	2479	10	1
HG03953	192	2631	7	2
HG03953	193	2605	5	1
