sample	insert_size	fr_count	rf_count	tandem_count
HG00240	1	0	3	19
HG00240	2	18	6	12
HG00240	3	28	9	6
HG00240	4	41	4	5
HG00240	5	36	4	9
HG00240	6	37	3	11
HG00240	7	35	8	10
HG00240	8	39	4	2
HG00240	9	41	5	3
HG00240	10	33	5	3
HG00240	11	41	3	4
HG00240	12	32	3	4
HG00240	13	48	6	3
HG00240	14	40	7	1
HG00240	15	47	3	0
HG00240	16	41	2	0
HG00240	17	41	5	1
HG00240	18	52	3	2
HG00240	19	121	4	2
HG00240	20	92	5	1
HG00240	21	74	3	1
HG00240	22	73	5	2
HG00240	23	81	8	1
HG00240	24	90	2	1
HG00240	25	84	10	0
HG00240	26	71	4	1
HG00240	27	61	8	0
HG00240	28	70	4	1
HG00240	29	59	8	1
HG00240	30	84	7	0
HG00240	31	71	6	1
HG00240	32	92	4	2
HG00240	33	90	9	3
HG00240	34	91	7	1
HG00240	35	91	9	1
HG00240	36	85	12	2
HG00240	37	109	7	1
HG00240	38	109	6	2
HG00240	39	90	9	2
HG00240	40	97	13	4
HG00240	41	88	10	1
HG00240	42	97	10	3
HG00240	43	114	14	2
HG00240	44	136	11	1
HG00240	45	98	13	1
HG00240	46	132	14	0
HG00240	47	103	8	2
HG00240	48	132	12	4
HG00240	49	112	11	0
HG00240	50	102	12	1
HG00240	51	130	20	0
HG00240	52	120	14	4
HG00240	53	135	14	2
HG00240	54	158	16	0
HG00240	55	137	14	2
HG00240	56	146	11	0
HG00240	57	150	15	3
HG00240	58	163	13	3
HG00240	59	166	22	2
HG00240	60	125	22	4
HG00240	61	159	20	1
HG00240	62	142	16	1
HG00240	63	165	19	1
HG00240	64	189	13	5
HG00240	65	168	24	1
HG00240	66	134	23	0
HG00240	67	160	20	0
HG00240	68	175	27	3
HG00240	69	212	28	4
HG00240	70	179	27	3
HG00240	71	206	30	3
HG00240	72	219	39	3
HG00240	73	235	38	1
HG00240	74	272	32	0
HG00240	75	285	53	2
HG00240	76	253	28	3
HG00240	77	282	36	3
HG00240	78	288	50	0
HG00240	79	348	48	3
HG00240	80	374	65	4
HG00240	81	368	58	1
HG00240	82	380	43	5
HG00240	83	374	71	4
HG00240	84	468	76	0
HG00240	85	539	72	3
HG00240	86	601	94	4
