Transcript Id	Gene Name	Read Location	Mate Location	Same Chromosome
		12:18151429-18151529	12:20436124	true
ENSMUST00000063216	5730507C01Rik	12:18514850-18531696	12:21013030	true
ENSMUST00000063216	5730507C01Rik	12:18514855-18531701	12:20633164	true
ENSMUST00000063216	5730507C01Rik	12:18514857-18531703	12:20633219	true
ENSMUST00000063216	5730507C01Rik	12:18531971-18533402	12:21015140	true
ENSMUST00000063216	5730507C01Rik	12:18531972-18533403	12:21015069	true
		12:18873443-18873543	12:21016377	true
		12:18873443-18873543	12:21016377	true
		12:20436124-20436180	12:18151429	true
		12:20633164-20633466	12:18514855	true
		12:20633219-20635173	12:18514857	true
ENSMUST00000174530	Gm21989	12:21013030-21013332	12:18514850	true
ENSMUST00000174530	Gm21989	12:21015065-21015165	12:18403089	true
ENSMUST00000174530	Gm21989	12:21015069-21015169	12:18531972	true
ENSMUST00000174530	Gm21989	12:21015140-21015239	12:18531971	true
ENSMUST00000174530	Gm21989	12:21016377-21016477	12:18873443	true
ENSMUST00000174530	Gm21989	12:21016377-21016477	12:18873443	true
ENSMUST00000174530	Gm21989	12:21046014-21046089	12:18908837	true
ENSMUST00000101538	9030624G23Rik	12:24074411-24074713	12:21759519	true
ENSMUST00000101538	9030624G23Rik	12:24096900-24096987	12:21881948	true
ENSMUST00000169148	Gm9312	12:24217617-24252091	12:21996108	true
		12:24313436-24313536	12:22104684	true
		4:145390193-145390281	4:147478017	true
ENSMUST00000150529	Platr16	4:145449665-145449757	4:147583896	true
ENSMUST00000150529	Platr16	4:145449683-145449772	4:147514815	true
ENSMUST00000150529	Platr16	4:145449706-145449795	4:147513052	true
ENSMUST00000150529	Platr16	4:145449724-145449811	4:147514853	true
ENSMUST00000120870	Gm13230	4:145449988-145450071	4:147514579	true
ENSMUST00000120870	Gm13230	4:145449995-145450071	4:147513054	true
ENSMUST00000120870	Gm13230	4:145450554-145450654	4:147514185	true
ENSMUST00000105742	Gm13225	4:145537814-145537914	4:147584242	true
ENSMUST00000105742	Gm13225	4:145537839-145537938	4:147584272	true
ENSMUST00000181752	C230088H06Rik	4:147478017-147478103	4:145390193	true
ENSMUST00000105721	Gm13152	4:147499857-147499954	4:145439804	true
ENSMUST00000105721	Gm13152	4:147513052-147513152	4:145449706	true
ENSMUST00000105721	Gm13152	4:147513054-147513152	4:145449995	true
ENSMUST00000105721	Gm13152	4:147513083-147513182	4:145450345	true
		4:147514185-147514267	4:145450554	true
		4:147514579-147514677	4:145449988	true
		4:147514815-147514914	4:145449683	true
		4:147514853-147514933	4:145449724	true
ENSMUST00000081742	Gm13154	4:147583802-147583902	4:145537837	true
ENSMUST00000081742	Gm13154	4:147583896-147584164	4:145449665	true
ENSMUST00000081742	Gm13154	4:147584242-147584342	4:145537814	true
ENSMUST00000081742	Gm13154	4:147584272-147584372	4:145537839	true
