fraction	read_pairs	cs_families	ss_families	mean_ss_family_size	ss_singletons	ss_singleton_fraction	ss_consensus_families
0.05	318	287	287	1.10801393728223	259	0.9024390243902439	287
0.1	624	530	531	1.1751412429378532	450	0.847457627118644	531
0.15	925	728	729	1.2688614540466392	563	0.7722908093278463	729
0.2	1220	897	898	1.358574610244989	652	0.7260579064587973	898
0.25	1502	1047	1048	1.433206106870229	711	0.6784351145038168	1048
0.3	1817	1197	1198	1.51669449081803	760	0.6343906510851419	1198
0.35	2140	1327	1328	1.6114457831325302	784	0.5903614457831325	1328
0.4	2456	1428	1429	1.7186843946815955	796	0.5570328901329601	1429
0.45	2768	1520	1521	1.8198553583168968	786	0.5167652859960552	1521
0.5	3052	1591	1592	1.9170854271356783	776	0.48743718592964824	1592
0.55	3361	1663	1664	2.019831730769231	734	0.4411057692307692	1664
0.6	3648	1718	1719	2.1221640488656197	713	0.4147760325770797	1719
0.65	3962	1781	1782	2.22334455667789	696	0.39057239057239057	1782
0.7	4279	1834	1835	2.3318801089918257	676	0.3683923705722071	1835
0.75	4578	1875	1876	2.4402985074626864	643	0.3427505330490405	1876
0.8	4881	1906	1907	2.5595175668589407	599	0.31410592553749345	1907
0.85	5189	1938	1939	2.676121712222795	564	0.29087158329035584	1939
0.9	5469	1962	1963	2.7860417727967395	518	0.26388181355068774	1963
0.95	5799	1988	1989	2.9155354449472095	463	0.23278029160382102	1989
1	6072	1999	2000	3.036	429	0.2145	2000
