## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectGcBiasMetrics CHART_OUTPUT=SRR4238379_subsamp.sorted.gc_bias_metrics.pdf SUMMARY_OUTPUT=SRR4238379_subsamp.sorted.summary_metrics.txt INPUT=SRR4238379_subsamp.sorted.bam OUTPUT=SRR4238379_subsamp.sorted.gc_bias_metrics.txt REFERENCE_SEQUENCE=genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Apr 05 11:16:02 UTC 2017

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	0	886	0	0	0	0			
All Reads	1	2199	1	0	0.057503	0.057503			
All Reads	2	3458	0	0	0	0			
All Reads	3	3800	1	0	0.033276	0.033276			
All Reads	4	4027	0	0	0	0			
All Reads	5	3777	1	0	0.033479	0.033479			
All Reads	6	3431	1	0	0.036855	0.036855			
All Reads	7	2923	0	0	0	0			
All Reads	8	2865	0	0	0	0			
All Reads	9	2412	0	0	0	0			
All Reads	10	2766	0	0	0	0			
All Reads	11	2940	0	0	0	0			
All Reads	12	2998	0	0	0	0			
All Reads	13	3348	1	0	0.037768	0.037768			
All Reads	14	3618	9	0	0.314549	0.10485			
All Reads	15	4650	16	26	0.435092	0.108773			
All Reads	16	5520	35	0	0.801758	0.135522			
All Reads	17	7380	38	30	0.651091	0.105621			
All Reads	18	9733	53	31	0.688563	0.094581			
All Reads	19	13207	149	29	1.426581	0.11687			
All Reads	20	18144	134	30	0.933869	0.080674			
All Reads	21	25053	153	29	0.772229	0.062431			
All Reads	22	32875	279	31	1.073131	0.064247			
All Reads	23	44420	264	28	0.751519	0.046253			
All Reads	24	60937	339	29	0.70345	0.038206			
All Reads	25	82091	419	30	0.645406	0.03153			
All Reads	26	111609	552	31	0.625395	0.026619			
All Reads	27	148682	648	29	0.551101	0.021649			
All Reads	28	190536	801	30	0.531582	0.018783			
All Reads	29	243757	903	29	0.46843	0.015588			
All Reads	30	307251	1178	29	0.484804	0.014125			
All Reads	31	381273	1498	30	0.49681	0.012836			
All Reads	32	459403	2171	28	0.597558	0.012825			
All Reads	33	537468	2229	29	0.524411	0.011108			
All Reads	34	611917	2715	29	0.561037	0.010767			
All Reads	35	681845	3206	29	0.594555	0.010501			
All Reads	36	740343	3405	29	0.581565	0.009966			
All Reads	37	774224	3882	29	0.634021	0.010176			
All Reads	38	785836	4348	29	0.699636	0.01061			
All Reads	39	775851	5080	30	0.827942	0.011616			
All Reads	40	741906	5523	29	0.941327	0.012666			
All Reads	41	694731	6010	30	1.093886	0.01411			
All Reads	42	637478	6723	29	1.333559	0.016264			
All Reads	43	566764	6423	29	1.433013	0.017881			
All Reads	44	488039	6271	29	1.624788	0.020518			
All Reads	45	409623	5987	29	1.848159	0.023886			
All Reads	46	339335	4864	30	1.812505	0.025989			
