Transcript Id	Gene Name	Read Location	Mate Location	Same Chromosome
		12:18873426-18873526	12:21016388	true
		12:18873459-18873559	12:21016413	true
		12:20243824-20243924	12:17903216	true
ENSMUST00000174530	Gm21989	12:21016388-21016488	12:18873426	true
ENSMUST00000174530	Gm21989	12:21016413-21016513	12:18873459	true
ENSMUST00000101538	9030624G23Rik	12:24074414-24074716	12:21881948	true
ENSMUST00000142549	Gm14403	2:177507249-177508484	2:175086846	true
ENSMUST00000143127	Platr16	4:145410556-145484141	4:147461490	true
ENSMUST00000143127	Platr16	4:145410559-145410652	4:147461484	true
ENSMUST00000143127	Platr16	4:145416138-145416238	4:147455730	true
ENSMUST00000143127	Platr16	4:145416553-145416653	4:147456058	true
ENSMUST00000143127	Platr16	4:145416569-145416654	4:147455998	true
ENSMUST00000150529	Platr16	4:145448976-145449076	4:147511978	true
ENSMUST00000150529	Platr16	4:145448982-145449082	4:147511987	true
ENSMUST00000150529	Platr16	4:145449486-145449569	4:147512352	true
ENSMUST00000150529	Platr16	4:145449577-145449677	4:147583801	true
ENSMUST00000150529	Platr16	4:145449582-145449682	4:147583825	true
ENSMUST00000150529	Platr16	4:145449599-145449697	4:147583802	true
ENSMUST00000150529	Platr16	4:145449602-145449702	4:147583812	true
ENSMUST00000150529	Platr16	4:145449635-145449735	4:147583785	true
ENSMUST00000150529	Platr16	4:145449651-145537541	4:147583820	true
ENSMUST00000150529	Platr16	4:145449655-145537543	4:147583802	true
ENSMUST00000150529	Platr16	4:145449658-145537548	4:147583812	true
ENSMUST00000150529	Platr16	4:145449670-145537560	4:147583781	true
ENSMUST00000150529	Platr16	4:145449670-145537560	4:147583784	true
ENSMUST00000150529	Platr16	4:145449670-145537560	4:147583812	true
ENSMUST00000150529	Platr16	4:145449671-145537561	4:147583820	true
ENSMUST00000150529	Platr16	4:145449724-145449811	4:147514934	true
ENSMUST00000150529	Platr16	4:145449724-145449811	4:147514923	true
ENSMUST00000150529	Platr16	4:145449724-145449811	4:147514873	true
ENSMUST00000150529	Platr16	4:145449724-145449811	4:147514887	true
ENSMUST00000150529	Platr16	4:145449724-145449811	4:147514939	true
ENSMUST00000150529	Platr16	4:145449724-145449811	4:147514939	true
ENSMUST00000150529	Platr16	4:145449751-145449848	4:147583853	true
ENSMUST00000150529	Platr16	4:145449752-145449852	4:147583785	true
ENSMUST00000120870	Gm13230	4:145449763-145449863	4:147583785	true
ENSMUST00000120870	Gm13230	4:145449772-145449872	4:147583785	true
ENSMUST00000120870	Gm13230	4:145449775-145449875	4:147583795	true
ENSMUST00000120870	Gm13230	4:145449820-145537542	4:147583812	true
ENSMUST00000120870	Gm13230	4:145449832-145449904	4:147512568	true
ENSMUST00000120870	Gm13230	4:145449989-145537542	4:147584283	true
ENSMUST00000120870	Gm13230	4:145449993-145537882	4:147584193	true
ENSMUST00000120870	Gm13230	4:145449998-145537552	4:147584193	true
ENSMUST00000120870	Gm13230	4:145450001-145450071	4:147513095	true
ENSMUST00000120870	Gm13230	4:145450068-145537874	4:147512634	true
ENSMUST00000120870	Gm13230	4:145450068-145537874	4:147512643	true
ENSMUST00000120870	Gm13230	4:145450254-145450348	4:147512799	true
ENSMUST00000120870	Gm13230	4:145450426-145450526	4:147512532	true
ENSMUST00000105742	Gm13225	4:145514899-145514999	4:147577072	true
ENSMUST00000105742	Gm13225	4:145514899-145514999	4:147577098	true
ENSMUST00000105742	Gm13225	4:145514899-145514999	4:147577103	true
ENSMUST00000105742	Gm13225	4:145514909-145515009	4:147577103	true
ENSMUST00000105742	Gm13225	4:145514944-145520831	4:147553423	true
ENSMUST00000105742	Gm13225	4:145537305-145537909	4:147583825	true
ENSMUST00000105742	Gm13225	4:145537305-145537573	4:147583841	true
ENSMUST00000105742	Gm13225	4:145537312-145537914	4:147583785	true
ENSMUST00000105742	Gm13225	4:145537456-145537551	4:147584215	true
ENSMUST00000105742	Gm13225	4:145537463-145537563	4:147584227	true
ENSMUST00000105742	Gm13225	4:145537520-145537869	4:147584193	true
ENSMUST00000105742	Gm13225	4:145537569-145537665	4:147583866	true
ENSMUST00000105742	Gm13225	4:145537786-145537886	4:147584193	true
ENSMUST00000105742	Gm13225	4:145537805-145537905	4:147583802	true
ENSMUST00000105742	Gm13225	4:145537810-145537910	4:147584242	true
ENSMUST00000105742	Gm13225	4:145537814-145537914	4:147584272	true
ENSMUST00000105742	Gm13225	4:145537820-145537919	4:147584279	true
ENSMUST00000105742	Gm13225	4:145537820-145537919	4:147584242	true
ENSMUST00000105742	Gm13225	4:145537821-145537917	4:147583802	true
ENSMUST00000105742	Gm13225	4:145537826-145537919	4:147584227	true
ENSMUST00000105742	Gm13225	4:145537826-145537919	4:147584230	true
ENSMUST00000105742	Gm13225	4:145537830-145537930	4:147584280	true
ENSMUST00000105742	Gm13225	4:145537945-145538045	4:147584130	true
ENSMUST00000105742	Gm13225	4:145538100-145538190	4:147583867	true
ENSMUST00000105742	Gm13225	4:145538455-145538555	4:147584523	true
ENSMUST00000105742	Gm13225	4:145538455-145538555	4:147584540	true
ENSMUST00000105742	Gm13225	4:145538791-145538889	4:147584881	true
ENSMUST00000181752	C230088H06Rik	4:147453333-147453414	4:145413590	true
ENSMUST00000181752	C230088H06Rik	4:147455730-147455829	4:145416138	true
ENSMUST00000181752	C230088H06Rik	4:147455998-147456076	4:145416569	true
ENSMUST00000181752	C230088H06Rik	4:147456058-147456157	4:145416553	true
ENSMUST00000181752	C230088H06Rik	4:147461484-147461584	4:145410559	true
ENSMUST00000181752	C230088H06Rik	4:147461490-147461591	4:145410556	true
ENSMUST00000105721	Gm13152	4:147511978-147512078	4:145448976	true
ENSMUST00000105721	Gm13152	4:147511987-147512087	4:145448982	true
ENSMUST00000105721	Gm13152	4:147512352-147512446	4:145449486	true
ENSMUST00000105721	Gm13152	4:147512532-147512630	4:145450426	true
ENSMUST00000105721	Gm13152	4:147512568-147512665	4:145449832	true
ENSMUST00000105721	Gm13152	4:147512634-147512734	4:145450068	true
ENSMUST00000105721	Gm13152	4:147512643-147512741	4:145450068	true
ENSMUST00000105721	Gm13152	4:147512702-147512773	4:145450482	true
ENSMUST00000105721	Gm13152	4:147512799-147512857	4:145450254	true
ENSMUST00000105721	Gm13152	4:147513052-147513121	4:145450466	true
ENSMUST00000105721	Gm13152	4:147513070-147513170	4:145449970	true
ENSMUST00000105721	Gm13152	4:147513083-147513182	4:145450345	true
ENSMUST00000105721	Gm13152	4:147513083-147513182	4:145450345	true
ENSMUST00000105721	Gm13152	4:147513095-147513188	4:145450001	true
ENSMUST00000105721	Gm13152	4:147513096-147513176	4:145450345	true
ENSMUST00000105721	Gm13152	4:147513457-147513536	4:145450345	true
		4:147513725-147513788	4:145450345	true
		4:147514873-147514973	4:145449724	true
		4:147514887-147514974	4:145449724	true
		4:147514892-147514986	4:145449624	true
		4:147514892-147514991	4:145449632	true
		4:147514892-147514986	4:145449624	true
		4:147514923-147515023	4:145449724	true
		4:147514934-147515028	4:145449724	true
		4:147514939-147515039	4:145449724	true
		4:147514939-147515039	4:145449724	true
		4:147515604-147515704	4:145400034	true
		4:147515605-147515705	4:145400033	true
		4:147515663-147515763	4:145400033	true
		4:147515682-147515782	4:145451019	true
ENSMUST00000139784	Gm13154	4:147553423-147577087	4:145514944	true
ENSMUST00000139784	Gm13154	4:147577072-147581284	4:145514899	true
ENSMUST00000139784	Gm13154	4:147577098-147581310	4:145514899	true
ENSMUST00000139784	Gm13154	4:147577103-147581315	4:145514909	true
ENSMUST00000139784	Gm13154	4:147577103-147581315	4:145514899	true
ENSMUST00000081742	Gm13154	4:147583781-147583881	4:145449670	true
ENSMUST00000081742	Gm13154	4:147583784-147583882	4:145449670	true
ENSMUST00000081742	Gm13154	4:147583785-147583885	4:145449772	true
ENSMUST00000081742	Gm13154	4:147583785-147583885	4:145537312	true
ENSMUST00000081742	Gm13154	4:147583785-147583885	4:145449635	true
ENSMUST00000081742	Gm13154	4:147583785-147583885	4:145449752	true
ENSMUST00000081742	Gm13154	4:147583785-147583885	4:145449763	true
ENSMUST00000081742	Gm13154	4:147583794-147583894	4:145537838	true
ENSMUST00000081742	Gm13154	4:147583795-147583894	4:145449775	true
ENSMUST00000081742	Gm13154	4:147583801-147583899	4:145449577	true
ENSMUST00000081742	Gm13154	4:147583802-147583902	4:145449655	true
ENSMUST00000081742	Gm13154	4:147583802-147583902	4:145449655	true
ENSMUST00000081742	Gm13154	4:147583802-147583902	4:145537821	true
ENSMUST00000081742	Gm13154	4:147583802-147583902	4:145449631	true
ENSMUST00000081742	Gm13154	4:147583802-147583899	4:145449599	true
ENSMUST00000081742	Gm13154	4:147583802-147583902	4:145537805	true
ENSMUST00000081742	Gm13154	4:147583812-147583912	4:145449806	true
ENSMUST00000081742	Gm13154	4:147583812-147584164	4:145449602	true
ENSMUST00000081742	Gm13154	4:147583812-147583912	4:145449805	true
ENSMUST00000081742	Gm13154	4:147583812-147583912	4:145449658	true
ENSMUST00000081742	Gm13154	4:147583812-147583912	4:145449820	true
ENSMUST00000081742	Gm13154	4:147583812-147583912	4:145449670	true
ENSMUST00000081742	Gm13154	4:147583820-147584171	4:145449651	true
ENSMUST00000081742	Gm13154	4:147583820-147583918	4:145449671	true
ENSMUST00000081742	Gm13154	4:147583821-147583921	4:145449807	true
ENSMUST00000081742	Gm13154	4:147583825-147584177	4:145537305	true
ENSMUST00000081742	Gm13154	4:147583825-147584177	4:145449582	true
ENSMUST00000081742	Gm13154	4:147583833-147583933	4:145449547	true
ENSMUST00000081742	Gm13154	4:147583841-147584192	4:145537305	true
ENSMUST00000081742	Gm13154	4:147583853-147583953	4:145449751	true
ENSMUST00000081742	Gm13154	4:147583866-147583966	4:145537569	true
ENSMUST00000081742	Gm13154	4:147583867-147583967	4:145538100	true
ENSMUST00000081742	Gm13154	4:147583978-147584078	4:145537829	true
ENSMUST00000081742	Gm13154	4:147584081-147584160	4:145449634	true
ENSMUST00000081742	Gm13154	4:147584086-147584186	4:145537841	true
ENSMUST00000081742	Gm13154	4:147584130-147584230	4:145537945	true
ENSMUST00000081742	Gm13154	4:147584136-147584229	4:145537839	true
ENSMUST00000081742	Gm13154	4:147584193-147584289	4:145537862	true
ENSMUST00000081742	Gm13154	4:147584193-147584252	4:145449993	true
ENSMUST00000081742	Gm13154	4:147584193-147584289	4:145537786	true
ENSMUST00000081742	Gm13154	4:147584193-147584271	4:145449998	true
ENSMUST00000081742	Gm13154	4:147584193-147584248	4:145537840	true
ENSMUST00000081742	Gm13154	4:147584193-147584250	4:145537520	true
ENSMUST00000081742	Gm13154	4:147584215-147584313	4:145537456	true
ENSMUST00000081742	Gm13154	4:147584227-147584327	4:145537463	true
ENSMUST00000081742	Gm13154	4:147584227-147584327	4:145537841	true
ENSMUST00000081742	Gm13154	4:147584227-147584327	4:145537826	true
ENSMUST00000081742	Gm13154	4:147584228-147584328	4:145537841	true
ENSMUST00000081742	Gm13154	4:147584230-147584330	4:145537826	true
ENSMUST00000081742	Gm13154	4:147584242-147584339	4:145537820	true
ENSMUST00000081742	Gm13154	4:147584242-147584332	4:145537810	true
ENSMUST00000081742	Gm13154	4:147584272-147584372	4:145537814	true
ENSMUST00000081742	Gm13154	4:147584279-147584379	4:145537820	true
ENSMUST00000081742	Gm13154	4:147584280-147584380	4:145537830	true
ENSMUST00000081742	Gm13154	4:147584283-147584383	4:145449989	true
ENSMUST00000081742	Gm13154	4:147584349-147584423	4:145537756	true
ENSMUST00000081742	Gm13154	4:147584495-147584596	4:145537774	true
ENSMUST00000081742	Gm13154	4:147584523-147584622	4:145538455	true
ENSMUST00000081742	Gm13154	4:147584535-147584607	4:145451007	true
ENSMUST00000081742	Gm13154	4:147584540-147584607	4:145538455	true
ENSMUST00000081742	Gm13154	4:147584651-147584754	4:145451010	true
ENSMUST00000081742	Gm13154	4:147584654-147584754	4:145451118	true
ENSMUST00000081742	Gm13154	4:147584717-147584816	4:145451088	true
ENSMUST00000081742	Gm13154	4:147584718-147584818	4:145451090	true
ENSMUST00000081742	Gm13154	4:147584719-147584819	4:145451007	true
ENSMUST00000081742	Gm13154	4:147584722-147584822	4:145451089	true
ENSMUST00000081742	Gm13154	4:147584746-147584846	4:145451097	true
ENSMUST00000081742	Gm13154	4:147584881-147584968	4:145538791	true
ENSMUST00000081742	Gm13154	4:147584889-147584948	4:145538820	true
ENSMUST00000074455	Zfp772	7:7209872-7209959	7:9923472	true
		7:9923472-9923558	7:7209872	true
