VARIANT CALLER POSTFILTER,AnW_30156,1 Heterozygous,196970
VARIANT CALLER POSTFILTER,AnW_30156,1 Homozygous,151998
VARIANT CALLER POSTFILTER,AnW_30156,1 Het/Hom ratio,1.295
VARIANT CALLER POSTFILTER,AnW_30156,2 Heterozygous,149652
VARIANT CALLER POSTFILTER,AnW_30156,2 Homozygous,195752
VARIANT CALLER POSTFILTER,AnW_30156,2 Het/Hom ratio,0.764
VARIANT CALLER POSTFILTER,AnW_30156,3 Heterozygous,148596
VARIANT CALLER POSTFILTER,AnW_30156,3 Homozygous,100650
VARIANT CALLER POSTFILTER,AnW_30156,3 Het/Hom ratio,1.476
VARIANT CALLER POSTFILTER,AnW_30156,4 Heterozygous,151785
VARIANT CALLER POSTFILTER,AnW_30156,4 Homozygous,141626
VARIANT CALLER POSTFILTER,AnW_30156,4 Het/Hom ratio,1.071
VARIANT CALLER POSTFILTER,AnW_30156,5 Heterozygous,147685
VARIANT CALLER POSTFILTER,AnW_30156,5 Homozygous,144076
VARIANT CALLER POSTFILTER,AnW_30156,5 Het/Hom ratio,1.025
VARIANT CALLER POSTFILTER,AnW_30156,6 Heterozygous,120779
VARIANT CALLER POSTFILTER,AnW_30156,6 Homozygous,170649
VARIANT CALLER POSTFILTER,AnW_30156,6 Het/Hom ratio,0.707
VARIANT CALLER POSTFILTER,AnW_30156,7 Heterozygous,156096
VARIANT CALLER POSTFILTER,AnW_30156,7 Homozygous,130217
VARIANT CALLER POSTFILTER,AnW_30156,7 Het/Hom ratio,1.198
VARIANT CALLER POSTFILTER,AnW_30156,8 Heterozygous,167480
VARIANT CALLER POSTFILTER,AnW_30156,8 Homozygous,138030
VARIANT CALLER POSTFILTER,AnW_30156,8 Het/Hom ratio,1.213
VARIANT CALLER POSTFILTER,AnW_30156,9 Heterozygous,192101
VARIANT CALLER POSTFILTER,AnW_30156,9 Homozygous,185549
VARIANT CALLER POSTFILTER,AnW_30156,9 Het/Hom ratio,1.035
VARIANT CALLER POSTFILTER,AnW_30156,10 Heterozygous,121476
VARIANT CALLER POSTFILTER,AnW_30156,10 Homozygous,124495
VARIANT CALLER POSTFILTER,AnW_30156,10 Het/Hom ratio,0.975
VARIANT CALLER POSTFILTER,AnW_30156,11 Heterozygous,193031
VARIANT CALLER POSTFILTER,AnW_30156,11 Homozygous,161119
VARIANT CALLER POSTFILTER,AnW_30156,11 Het/Hom ratio,1.198
VARIANT CALLER POSTFILTER,AnW_30156,12 Heterozygous,105822
VARIANT CALLER POSTFILTER,AnW_30156,12 Homozygous,101704
VARIANT CALLER POSTFILTER,AnW_30156,12 Het/Hom ratio,1.040
VARIANT CALLER POSTFILTER,AnW_30156,13 Heterozygous,151722
VARIANT CALLER POSTFILTER,AnW_30156,13 Homozygous,129429
VARIANT CALLER POSTFILTER,AnW_30156,13 Het/Hom ratio,1.172
VARIANT CALLER POSTFILTER,AnW_30156,14 Heterozygous,189397
VARIANT CALLER POSTFILTER,AnW_30156,14 Homozygous,163758
VARIANT CALLER POSTFILTER,AnW_30156,14 Het/Hom ratio,1.156
VARIANT CALLER POSTFILTER,AnW_30156,15 Heterozygous,182651
VARIANT CALLER POSTFILTER,AnW_30156,15 Homozygous,165024
VARIANT CALLER POSTFILTER,AnW_30156,15 Het/Hom ratio,1.106
VARIANT CALLER POSTFILTER,AnW_30156,16 Heterozygous,103344
VARIANT CALLER POSTFILTER,AnW_30156,16 Homozygous,120828
VARIANT CALLER POSTFILTER,AnW_30156,16 Het/Hom ratio,0.855
VARIANT CALLER POSTFILTER,AnW_30156,17 Heterozygous,128400
VARIANT CALLER POSTFILTER,AnW_30156,17 Homozygous,119256
VARIANT CALLER POSTFILTER,AnW_30156,17 Het/Hom ratio,1.076
VARIANT CALLER POSTFILTER,AnW_30156,18 Heterozygous,112854
VARIANT CALLER POSTFILTER,AnW_30156,18 Homozygous,165562
VARIANT CALLER POSTFILTER,AnW_30156,18 Het/Hom ratio,0.681
VARIANT CALLER POSTFILTER,AnW_30156,19 Heterozygous,115493
VARIANT CALLER POSTFILTER,AnW_30156,19 Homozygous,169413
VARIANT CALLER POSTFILTER,AnW_30156,19 Het/Hom ratio,0.681
VARIANT CALLER POSTFILTER,AnW_30156,20 Heterozygous,160571
VARIANT CALLER POSTFILTER,AnW_30156,20 Homozygous,186513
VARIANT CALLER POSTFILTER,AnW_30156,20 Het/Hom ratio,0.860
VARIANT CALLER POSTFILTER,AnW_30156,21 Heterozygous,121928
VARIANT CALLER POSTFILTER,AnW_30156,21 Homozygous,131917
VARIANT CALLER POSTFILTER,AnW_30156,21 Het/Hom ratio,0.924
VARIANT CALLER POSTFILTER,AnW_30156,22 Heterozygous,130583
VARIANT CALLER POSTFILTER,AnW_30156,22 Homozygous,146406
VARIANT CALLER POSTFILTER,AnW_30156,22 Het/Hom ratio,0.891
VARIANT CALLER POSTFILTER,AnW_30156,X Heterozygous,154359
VARIANT CALLER POSTFILTER,AnW_30156,X Homozygous,181340
VARIANT CALLER POSTFILTER,AnW_30156,X Het/Hom ratio,0.851
VARIANT CALLER POSTFILTER,AnW_30156,Y Heterozygous,0
VARIANT CALLER POSTFILTER,AnW_30156,Y Homozygous,0
VARIANT CALLER POSTFILTER,AnW_30156,Y Het/Hom ratio,inf
