## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectGcBiasMetrics CHART_OUTPUT=SRR4238359_subsamp.sorted.gc_bias_metrics.pdf SUMMARY_OUTPUT=SRR4238359_subsamp.sorted.summary_metrics.txt INPUT=SRR4238359_subsamp.sorted.bam OUTPUT=SRR4238359_subsamp.sorted.gc_bias_metrics.txt REFERENCE_SEQUENCE=genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Apr 05 11:15:42 UTC 2017

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	0	886	1	0	0.143036	0.143036			
All Reads	1	2199	0	0	0	0			
All Reads	2	3458	0	0	0	0			
All Reads	3	3800	0	0	0	0			
All Reads	4	4027	0	0	0	0			
All Reads	5	3777	0	0	0	0			
All Reads	6	3431	0	0	0	0			
All Reads	7	2923	0	0	0	0			
All Reads	8	2865	1	0	0.044234	0.044234			
All Reads	9	2412	0	0	0	0			
All Reads	10	2766	2	0	0.091634	0.064795			
All Reads	11	2940	0	0	0	0			
All Reads	12	2998	1	17	0.042271	0.042271			
All Reads	13	3348	9	0	0.340671	0.113557			
All Reads	14	3618	6	0	0.210165	0.0858			
All Reads	15	4650	21	30	0.572327	0.124892			
All Reads	16	5520	24	28	0.550998	0.112472			
All Reads	17	7380	37	30	0.635365	0.104453			
All Reads	18	9733	55	26	0.716133	0.096563			
All Reads	19	13207	88	29	0.844416	0.090015			
All Reads	20	18144	130	27	0.908005	0.079637			
All Reads	21	25053	193	30	0.976282	0.070274			
All Reads	22	32875	242	29	0.932883	0.059968			
All Reads	23	44420	246	28	0.701834	0.044747			
All Reads	24	60937	337	28	0.700852	0.038178			
All Reads	25	82091	425	28	0.656102	0.031826			
All Reads	26	111609	524	28	0.59499	0.025992			
All Reads	27	148682	668	30	0.569372	0.02203			
All Reads	28	190536	743	30	0.494185	0.01813			
All Reads	29	243757	841	29	0.437237	0.015077			
All Reads	30	307251	1079	29	0.445047	0.013549			
All Reads	31	381273	1441	29	0.478967	0.012618			
All Reads	32	459403	2195	29	0.605506	0.012924			
All Reads	33	537468	2085	30	0.491622	0.010767			
All Reads	34	611917	2534	29	0.524798	0.010425			
All Reads	35	681845	3074	29	0.571342	0.010305			
All Reads	36	740343	3217	29	0.550676	0.009709			
All Reads	37	774224	3733	29	0.611039	0.010001			
All Reads	38	785836	4093	29	0.660066	0.010317			
All Reads	39	775851	4703	29	0.7682	0.011202			
All Reads	40	741906	5339	29	0.911987	0.012481			
All Reads	41	694731	5773	29	1.053083	0.01386			
