name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Plautia stali symbiont	891974	S	5	0	5	0.00000
Cedecea neteri	158822	S	4	0	4	0.00000
Cedecea lapagei	158823	S	1	0	1	0.00000
Buttiauxella sp. 3AFRM03	2479367	S	1	4	5	0.00000
Candidatus Moranella endobia	1048758	S	4	0	4	0.00000
Phytobacter diazotrophicus	395631	S	2	0	2	0.00000
Shimwellia blattae	563	S	2	0	2	0.00000
Atlantibacter hermannii	565	S	2	0	2	0.00000
Pseudescherichia vulneris	566	S	2	0	2	0.00000
Candidatus Ishikawaella capsulata	168169	S	1	0	1	0.00000
Yokenella regensburgei	158877	S	1	0	1	0.00000
Serratia marcescens	615	S	25	0	25	0.00002
Serratia symbiotica	138074	S	4	0	4	0.00000
Serratia plymuthica	82996	S	2	0	2	0.00000
Serratia fonticola	47917	S	1	0	1	0.00000
Yersinia pestis	632	S	14	4	18	0.00002
Yersinia similis	367190	S	1	0	1	0.00000
Yersinia enterocolitica	630	S	1	0	1	0.00000
Yersinia ruckeri	29486	S	1	0	1	0.00000
Rouxiella badensis	1646377	S	1	0	1	0.00000
Candidatus Fukatsuia symbiotica	1878942	S	1	0	1	0.00000
Candidatus Pantoea carbekii	1235990	S	3	0	3	0.00000
Pantoea stewartii	66269	S	2	0	2	0.00000
Pantoea agglomerans	549	S	2	0	2	0.00000
Pantoea vagans	470934	S	1	0	1	0.00000
Pantoea alhagi	1891675	S	1	0	1	0.00000
Pantoea sp. MT58	2768165	S	1	0	1	0.00000
Buchnera aphidicola	9	S	8	0	8	0.00001
Mixta theicola	1458355	S	2	1	3	0.00000
Mixta gaviniae	665914	S	1	0	1	0.00000
Erwinia amylovora	552	S	2	6	8	0.00001
Candidatus Erwinia haradaeae	1922217	S	1	0	1	0.00000
Tatumella sp. TA1	2487345	S	2	0	2	0.00000
Izhakiella sp. KSNA2	2579935	S	1	0	1	0.00000
Proteus mirabilis	584	S	3	1	4	0.00000
Proteus vulgaris	585	S	2	0	2	0.00000
Xenorhabdus nematophila	628	S	2	0	2	0.00000
Xenorhabdus poinarii	40577	S	1	0	1	0.00000
Xenorhabdus doucetiae	351671	S	1	0	1	0.00000
Arsenophonus endosymbiont of Aphis craccivora	1231049	S	2	0	2	0.00000
Arsenophonus nasoniae	638	S	1	0	1	0.00000
Arsenophonus endosymbiont of Aleurodicus dispersus	235559	S	1	0	1	0.00000
Morganella morganii	582	S	2	0	2	0.00000
Photorhabdus asymbiotica	291112	S	2	0	2	0.00000
Providencia alcalifaciens	126385	S	1	0	1	0.00000
Dickeya chrysanthemi	556	S	2	0	2	0.00000
Dickeya dadantii	204038	S	1	0	1	0.00000
Dickeya dianthicola	204039	S	1	0	1	0.00000
Dickeya zeae	204042	S	1	0	1	0.00000
Dickeya solani	1089444	S	1	0	1	0.00000
Pectobacterium parmentieri	1905730	S	3	0	3	0.00000
Pectobacterium odoriferum	78398	S	2	0	2	0.00000
Pectobacterium carotovorum	554	S	1	0	1	0.00000
Candidatus Sodalis pierantonius	1486991	S	3	0	3	0.00000
Sodalis praecaptivus	1239307	S	1	0	1	0.00000
Leminorella richardii	158841	S	2	0	2	0.00000
Plesiomonas shigelloides	703	S	1	0	1	0.00000
Edwardsiella piscicida	1263550	S	1	0	1	0.00000
Pseudomonas glycinae	1785145	S	5	0	5	0.00000
Pseudomonas tolaasii	29442	S	1	0	1	0.00000
Acinetobacter sp. MYb10	1827285	S	1	0	1	0.00000
Acinetobacter seifertii	1530123	S	1	0	1	0.00000
Vibrio cholerae	666	S	2	0	2	0.00000
Vibrio parahaemolyticus	670	S	1	0	1	0.00000
Vibrio owensii	696485	S	1	0	1	0.00000
Vibrio mimicus	674	S	1	0	1	0.00000
endosymbiont of Sipalinus gigas	1972134	S	2	0	2	0.00000
Halomonas meridiana	29570	S	1	0	1	0.00000
Alcanivorax sp. N3-2A	2014542	S	1	0	1	0.00000
Pseudoalteromonas espejiana	28107	S	1	0	1	0.00000
Lysobacter antibioticus	84531	S	1	1	2	0.00000
Rheinheimera sp. D18	2545632	S	1	0	1	0.00000
Gallibacterium anatis	750	S	1	0	1	0.00000
Burkholderia pseudomallei	28450	S	1	0	1	0.00000
Burkholderia thailandensis	57975	S	1	0	1	0.00000
Burkholderia metallica	488729	S	1	0	1	0.00000
Burkholderia sp. KK1	1855726	S	1	0	1	0.00000
Cupriavidus oxalaticus	96344	S	1	0	1	0.00000
Ochrobactrum anthropi	529	S	1	0	1	0.00000
Sphingorhabdus lacus	392610	S	1	0	1	0.00000
Helicobacter pylori	210	S	2	0	2	0.00000
Staphylococcus cohnii	29382	S	3	0	3	0.00000
Listeria ivanovii	1638	S	1	0	1	0.00000
Clostridium botulinum	1491	S	1	0	1	0.00000
Ruminiclostridium sp. MA18	2488810	S	1	0	1	0.00000
Streptomyces lividans	1916	S	1	0	1	0.00000
Streptomyces vinaceus	1960	S	1	0	1	0.00000
Deinococcus ficus	317577	S	1	0	1	0.00000
Tenuifilum thalassicum	2590900	S	1	0	1	0.00000
Homo sapiens	9606	S	50	0	50	0.00004
Halalkaliarchaeum desulfuricum	2055893	S	1	0	1	0.00000
Escherichia virus G4	1986034	S	1	0	1	0.00000
