Total reads: 76581788
Fragment number: 86522761
percentile	count
0	1215150
1	1897047
2	2618834
3	3050569
4	3395028
5	3723379
6	3984410
7	4306451
8	4574213
9	4477389
10	4343132
11	4418417
12	4524789
13	4781331
14	4921322
15	4908658
16	4912359
17	5153211
18	5148507
19	5213894
20	5232037
21	5229773
22	5287590
23	5289437
24	5403879
25	5404162
26	5439415
27	5591029
28	5684383
29	5753619
30	5758649
31	5790315
32	5697614
33	5659381
34	5654593
35	5652833
36	5632412
37	5708700
38	5830935
39	5813603
40	5840812
41	5874676
42	5892645
43	5875571
44	5884357
45	5915925
46	5861038
47	5840444
48	5860389
49	6021122
50	6007468
51	6087173
52	6099836
53	6026374
54	5969827
55	5943612
56	5918623
57	5878168
58	5844624
59	5801369
60	5720713
61	5702319
62	5800224
63	6023784
64	6136974
65	6185495
66	6195001
67	6235371
68	6273961
69	6298132
70	6175530
71	6094784
72	6116435
73	6182942
74	6250286
75	6267083
76	6266234
77	6255309
78	6285581
79	6275781
80	6298410
81	6272645
82	6171057
83	6091162
84	6074033
85	5982205
86	5981876
87	5788531
88	5622754
89	5584178
90	5884304
91	5919708
92	5841999
93	5654044
94	5483461
95	5263082
96	5069205
97	4785295
98	4129330
99	3592068
100	2817781
