Total reads: 65518400
Fragment number: 76174095
percentile	count
0	1157425
1	1759334
2	2365052
3	2770845
4	3160110
5	3543944
6	3823695
7	4156860
8	4426337
9	4391777
10	4408301
11	4515603
12	4637733
13	4884372
14	5057996
15	5090835
16	5147693
17	5380816
18	5409090
19	5481447
20	5549964
21	5577227
22	5588522
23	5595691
24	5709506
25	5767741
26	5816820
27	5947553
28	6024293
29	6073332
30	6106320
31	6138058
32	6071083
33	6020641
34	6006160
35	6044702
36	6073191
37	6161441
38	6276995
39	6299619
40	6333784
41	6371514
42	6412029
43	6430652
44	6456775
45	6499910
46	6411739
47	6307551
48	6287402
49	6450412
50	6531184
51	6615897
52	6628525
53	6577630
54	6542442
55	6536786
56	6517606
57	6466850
58	6418781
59	6341266
60	6257491
61	6225691
62	6306152
63	6507494
64	6606571
65	6657162
66	6638144
67	6674394
68	6707123
69	6712026
70	6595155
71	6532174
72	6546538
73	6588943
74	6641501
75	6644063
76	6640173
77	6624689
78	6645258
79	6636712
80	6651393
81	6620544
82	6524136
83	6426342
84	6378156
85	6282088
86	6247668
87	6076491
88	5903388
89	5832168
90	6017606
91	6030540
92	5868052
93	5591677
94	5381137
95	5145697
96	4932670
97	4630679
98	4082020
99	3543742
100	2778992
