Total reads: 76926776
Fragment number: 89911517
percentile	count
0	1224037
1	2122412
2	3026426
3	3574285
4	4017069
5	4392495
6	4825697
7	5332928
8	5773196
9	5617048
10	5647952
11	5846757
12	6023365
13	6477983
14	6811499
15	6813041
16	6791848
17	7213061
18	7221509
19	7359390
20	7532615
21	7555774
22	7542712
23	7636149
24	7826652
25	7922615
26	7952103
27	8073324
28	8226013
29	8354538
30	8345815
31	8426880
32	8292490
33	8161990
34	8087288
35	8168716
36	8148684
37	8232088
38	8287527
39	8238420
40	8225020
41	8294942
42	8363657
43	8342096
44	8347673
45	8410386
46	8273626
47	8282457
48	8260649
49	8413384
50	8267109
51	8395887
52	8426944
53	8201275
54	8101937
55	7971045
56	7965716
57	7823756
58	7697657
59	7560328
60	7389388
61	7330361
62	7485665
63	7871252
64	7948171
65	7981218
66	8049132
67	8101671
68	8208558
69	8256662
70	7997776
71	7826916
72	7960351
73	8074457
74	8260926
75	8410905
76	8407735
77	8389461
78	8532621
79	8545988
80	8488079
81	8472826
82	8235382
83	7979839
84	7945407
85	7902773
86	7898896
87	7767578
88	7450218
89	7416994
90	7539404
91	7917010
92	7862042
93	7447725
94	7053625
95	6541872
96	6276785
97	5659171
98	4989200
99	4010564
100	3188505
