#Duplication rate	Coverage
1.0	511587.0
2.0	131328.0
3.0	26206.0
4.0	4646.0
5.0	897.0
6.0	213.0
7.0	79.0
8.0	49.0
9.0	23.0
10.0	32.0
11.0	17.0
12.0	13.0
13.0	11.0
14.0	13.0
15.0	13.0
16.0	19.0
17.0	6.0
18.0	13.0
19.0	15.0
20.0	13.0
21.0	15.0
22.0	17.0
23.0	13.0
24.0	12.0
25.0	7.0
26.0	6.0
27.0	13.0
28.0	7.0
29.0	8.0
30.0	4.0
31.0	3.0
32.0	3.0
33.0	1.0
34.0	2.0
35.0	2.0
36.0	2.0
37.0	1.0
38.0	1.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	1.0
44.0	1.0
45.0	0.0
46.0	1.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	1.0
