#Mapping quality	mapping quality
0.0	9354.0
1.0	909.0
2.0	818.0
3.0	637.0
4.0	559.0
5.0	688.0
6.0	635.0
7.0	739.0
8.0	556.0
9.0	619.0
10.0	630.0
11.0	730.0
12.0	735.0
13.0	824.0
14.0	769.0
15.0	754.0
16.0	937.0
17.0	845.0
18.0	1028.0
19.0	1008.0
20.0	1130.0
21.0	1104.0
22.0	1165.0
23.0	1169.0
24.0	1275.0
25.0	1437.0
26.0	1408.0
27.0	1424.0
28.0	1536.0
29.0	1549.0
30.0	1523.0
31.0	1559.0
32.0	1559.0
33.0	1669.0
34.0	1427.0
35.0	1504.0
36.0	1789.0
37.0	2205.0
38.0	2102.0
39.0	1814.0
40.0	2152.0
41.0	2415.0
42.0	2388.0
43.0	2467.0
44.0	2581.0
45.0	2566.0
46.0	2585.0
47.0	2631.0
48.0	2899.0
49.0	3020.0
50.0	3500.0
51.0	4088.0
52.0	4969.0
53.0	5038.0
54.0	5960.0
55.0	7638.0
56.0	10615.0
57.0	16057.0
58.0	44589.0
59.0	316097.0
60.0	1178110.0
