Transcript Id	Gene Name	Read Location	Mate Location	Same Chromosome
ENSMUST00000071858	Hpcal1	12:17787545-17787633	12:20276835	true
ENSMUST00000071858	Hpcal1	12:17791551-17791637	12:21048655	true
		12:18192388-18192449	12:20804955	true
		12:18407205-18407302	12:20771839	true
ENSMUST00000063216	5730507C01Rik	12:18514855-18531701	12:20633151	true
		12:18535251-18535336	12:20637940	true
		12:18564187-18564275	12:20802900	true
		12:20276835-20276919	12:17787545	true
		12:20442823-20442918	12:17882254	true
		12:20633151-20633453	12:18514855	true
		12:20637940-20638029	12:18535251	true
		12:20771839-20771938	12:18407205	true
		12:20802900-20802987	12:18564187	true
ENSMUST00000189625	1700030C10Rik	12:20804955-20805040	12:18192388	true
ENSMUST00000174530	Gm21989	12:21048655-21048739	12:17791551	true
		12:21758297-21758355	12:23781872	true
		12:21991708-21991794	12:24212968	true
		12:23781872-23781972	12:21758297	true
		12:24212968-24213053	12:21991708	true
ENSMUST00000150529	Platr16	4:145438818-145438898	4:147515722	true
ENSMUST00000150529	Platr16	4:145449711-145449788	4:147513078	true
ENSMUST00000150529	Platr16	4:145449724-145449811	4:147514835	true
ENSMUST00000150529	Platr16	4:145449729-145449811	4:147514626	true
ENSMUST00000150529	Platr16	4:145449755-145449855	4:147583785	true
ENSMUST00000150529	Platr16	4:145449755-145449855	4:147583785	true
ENSMUST00000120870	Gm13230	4:145449772-145449872	4:147583849	true
ENSMUST00000120870	Gm13230	4:145449988-145450071	4:147513059	true
ENSMUST00000120870	Gm13230	4:145449989-145537542	4:147584193	true
ENSMUST00000120870	Gm13230	4:145450482-145537872	4:147512621	true
ENSMUST00000105742	Gm13225	4:145537816-145537916	4:147584297	true
ENSMUST00000105742	Gm13225	4:145537826-145537919	4:147584230	true
ENSMUST00000105742	Gm13225	4:145537826-145537919	4:147584215	true
ENSMUST00000105742	Gm13225	4:145537826-145537919	4:147584232	true
ENSMUST00000105742	Gm13225	4:145538455-145538555	4:147584550	true
ENSMUST00000181752	C230088H06Rik	4:147452697-147452797	4:145433110	true
ENSMUST00000105721	Gm13152	4:147512621-147512701	4:145450482	true
ENSMUST00000105721	Gm13152	4:147512700-147512773	4:145450482	true
ENSMUST00000105721	Gm13152	4:147513049-147513121	4:145275322	true
ENSMUST00000105721	Gm13152	4:147513059-147513159	4:145449988	true
ENSMUST00000105721	Gm13152	4:147513078-147513170	4:145449711	true
		4:147514626-147514709	4:145449729	true
		4:147514835-147514914	4:145449724	true
		4:147514855-147514955	4:145449724	true
		4:147515604-147515704	4:145400034	true
		4:147515722-147515811	4:145438818	true
ENSMUST00000139784	Gm13154	4:147581368-147581454	4:145446746	true
ENSMUST00000081742	Gm13154	4:147583785-147583885	4:145449755	true
ENSMUST00000081742	Gm13154	4:147583785-147583885	4:145449755	true
ENSMUST00000081742	Gm13154	4:147583792-147583892	4:145449854	true
ENSMUST00000081742	Gm13154	4:147583812-147583912	4:145449802	true
ENSMUST00000081742	Gm13154	4:147583843-147583941	4:145449587	true
ENSMUST00000081742	Gm13154	4:147583849-147583949	4:145449772	true
ENSMUST00000081742	Gm13154	4:147584193-147584254	4:145449989	true
ENSMUST00000081742	Gm13154	4:147584215-147584315	4:145537826	true
ENSMUST00000081742	Gm13154	4:147584230-147584330	4:145537826	true
ENSMUST00000081742	Gm13154	4:147584232-147584330	4:145537826	true
ENSMUST00000081742	Gm13154	4:147584297-147584397	4:145537816	true
ENSMUST00000081742	Gm13154	4:147584550-147584607	4:145538455	true
ENSMUST00000081742	Gm13154	4:147584568-147584656	4:145451041	true
ENSMUST00000081742	Gm13154	4:147584705-147584805	4:145451030	true
