percentile	count
0	641366
1	722080
2	794174
3	855586
4	914757
5	965290
6	1015131
7	1064542
8	1103332
9	1143368
10	1174658
11	1204259
12	1240924
13	1278206
14	1319656
15	1349373
16	1376592
17	1394773
18	1418976
19	1440448
20	1455591
21	1471206
22	1490734
23	1509976
24	1529359
25	1550772
26	1572817
27	1583357
28	1594202
29	1602532
30	1616751
31	1623267
32	1633826
33	1638936
34	1651228
35	1657331
36	1657634
37	1671167
38	1677326
39	1678314
40	1687768
41	1687792
42	1690864
43	1693283
44	1696006
45	1700084
46	1706805
47	1716683
48	1709845
49	1723790
50	1727780
51	1723056
52	1731140
53	1726788
54	1731448
55	1737814
56	1737348
57	1736044
58	1732730
59	1734194
60	1726983
61	1727514
62	1730414
63	1722387
64	1719700
65	1705405
66	1696677
67	1700867
68	1697385
69	1689080
70	1685581
71	1677702
72	1667567
73	1660821
74	1654938
75	1633000
76	1625637
77	1622303
78	1612161
79	1607234
80	1602269
81	1593530
82	1590660
83	1581770
84	1570006
85	1563085
86	1549106
87	1526506
88	1507212
89	1487803
90	1463799
91	1442630
92	1411922
93	1384681
94	1346344
95	1291206
96	1220282
97	1116859
98	993348
99	851772
