percentile	count
0	1337461
1	1396246
2	1634287
3	1895695
4	2143259
5	2350281
6	2538231
7	2732539
8	2884541
9	3073443
10	3217957
11	3408584
12	3539288
13	3679388
14	3893532
15	4033341
16	4181582
17	4300918
18	4485109
19	4604524
20	4696278
21	4725871
22	4806641
23	4898066
24	4935269
25	4989385
26	5103635
27	5160609
28	5196648
29	5273298
30	5320599
31	5447847
32	5516984
33	5606846
34	5636935
35	5728684
36	5747648
37	5818172
38	5879224
39	5872881
40	5958781
41	5980419
42	6017056
43	6052934
44	6067275
45	6084154
46	6078004
47	6100770
48	6097780
49	6109453
50	6172271
51	6225083
52	6231726
53	6237806
54	6265678
55	6237553
56	6265007
57	6253618
58	6291434
59	6357091
60	6321621
61	6286979
62	6288542
63	6240066
64	6236569
65	6229018
66	6216705
67	6210746
68	6259562
69	6191444
70	6163072
71	6150466
72	6170920
73	6139980
74	6143863
75	6103508
76	6093275
77	6110491
78	6088102
79	6028944
80	6042488
81	6009284
82	5980003
83	5988582
84	5861001
85	5805275
86	5740158
87	5635907
88	5527548
89	5410869
90	5297058
91	5144229
92	4923461
93	4723275
94	4544963
95	4308613
96	4016718
97	3686768
98	3336024
99	2959512
