percentile	count
0	949087
1	1091766
2	1271917
3	1461747
4	1639325
5	1808552
6	1951705
7	2103787
8	2227347
9	2388934
10	2503361
11	2641661
12	2740083
13	2843879
14	2978762
15	3089579
16	3193240
17	3286741
18	3399951
19	3483533
20	3559851
21	3604376
22	3667324
23	3738555
24	3764734
25	3816242
26	3903693
27	3942201
28	4001607
29	4053747
30	4081609
31	4155708
32	4223646
33	4277251
34	4289312
35	4323412
36	4337695
37	4366069
38	4409405
39	4412866
40	4457623
41	4457331
42	4472459
43	4502820
44	4504810
45	4516752
46	4521275
47	4541822
48	4560644
49	4581558
50	4606862
51	4648585
52	4643531
53	4658837
54	4661834
55	4648550
56	4658419
57	4634599
58	4654192
59	4671246
60	4644158
61	4611834
62	4582228
63	4562639
64	4550218
65	4545834
66	4545118
67	4533983
68	4552144
69	4495218
70	4488579
71	4475907
72	4482606
73	4456006
74	4455207
75	4440638
76	4429202
77	4437031
78	4431926
79	4398823
80	4392939
81	4365561
82	4334671
83	4328119
84	4239095
85	4196025
86	4137265
87	4083704
88	4005329
89	3930136
90	3861127
91	3762984
92	3615654
93	3474532
94	3327410
95	3172028
96	2963163
97	2724252
98	2445786
99	2190941
