percentile	count
0	484309
1	555679
2	649019
3	746732
4	838440
5	921711
6	997202
7	1072687
8	1130444
9	1205650
10	1261784
11	1341877
12	1394713
13	1452094
14	1536851
15	1599924
16	1661462
17	1711047
18	1788683
19	1833499
20	1873602
21	1891069
22	1929217
23	1967177
24	1980754
25	2002365
26	2047981
27	2073997
28	2095887
29	2124419
30	2141024
31	2200060
32	2233088
33	2272124
34	2285673
35	2320495
36	2326736
37	2348149
38	2372102
39	2367930
40	2402410
41	2409726
42	2419348
43	2437887
44	2444282
45	2449808
46	2447632
47	2462098
48	2469201
49	2478183
50	2499375
51	2523774
52	2525579
53	2531456
54	2538361
55	2526759
56	2530568
57	2525574
58	2542867
59	2566769
60	2558552
61	2543086
62	2548506
63	2531123
64	2528876
65	2528000
66	2526734
67	2522099
68	2548612
69	2513489
70	2498631
71	2496154
72	2503646
73	2483604
74	2482748
75	2478278
76	2467208
77	2476842
78	2465104
79	2441034
80	2441608
81	2425217
82	2416506
83	2414937
84	2360633
85	2336978
86	2309433
87	2263331
88	2217429
89	2168382
90	2120507
91	2051783
92	1959242
93	1875650
94	1804581
95	1709414
96	1590387
97	1453378
98	1314997
99	1167738
