## htsjdk.samtools.metrics.StringHeader
# CollectBaseDistributionByCycle ALIGNED_READS_ONLY=false PF_READS_ONLY=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
## METRICS CLASS	picard.analysis.BaseDistributionByCycleMetrics
READ_END	CYCLE	PCT_A	PCT_C	PCT_G	PCT_T	PCT_N
1	1	16.869147	33.207745	33.020681	16.871933	0.030493
1	2	24.238205	25.769724	25.770669	24.220336	0.001066
1	3	24.519404	25.534036	25.471489	24.474510	0.000561
1	4	25.135279	24.890212	24.858746	25.115530	0.000234
1	5	24.554254	25.441921	25.426128	24.577697	0.000000
1	6	24.413225	25.573329	25.575283	24.437967	0.000196
1	7	24.641227	25.392493	25.320715	24.645491	0.000075
1	8	23.291534	26.739314	26.693009	23.276143	0.000000
1	9	23.930665	26.051896	26.040665	23.976774	0.000000
1	10	25.332189	24.728208	24.641741	25.297778	0.000084
1	11	22.026346	27.997817	27.944236	22.031601	0.000000
1	12	22.719805	27.340200	27.200619	22.739039	0.000337
1	13	23.486051	26.547444	26.477565	23.488903	0.000037
1	14	23.510288	26.510882	26.439881	23.538705	0.000243
1	15	23.727574	26.330757	26.225130	23.716540	0.000000
1	16	23.607528	26.444005	26.348888	23.599579	0.000000
1	17	23.517152	26.555093	26.454693	23.473053	0.000009
1	18	23.723656	26.321705	26.238333	23.716297	0.000009
1	19	23.546906	26.477902	26.408238	23.566954	0.000000
1	20	23.478420	26.601585	26.473189	23.446740	0.000065
1	21	23.727873	26.304378	26.221296	23.746444	0.000009
1	22	23.604909	26.456825	26.329756	23.608369	0.000140
1	23	23.549122	26.534820	26.402188	23.513561	0.000309
1	24	23.817436	26.233975	26.142477	23.806112	0.000000
1	25	23.675172	26.342240	26.320602	23.661987	0.000000
1	26	23.599776	26.441620	26.381420	23.577165	0.000019
1	27	23.841636	26.239932	26.143347	23.774852	0.000234
1	28	23.657302	26.356930	26.336573	23.648840	0.000355
1	29	23.563392	26.472918	26.446473	23.517049	0.000168
1	30	23.748744	26.283862	26.211954	23.755374	0.000065
1	31	23.663137	26.417318	26.349028	23.570517	0.000000
1	32	23.563560	26.497978	26.428024	23.510335	0.000103
1	33	23.766436	26.248329	26.263879	23.721271	0.000084
1	34	23.629876	26.376043	26.373331	23.620628	0.000122
1	35	23.548197	26.467083	26.457573	23.526998	0.000150
1	36	23.806936	26.254053	26.216458	23.722404	0.000150
1	37	23.604013	26.390633	26.407347	23.597765	0.000243
1	38	23.564844	26.489673	26.445333	23.500055	0.000094
1	39	23.757416	26.306707	26.263522	23.672121	0.000234
1	40	23.660634	26.381453	26.441692	23.516183	0.000037
1	41	23.528128	26.504962	26.539952	23.426846	0.000112
1	42	23.785244	26.266073	26.298756	23.649815	0.000112
1	43	23.598396	26.423334	26.438255	23.539940	0.000075
1	44	23.517821	26.509969	26.558856	23.412998	0.000356
1	45	23.757932	26.299271	26.331545	23.611215	0.000037
1	46	23.594286	26.436270	26.475825	23.493610	0.000009
1	47	23.494418	26.512897	26.567713	23.424719	0.000253
1	48	23.707229	26.306981	26.391667	23.593992	0.000131
1	49	23.572546	26.452176	26.505210	23.469964	0.000103
1	50	23.511363	26.539683	26.597016	23.351788	0.000150
1	51	23.675591	26.341437	26.419938	23.562538	0.000497
1	52	23.562549	26.472139	26.520239	23.445017	0.000056
1	53	23.495815	26.534937	26.624215	23.344996	0.000037
1	54	23.707101	26.331494	26.422653	23.538753	0.000000
1	55	23.571596	26.464862	26.583904	23.379572	0.000066
1	56	23.483431	26.548818	26.616026	23.351547	0.000178
1	57	23.638976	26.353730	26.495253	23.511843	0.000197
1	58	23.572512	26.473198	26.558866	23.395302	0.000122
1	59	23.468283	26.542091	26.658295	23.331321	0.000009
1	60	23.661164	26.373964	26.456937	23.507879	0.000056
1	61	23.545936	26.483975	26.598400	23.371651	0.000038
1	62	23.443508	26.574626	26.692047	23.289688	0.000131
1	63	23.644334	26.359832	26.488963	23.506486	0.000385
1	64	23.502455	26.532819	26.611956	23.352732	0.000038
1	65	23.485933	26.529445	26.686524	23.297929	0.000169
1	66	23.634601	26.401241	26.491160	23.472988	0.000009
1	67	23.526510	26.489687	26.646979	23.336683	0.000141
1	68	23.443864	26.558791	26.722795	23.274173	0.000377
1	69	23.619314	26.397672	26.519221	23.463765	0.000028
1	70	23.502375	26.507814	26.666269	23.323080	0.000462
1	71	23.432890	26.564338	26.743686	23.258849	0.000236
1	72	23.593849	26.477007	26.530772	23.398325	0.000047
1	73	23.411213	26.595267	26.779149	23.214295	0.000076
1	74	22.923758	27.071651	27.263933	22.739602	0.001056
1	75	21.578056	28.407893	28.553149	21.458027	0.002876
1	76	16.867588	33.138246	33.209339	16.784828	0.000000
2	77	16.664541	33.335899	33.323658	16.674453	0.001449
2	78	23.955660	26.022375	26.050755	23.971210	0.000000
2	79	24.216015	25.816909	25.811579	24.155450	0.000047
2	80	24.767996	25.235249	25.246610	24.749799	0.000346
2	81	24.261021	25.789071	25.715882	24.233399	0.000627
2	82	24.333238	25.649791	25.666388	24.349779	0.000804
2	83	24.587384	25.403583	25.428054	24.574022	0.006957
2	84	23.242564	26.778186	26.716227	23.258881	0.004142
2	85	23.911627	26.087616	26.086251	23.909915	0.004591
2	86	25.267967	24.758299	24.699333	25.267350	0.007051
2	87	22.016948	27.987372	27.954102	22.032396	0.009183
2	88	22.665168	27.348232	27.268927	22.698363	0.019310
2	89	23.467761	26.552933	26.513585	23.436108	0.029614
2	90	23.482834	26.498240	26.487196	23.504257	0.027473
2	91	23.741993	26.317909	26.238118	23.687936	0.014045
2	92	23.572256	26.463277	26.395427	23.545662	0.023377
2	93	23.457923	26.517549	26.520747	23.465881	0.037899
2	94	23.684915	26.304041	26.286041	23.712126	0.012876
2	95	23.491577	26.546247	26.456039	23.489866	0.016270
2	96	23.436435	26.562948	26.549015	23.428824	0.022779
2	97	23.726003	26.303312	26.257007	23.696277	0.017402
2	98	23.576997	26.441031	26.391556	23.560409	0.030007
2	99	23.535919	26.499306	26.455207	23.480496	0.029072
2	100	23.826786	26.242157	26.180068	23.726611	0.024378
2	101	23.637376	26.367066	26.350655	23.617393	0.027510
2	102	23.581598	26.426883	26.406443	23.555939	0.029137
2	103	23.790851	26.225737	26.220772	23.733493	0.029147
2	104	23.621367	26.367917	26.379914	23.606247	0.024555
2	105	23.519284	26.507020	26.473151	23.469949	0.030596
2	106	23.789692	26.236874	26.237875	23.713950	0.021610
2	107	23.619011	26.427819	26.351927	23.575454	0.025790
2	108	23.570863	26.477602	26.452589	23.463244	0.035702
2	109	23.768297	26.261383	26.258007	23.687038	0.025275
2	110	23.609248	26.416055	26.399130	23.553227	0.022339
2	111	23.535218	26.465633	26.507432	23.475269	0.016448
2	112	23.784243	26.251039	26.252901	23.701203	0.010615
2	113	23.645001	26.403256	26.420149	23.518348	0.013245
2	114	23.547013	26.486363	26.486101	23.462168	0.018356
2	115	23.745933	26.271625	26.321789	23.642340	0.018312
2	116	23.613125	26.403842	26.447622	23.521007	0.014403
2	117	23.534441	26.458801	26.563178	23.427172	0.016409
2	118	23.741245	26.254987	26.357387	23.634820	0.011562
2	119	23.580882	26.424399	26.472498	23.498260	0.023961
2	120	23.539189	26.499357	26.554639	23.392224	0.014591
2	121	23.700543	26.295322	26.368990	23.615326	0.019820
2	122	23.545734	26.466589	26.503060	23.469262	0.015354
2	123	23.481682	26.536973	26.587073	23.383908	0.010363
2	124	23.715395	26.317691	26.386534	23.569705	0.010674
2	125	23.560584	26.435362	26.527078	23.466234	0.010742
