## htsjdk.samtools.metrics.StringHeader
# MarkIlluminaAdapters --INPUT CFD1902454.unaligned.bam --METRICS CFD1902454_adapter_metrics.txt --MIN_MATCH_BASES_SE 12 --MIN_MATCH_BASES_PE 6 --MAX_ERROR_RATE_SE 0.1 --MAX_ERROR_RATE_PE 0.1 --ADAPTERS INDEXED --ADAPTERS DUAL_INDEXED --ADAPTERS PAIRED_END --ADAPTER_TRUNCATION_LENGTH 30 --PRUNE_ADAPTER_LIST_AFTER_THIS_MANY_ADAPTERS_SEEN 100 --NUM_ADAPTERS_TO_KEEP 1 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Nov 03 09:06:10 CET 2020


## HISTOGRAM	java.lang.Integer
clipped_bases	read_count
12	512
13	378
14	325
15	328
16	283
17	248
18	205
19	183
20	244
21	202
22	185
23	166
24	133
25	152
26	133
27	130
28	103
29	93
30	86
31	239
32	266
33	204
34	99
35	100
36	137
37	75
38	63
39	91
40	80
41	54
42	56
43	66
44	111
45	80
46	427
47	221
48	43
49	68
50	164
51	4580

