## htsjdk.samtools.metrics.StringHeader
# MarkIlluminaAdapters --INPUT CFD1902452.unaligned.bam --METRICS CFD1902452_adapter_metrics.txt --MIN_MATCH_BASES_SE 12 --MIN_MATCH_BASES_PE 6 --MAX_ERROR_RATE_SE 0.1 --MAX_ERROR_RATE_PE 0.1 --ADAPTERS INDEXED --ADAPTERS DUAL_INDEXED --ADAPTERS PAIRED_END --ADAPTER_TRUNCATION_LENGTH 30 --PRUNE_ADAPTER_LIST_AFTER_THIS_MANY_ADAPTERS_SEEN 100 --NUM_ADAPTERS_TO_KEEP 1 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Nov 03 09:03:22 CET 2020


## HISTOGRAM	java.lang.Integer
clipped_bases	read_count
12	269
13	222
14	169
15	210
16	162
17	170
18	176
19	148
20	140
21	132
22	117
23	122
24	107
25	78
26	93
27	81
28	94
29	80
30	58
31	172
32	91
33	112
34	73
35	73
36	99
37	92
38	70
39	90
40	108
41	80
42	88
43	49
44	188
45	124
46	176
47	192
48	109
49	103
50	112
51	309

