## htsjdk.samtools.metrics.StringHeader
# MarkIlluminaAdapters --INPUT CFD1901317.unaligned.bam --METRICS CFD1901317_adapter_metrics.txt --MIN_MATCH_BASES_SE 12 --MIN_MATCH_BASES_PE 6 --MAX_ERROR_RATE_SE 0.1 --MAX_ERROR_RATE_PE 0.1 --ADAPTERS INDEXED --ADAPTERS DUAL_INDEXED --ADAPTERS PAIRED_END --ADAPTER_TRUNCATION_LENGTH 30 --PRUNE_ADAPTER_LIST_AFTER_THIS_MANY_ADAPTERS_SEEN 100 --NUM_ADAPTERS_TO_KEEP 1 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Nov 03 08:51:40 CET 2020


## HISTOGRAM	java.lang.Integer
clipped_bases	read_count
12	159
13	170
14	100
15	115
16	112
17	96
18	102
19	106
20	80
21	89
22	85
23	68
24	68
25	49
26	68
27	65
28	42
29	62
30	68
31	426
32	144
33	129
34	88
35	71
36	67
37	68
38	66
39	109
40	98
41	90
42	183
43	108
44	234
45	173
46	150
47	190
48	178
49	165
50	211
51	730

