## htsjdk.samtools.metrics.StringHeader
# MarkIlluminaAdapters --INPUT CFD1902451.unaligned.bam --METRICS CFD1902451_adapter_metrics.txt --MIN_MATCH_BASES_SE 12 --MIN_MATCH_BASES_PE 6 --MAX_ERROR_RATE_SE 0.1 --MAX_ERROR_RATE_PE 0.1 --ADAPTERS INDEXED --ADAPTERS DUAL_INDEXED --ADAPTERS PAIRED_END --ADAPTER_TRUNCATION_LENGTH 30 --PRUNE_ADAPTER_LIST_AFTER_THIS_MANY_ADAPTERS_SEEN 100 --NUM_ADAPTERS_TO_KEEP 1 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Nov 03 08:59:56 CET 2020


## HISTOGRAM	java.lang.Integer
clipped_bases	read_count
12	270
13	194
14	176
15	188
16	182
17	167
18	176
19	145
20	149
21	172
22	123
23	116
24	101
25	108
26	81
27	106
28	78
29	79
30	81
31	106
32	79
33	94
34	74
35	64
36	56
37	67
38	53
39	66
40	59
41	56
42	41
43	70
44	55
45	65
46	358
47	188
48	120
49	120
50	98
51	349

