## htsjdk.samtools.metrics.StringHeader
# MarkIlluminaAdapters --INPUT CFD1901315.unaligned.bam --METRICS CFD1901315_adapter_metrics.txt --MIN_MATCH_BASES_SE 12 --MIN_MATCH_BASES_PE 6 --MAX_ERROR_RATE_SE 0.1 --MAX_ERROR_RATE_PE 0.1 --ADAPTERS INDEXED --ADAPTERS DUAL_INDEXED --ADAPTERS PAIRED_END --ADAPTER_TRUNCATION_LENGTH 30 --PRUNE_ADAPTER_LIST_AFTER_THIS_MANY_ADAPTERS_SEEN 100 --NUM_ADAPTERS_TO_KEEP 1 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Nov 03 08:50:32 CET 2020


## HISTOGRAM	java.lang.Integer
clipped_bases	read_count
12	81
13	54
14	69
15	46
16	39
17	33
18	53
19	33
20	37
21	33
22	32
23	23
24	23
25	17
26	40
27	14
28	17
29	22
30	20
31	104
32	28
33	27
34	22
35	26
36	12
37	13
38	18
39	23
40	29
41	22
42	27
43	35
44	81
45	62
46	68
47	76
48	79
49	111
50	131
51	944

