## htsjdk.samtools.metrics.StringHeader
# MarkIlluminaAdapters --INPUT CFD1901318.unaligned.bam --METRICS CFD1901318_adapter_metrics.txt --MIN_MATCH_BASES_SE 12 --MIN_MATCH_BASES_PE 6 --MAX_ERROR_RATE_SE 0.1 --MAX_ERROR_RATE_PE 0.1 --ADAPTERS INDEXED --ADAPTERS DUAL_INDEXED --ADAPTERS PAIRED_END --ADAPTER_TRUNCATION_LENGTH 30 --PRUNE_ADAPTER_LIST_AFTER_THIS_MANY_ADAPTERS_SEEN 100 --NUM_ADAPTERS_TO_KEEP 1 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Nov 03 08:53:27 CET 2020


## HISTOGRAM	java.lang.Integer
clipped_bases	read_count
12	256
13	251
14	180
15	177
16	186
17	137
18	171
19	140
20	134
21	154
22	120
23	116
24	135
25	89
26	84
27	91
28	77
29	68
30	78
31	83
32	53
33	52
34	42
35	35
36	41
37	25
38	25
39	44
40	15
41	17
42	43
43	20
44	73
45	74
46	72
47	115
48	67
49	100
50	91
51	971

