## htsjdk.samtools.metrics.StringHeader
# MarkIlluminaAdapters --INPUT CFD1901319.unaligned.bam --METRICS CFD1901319_adapter_metrics.txt --MIN_MATCH_BASES_SE 12 --MIN_MATCH_BASES_PE 6 --MAX_ERROR_RATE_SE 0.1 --MAX_ERROR_RATE_PE 0.1 --ADAPTERS INDEXED --ADAPTERS DUAL_INDEXED --ADAPTERS PAIRED_END --ADAPTER_TRUNCATION_LENGTH 30 --PRUNE_ADAPTER_LIST_AFTER_THIS_MANY_ADAPTERS_SEEN 100 --NUM_ADAPTERS_TO_KEEP 1 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Nov 03 08:56:46 CET 2020


## HISTOGRAM	java.lang.Integer
clipped_bases	read_count
12	235
13	165
14	140
15	139
16	130
17	126
18	112
19	100
20	153
21	135
22	100
23	95
24	69
25	90
26	75
27	85
28	85
29	58
30	43
31	166
32	97
33	84
34	67
35	40
36	64
37	65
38	53
39	55
40	59
41	35
42	50
43	27
44	44
45	50
46	190
47	66
48	50
49	45
50	20
51	152

