TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
10000.0	7401.5	6936.7	7897.5
20000.0	13321.0	12532.9	14158.7
30000.0	18395.5	17360.9	19491.8
40000.0	22869.5	21636.4	24172.9
50000.0	26897.5	25496.7	28375.2
60000.0	30565.0	29020.0	32192.3
70000.0	33945.0	32271.2	35705.7
80000.0	37100.5	35310.8	38980.9
90000.0	40059.5	38163.4	42049.8
100000.0	42845.0	40851.2	44936.2
110000.0	45481.0	43395.8	47666.4
120000.0	47991.0	45820.0	50264.8
130000.0	50392.0	48138.7	52750.8
140000.0	52693.8	50363.0	55132.4
150000.0	54905.7	52501.0	57420.5
160000.0	57036.3	54560.9	59624.1
170000.0	59092.9	56549.4	61750.7
180000.0	61081.6	58472.7	63806.9
190000.0	63007.9	60335.6	65798.6
200000.0	64873.6	62140.1	67727.4
210000.0	66680.4	63887.9	69595.0
220000.0	68426.2	65577.6	71398.4
230000.0	70119.9	67218.7	73146.2
240000.0	71766.5	68816.2	74843.3
250000.0	73368.6	70372.0	76492.9
260000.0	74934.8	71893.2	78105.0
270000.0	76489.1	73401.9	79706.2
280000.0	78033.4	74898.3	81299.8
290000.0	79546.4	76360.4	82865.4
300000.0	81000.6	77759.5	84376.7
310000.0	82427.0	79126.7	85864.9
320000.0	83816.4	80453.3	87320.1
330000.0	85186.3	81756.9	88759.5
340000.0	86517.0	83018.0	90163.5
350000.0	87812.7	84240.1	91536.7
360000.0	89136.3	85485.7	92942.8
370000.0	90433.4	86699.7	94328.0
380000.0	91700.9	87878.4	95689.6
390000.0	92832.9	88915.8	96922.6
400000.0	94045.4	90027.1	98243.1
410000.0	95185.5	91059.4	99498.6
420000.0	96325.0	92084.1	100761.1
430000.0	97536.0	93173.3	102102.9
440000.0	98616.0	94124.6	103321.7
450000.0	99709.9	95082.8	104562.1
460000.0	100745.1	95975.6	105751.7
470000.0	101770.4	96851.7	106938.9
480000.0	102778.4	97704.2	108116.2
490000.0	103769.7	98533.7	109284.0
500000.0	104771.1	99367.3	110468.8
510000.0	105757.7	100180.4	111645.5
520000.0	106716.3	100960.1	112800.7
530000.0	107644.0	101703.8	113931.1
540000.0	108597.2	102468.1	115092.9
550000.0	109482.5	103160.1	116192.4
560000.0	110374.0	103853.8	117303.5
570000.0	111225.2	104503.3	118379.5
580000.0	112094.3	105166.7	119478.2
590000.0	112918.4	105781.7	120536.6
600000.0	113729.7	106380.4	121586.7
610000.0	114544.9	106979.9	122644.9
620000.0	115412.1	107628.1	123758.9
630000.0	116266.7	108261.0	124864.3
640000.0	117098.4	108868.4	125950.5
650000.0	117919.2	109462.5	127029.3
660000.0	118762.3	110076.3	128133.7
670000.0	119582.4	110665.0	129218.4
680000.0	120381.6	111230.8	130285.2
690000.0	121104.8	111718.8	131279.3
700000.0	121817.8	112194.9	132266.1
710000.0	122520.7	112659.2	133245.5
720000.0	123218.9	113117.1	134222.9
730000.0	123935.3	113591.6	135220.8
740000.0	124642.7	114055.8	136212.3
750000.0	125367.2	114535.6	137223.0
760000.0	126082.9	115005.5	138227.4
770000.0	126790.2	115465.7	139225.4
780000.0	127489.1	115916.4	140217.1
790000.0	128179.8	116358.0	141202.7
800000.0	128863.7	116791.8	142183.4
810000.0	129558.5	117235.4	143176.8
820000.0	130252.6	117677.6	144171.4
830000.0	130964.7	118136.9	145185.4
840000.0	131669.7	118588.3	146194.1
850000.0	132367.8	119032.1	147197.5
860000.0	133059.0	119468.4	148195.7
870000.0	133743.5	119897.4	149188.6
880000.0	134421.4	120319.3	150176.4
890000.0	135092.8	120734.2	151159.1
900000.0	135757.8	121142.2	152136.8
910000.0	136416.5	121543.5	153109.5
920000.0	137063.1	121932.4	154071.5
930000.0	137636.5	122248.2	154962.0
940000.0	138203.8	122557.5	155847.5
950000.0	138765.0	122860.6	156728.3
960000.0	139320.3	123157.5	157604.2
970000.0	139869.7	123448.4	158475.5
980000.0	140426.5	123746.3	159355.0
990000.0	141013.6	124074.2	160265.7
1000000.0	141595.1	124396.4	161171.7
1010000.0	142133.1	124675.3	162035.6
1020000.0	142665.7	124948.6	162894.9
1030000.0	143192.8	125216.5	163749.7
1040000.0	143714.5	125479.0	164600.0
1050000.0	144230.9	125736.3	165446.0
1060000.0	144742.2	125988.4	166287.6
1070000.0	145248.4	126235.5	167124.9
1080000.0	145749.5	126477.6	167958.0
1090000.0	146245.7	126714.9	168786.8
1100000.0	146737.0	126947.4	169611.6
1110000.0	147223.5	127175.2	170432.2
1120000.0	147705.3	127398.4	171248.9
1130000.0	148182.4	127617.2	172061.5
1140000.0	148647.5	127824.3	172863.0
1150000.0	149074.6	127993.9	173627.4
1160000.0	149497.3	128159.2	174388.0
1170000.0	149915.5	128320.5	175144.8
1180000.0	150359.5	128507.4	175927.6
1190000.0	150808.2	128699.1	176715.5
1200000.0	151252.6	128886.8	177499.6
1210000.0	151692.9	129070.6	178280.1
1220000.0	152129.0	129250.6	179057.0
1230000.0	152561.1	129426.9	179830.3
1240000.0	152989.1	129599.5	180600.1
1250000.0	153394.0	129749.4	181347.4
1260000.0	153794.3	129895.1	182090.6
1270000.0	154190.8	130037.4	182830.4
1280000.0	154583.5	130176.3	183566.9
1290000.0	154972.6	130311.9	184300.1
1300000.0	155358.0	130444.2	185030.1
1310000.0	155739.8	130573.3	185756.8
1320000.0	156118.1	130699.3	186480.3
1330000.0	156492.8	130822.2	187200.7
1340000.0	156864.2	130942.1	187918.0
1350000.0	157232.1	131059.0	188632.2
1360000.0	157596.7	131173.0	189343.4
1370000.0	157958.0	131284.1	190051.5
1380000.0	158316.1	131392.4	190756.7
1390000.0	158670.9	131497.9	191459.0
1400000.0	159022.6	131600.7	192158.3
1410000.0	159371.1	131700.9	192854.8
1420000.0	159716.6	131798.5	193548.4
1430000.0	160059.0	131893.4	194239.2
1440000.0	160398.4	131985.9	194927.3
1450000.0	160734.8	132075.9	195612.5
1460000.0	161068.4	132163.4	196295.1
1470000.0	161399.0	132248.5	196974.9
1480000.0	161726.8	132331.3	197652.1
1490000.0	162051.8	132411.8	198326.6
1500000.0	162374.0	132490.0	198998.5
1510000.0	162693.5	132566.0	199667.9
1520000.0	163010.2	132639.8	200334.7
