TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
10000.0	7828.5	7598.0	8066.0
20000.0	14004.5	13610.8	14409.6
30000.0	19244.0	18727.5	19774.7
40000.0	23826.5	23212.4	24456.8
50000.0	27910.0	27215.0	28622.8
60000.0	31615.5	30850.4	32399.6
70000.0	35022.5	34196.4	35868.5
80000.0	38187.5	37307.4	39088.3
90000.0	41137.5	40208.5	42088.0
100000.0	43908.5	42934.5	44904.6
110000.0	46528.0	45512.7	47565.9
120000.0	49014.5	47960.8	50091.3
130000.0	51381.0	50291.4	52494.2
140000.0	53639.3	52515.5	54787.1
150000.0	55807.6	54651.9	56987.7
160000.0	57896.8	56711.1	59107.3
170000.0	59900.0	58685.9	61139.3
180000.0	61836.4	60595.4	63102.8
190000.0	63700.3	62433.9	64992.3
200000.0	65504.6	64214.3	66820.9
210000.0	67249.1	65936.1	68588.2
220000.0	68929.0	67594.5	70289.9
230000.0	70538.5	69182.8	71920.8
240000.0	72116.6	70738.7	73521.2
250000.0	73634.9	72231.8	75065.1
260000.0	75107.8	73674.5	76569.1
270000.0	76543.6	75073.2	78042.8
280000.0	77937.0	76421.8	79482.2
290000.0	79329.6	77761.6	80929.3
300000.0	80680.5	79051.4	82343.2
310000.0	81937.3	80239.2	83671.4
320000.0	83174.9	81400.2	84988.3
330000.0	84371.5	82513.2	86271.7
340000.0	85546.6	83598.0	87540.5
350000.0	86744.7	84699.4	88839.4
360000.0	87911.3	85762.6	90113.9
370000.0	89007.0	86747.9	91324.9
380000.0	90078.7	87702.2	92519.6
390000.0	91143.6	88642.5	93715.2
400000.0	92110.2	89477.4	94820.4
410000.0	93131.3	90359.8	95987.9
420000.0	94155.4	91238.3	97165.8
430000.0	95113.4	92044.2	98284.9
440000.0	96005.7	92778.4	99345.2
450000.0	96906.4	93515.3	100420.4
460000.0	97832.3	94272.2	101526.9
470000.0	98747.7	95013.7	102628.5
480000.0	99645.5	95733.3	103717.7
490000.0	100526.4	96431.9	104794.6
500000.0	101390.7	97110.6	105859.5
510000.0	102222.3	97753.3	106895.5
520000.0	103043.8	98383.3	107925.0
530000.0	103812.3	98957.8	108904.8
540000.0	104611.4	99560.9	109918.1
550000.0	105391.6	100143.2	110915.0
560000.0	106157.8	100710.0	111900.2
570000.0	106920.9	101272.6	112884.3
580000.0	107673.3	101823.3	113859.5
590000.0	108413.1	102360.5	114823.5
600000.0	109115.6	102860.0	115751.6
610000.0	109805.0	103346.0	116667.8
620000.0	110473.9	103811.1	117564.4
630000.0	111095.5	104228.9	118414.4
640000.0	111705.6	104635.3	119253.8
650000.0	112304.8	105030.8	120082.5
660000.0	112904.6	105427.3	120912.3
670000.0	113537.3	105856.9	121775.0
680000.0	114177.4	106294.3	122645.2
690000.0	114807.9	106722.7	123505.7
700000.0	115429.1	107142.3	124356.7
710000.0	116025.3	107537.7	125182.7
720000.0	116600.5	107913.0	125987.4
730000.0	117166.9	108280.2	126782.9
740000.0	117724.7	108639.7	127569.3
750000.0	118274.0	108991.7	128346.9
760000.0	118815.1	109336.5	129115.6
770000.0	119334.1	109660.0	129861.5
780000.0	119844.4	109976.2	130598.2
790000.0	120347.0	110285.5	131326.4
800000.0	120841.9	110588.3	132046.1
810000.0	121329.3	110884.8	132757.6
820000.0	121809.4	111175.1	133460.8
830000.0	122282.3	111459.4	134156.1
840000.0	122748.2	111738.0	134843.4
850000.0	123207.4	112010.9	135523.0
860000.0	123659.8	112278.4	136194.9
870000.0	124115.5	112550.4	136869.0
880000.0	124568.5	112820.9	137539.4
890000.0	125015.3	113086.4	138202.5
900000.0	125455.8	113346.9	138858.3
910000.0	125890.4	113602.8	139507.0
920000.0	126319.0	113853.9	140148.7
930000.0	126741.8	114100.6	140783.5
940000.0	127159.0	114342.9	141411.6
950000.0	127570.6	114580.9	142032.9
960000.0	127976.7	114814.7	142647.6
970000.0	128377.6	115044.5	143255.8
980000.0	128773.2	115270.3	143857.7
990000.0	129163.6	115492.3	144453.2
1000000.0	129549.1	115710.6	145042.6
1010000.0	129926.1	115921.7	145622.3
1020000.0	130290.5	116121.5	146188.4
1030000.0	130650.3	116318.0	146748.7
1040000.0	131005.6	116511.2	147303.1
1050000.0	131356.3	116701.1	147851.9
1060000.0	131702.6	116887.8	148395.1
1070000.0	132044.6	117071.5	148932.8
1080000.0	132382.4	117252.1	149465.1
1090000.0	132720.9	117434.7	149996.8
1100000.0	133060.9	117620.0	150528.8
1110000.0	133396.9	117802.5	151055.7
1120000.0	133729.0	117982.2	151577.5
1130000.0	134057.3	118159.4	152094.2
1140000.0	134381.8	118333.9	152606.0
1150000.0	134702.5	118505.9	153112.8
1160000.0	135019.6	118675.3	153614.9
1170000.0	135333.1	118842.4	154112.1
1180000.0	135643.1	119007.1	154604.7
1190000.0	135949.6	119169.4	155092.6
1200000.0	136252.7	119329.5	155576.0
1210000.0	136552.5	119487.3	156054.9
1220000.0	136848.9	119642.9	156529.3
1230000.0	137142.1	119796.4	156999.4
