gene-HXD31_RS00005	HXD31_RS00005	NZ_AJ224742.1	148
gene-HXD31_RS00010	HXD31_RS00010	NZ_AJ224742.1	670
gene-HXD31_RS00015	HXD31_RS00015	NZ_AJ224742.1	275
gene-PSHA_RS00005	dnaA	NC_007481.1	4473
gene-PSHA_RS00010	dnaN	NC_007481.1	4084
gene-PSHA_RS00015	recF	NC_007481.1	1868
gene-PSHA_RS00020	gyrB	NC_007481.1	13567
gene-PSHA_RS00025	glyQ	NC_007481.1	4221
gene-PSHA_RS00030	glyS	NC_007481.1	7589
gene-PSHA_RS00035	PSHA_RS00035	NC_007481.1	1156
gene-PSHA_RS00040	PSHA_RS00040	NC_007481.1	476
gene-PSHA_RS00045	tusA	NC_007481.1	469
gene-PSHA_RS00050	fadA	NC_007481.1	2264
gene-PSHA_RS00055	fadB	NC_007481.1	3843
gene-PSHA_RS00060	PSHA_RS00060	NC_007481.1	1403
gene-PSHA_RS00065	pepQ	NC_007481.1	3302
gene-PSHA_RS00070	PSHA_RS00070	NC_007481.1	78
gene-PSHA_RS00075	PSHA_RS00075	NC_007481.1	908
gene-PSHA_RS00080	PSHA_RS00080	NC_007481.1	360
gene-PSHA_RS00085	PSHA_RS00085	NC_007481.1	120
gene-PSHA_RS00090	PSHA_RS00090	NC_007481.1	132
gene-PSHA_RS00095	PSHA_RS00095	NC_007481.1	143
gene-PSHA_RS00100	trkA	NC_007481.1	1367
gene-PSHA_RS00105	rsmB	NC_007481.1	3204
gene-PSHA_RS00110	fmt	NC_007481.1	3111
gene-PSHA_RS00115	def	NC_007481.1	1817
gene-PSHA_RS00120	PSHA_RS00120	NC_007481.1	1040
gene-PSHA_RS00125	dprA	NC_007481.1	64
gene-PSHA_RS00130	PSHA_RS00130	NC_007481.1	20
gene-PSHA_RS00135	PSHA_RS00135	NC_007481.1	1246
gene-PSHA_RS00140	PSHA_RS00140	NC_007481.1	796
gene-PSHA_RS00145	hemF	NC_007481.1	1057
gene-PSHA_RS00150	PSHA_RS00150	NC_007481.1	608
gene-PSHA_RS00155	aroE	NC_007481.1	367
gene-PSHA_RS00160	PSHA_RS00160	NC_007481.1	78
gene-PSHA_RS00165	PSHA_RS00165	NC_007481.1	738
gene-PSHA_RS00170	PSHA_RS00170	NC_007481.1	52
gene-PSHA_RS00175	PSHA_RS00175	NC_007481.1	0
gene-PSHA_RS00180	PSHA_RS00180	NC_007481.1	0
gene-PSHA_RS00185	PSHA_RS00185	NC_007481.1	0
gene-PSHA_RS00190	rrf	NC_007481.1	0
gene-PSHA_RS00195	PSHA_RS00195	NC_007481.1	1049
gene-PSHA_RS00200	PSHA_RS00200	NC_007481.1	577
gene-PSHA_RS00205	PSHA_RS00205	NC_007481.1	1026
gene-PSHA_RS00210	PSHA_RS00210	NC_007481.1	942
gene-PSHA_RS00215	PSHA_RS00215	NC_007481.1	10119
gene-PSHA_RS00220	PSHA_RS00220	NC_007481.1	2045
