#SentieonCommandLine: /mnt/ix1/Resources/tools/sentieon-genomics/v201808.08/libexec/driver -t 16 -i Pinsky_150_repl1_PE.st.bam --interval ../../covid_target.bed --algo Dedup --score_info Pinsky_150_repl1_PE.st.score.tmp --metrics Pinsky_150_repl1_PE.st.metrics.DeDup Pinsky_150_repl1_PE.st.mdup.bam
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	3	18421	237	3	3	5147	470	0.279468	28162

#HISTOGRAM
BIN	VALUE
1.0	1.018564
2.0	1.548122
3.0	1.823441
4.0	1.966581
5.0	2.041001
6.0	2.079692
7.0	2.099807
8.0	2.110266
9.0	2.115703
10.0	2.118530
11.0	2.119999
12.0	2.120764
13.0	2.121161
14.0	2.121367
15.0	2.121475
16.0	2.121531
17.0	2.121560
18.0	2.121575
19.0	2.121583
20.0	2.121587
21.0	2.121589
22.0	2.121590
23.0	2.121590
24.0	2.121591
25.0	2.121591
26.0	2.121591
27.0	2.121591
28.0	2.121591
29.0	2.121591
30.0	2.121591
31.0	2.121591
32.0	2.121591
33.0	2.121591
34.0	2.121591
35.0	2.121591
36.0	2.121591
37.0	2.121591
38.0	2.121591
39.0	2.121591
40.0	2.121591
41.0	2.121591
42.0	2.121591
43.0	2.121591
44.0	2.121591
45.0	2.121591
46.0	2.121591
47.0	2.121591
48.0	2.121591
49.0	2.121591
50.0	2.121591
51.0	2.121591
52.0	2.121591
53.0	2.121591
54.0	2.121591
55.0	2.121591
56.0	2.121591
57.0	2.121591
58.0	2.121591
59.0	2.121591
60.0	2.121591
61.0	2.121591
62.0	2.121591
63.0	2.121591
64.0	2.121591
65.0	2.121591
66.0	2.121591
67.0	2.121591
68.0	2.121591
69.0	2.121591
70.0	2.121591
71.0	2.121591
72.0	2.121591
73.0	2.121591
74.0	2.121591
75.0	2.121591
76.0	2.121591
77.0	2.121591
78.0	2.121591
79.0	2.121591
80.0	2.121591
81.0	2.121591
82.0	2.121591
83.0	2.121591
84.0	2.121591
85.0	2.121591
86.0	2.121591
87.0	2.121591
88.0	2.121591
89.0	2.121591
90.0	2.121591
91.0	2.121591
92.0	2.121591
93.0	2.121591
94.0	2.121591
95.0	2.121591
96.0	2.121591
97.0	2.121591
98.0	2.121591
99.0	2.121591
100.0	2.121591
