TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	606019.0	603008.9	609044.1
2000000.0	1075248.0	1069843.1	1080680.2
3000000.0	1489252.0	1482021.5	1496517.8
4000000.0	1866030.0	1857397.2	1874702.9
5000000.0	2213518.0	2203463.8	2223618.1
6000000.0	2537566.5	2526107.6	2549077.3
7000000.0	2842721.0	2829655.5	2855846.8
8000000.0	3130085.0	3115969.9	3144264.1
9000000.0	3402791.5	3388241.8	3417403.7
10000000.0	3662827.5	3647056.6	3678666.6
11000000.0	3910275.0	3893650.5	3926970.5
12000000.0	4147707.0	4130230.4	4165257.5
13000000.0	4375183.5	4356837.1	4393607.2
14000000.0	4592658.5	4574251.5	4611139.5
15000000.0	4802607.0	4783578.2	4821711.5
16000000.0	5004822.5	4984678.2	5025048.2
17000000.0	5199374.5	5178667.8	5220164.0
18000000.0	5387332.5	5366777.9	5407965.8
19000000.0	5569160.5	5548128.9	5590271.8
20000000.0	5745252.0	5723675.4	5766910.0
21000000.0	5915471.5	5893435.4	5937590.0
22000000.0	6080916.0	6058649.9	6103264.0
23000000.0	6241145.0	6218450.0	6263922.8
24000000.0	6396488.0	6373489.6	6419569.4
25000000.0	6547429.8	6524123.0	6570819.8
26000000.0	6694177.2	6670596.2	6717841.6
27000000.0	6836888.9	6813052.7	6860808.6
