TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	651603.0	648589.7	654630.3
2000000.0	1155702.5	1150476.2	1160952.5
3000000.0	1595112.5	1588150.0	1602105.5
4000000.0	1990920.0	1982298.7	1999578.7
5000000.0	2352780.5	2343054.1	2362547.3
6000000.0	2687589.0	2676663.1	2698559.4
7000000.0	3000597.5	2988634.5	3012608.4
8000000.0	3294085.5	3280985.9	3307237.4
9000000.0	3570833.5	3556795.9	3584926.5
10000000.0	3832905.5	3818599.0	3847265.6
11000000.0	4081544.5	4066281.4	4096864.9
12000000.0	4318347.0	4302598.4	4334153.2
13000000.0	4545056.5	4528916.4	4561254.1
14000000.0	4761700.0	4745344.8	4778111.5
15000000.0	4969418.5	4951962.9	4986935.7
16000000.0	5168465.0	5151019.0	5185970.1
17000000.0	5360532.5	5342510.2	5378615.6
18000000.0	5544912.5	5526384.8	5563502.3
19000000.0	5723364.5	5704574.8	5742216.1
20000000.0	5895215.0	5875700.6	5914794.2
21000000.0	6061375.0	6041996.6	6080815.5
22000000.0	6222169.0	6202430.6	6241970.2
23000000.0	6378063.0	6358090.4	6398098.4
24000000.0	6528641.5	6508461.6	6548883.9
25000000.0	6674753.1	6654356.6	6695212.1
26000000.0	6816569.0	6795964.8	6837235.6
27000000.0	6954278.7	6933481.7	6975138.1
