TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	563930.5	560650.9	567229.2
2000000.0	981620.5	976090.5	987181.9
3000000.0	1343060.0	1335748.9	1350411.2
4000000.0	1667071.5	1658054.7	1676137.4
5000000.0	1963835.5	1953477.7	1974248.3
6000000.0	2238287.0	2226672.7	2249961.8
7000000.0	2494174.0	2481680.4	2506730.5
8000000.0	2734383.0	2720501.2	2748335.7
9000000.0	2960488.5	2945898.1	2975151.1
10000000.0	3175143.0	3160009.9	3190348.6
11000000.0	3378826.0	3362799.2	3394929.2
12000000.0	3573126.5	3556611.4	3589718.3
13000000.0	3757839.5	3740722.3	3775035.0
14000000.0	3935614.0	3917983.8	3953323.5
15000000.0	4105436.5	4086854.2	4124103.3
16000000.0	4268897.0	4250240.0	4287635.9
17000000.0	4425458.0	4406322.6	4444676.5
18000000.0	4577144.0	4557507.5	4596865.1
19000000.0	4722349.5	4702702.4	4742078.7
20000000.0	4863364.5	4843126.7	4883686.8
21000000.0	4999746.0	4979287.6	5020288.5
22000000.0	5130490.0	5109718.7	5151345.7
23000000.0	5257689.5	5236637.8	5278825.8
24000000.0	5380854.4	5359535.3	5402258.4
25000000.0	5500238.1	5478687.6	5521873.4
26000000.0	5615974.5	5594209.2	5637824.4
27000000.0	5728286.8	5706322.0	5750336.2
