TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	745122.0	743252.5	746996.2
2000000.0	1332211.5	1328773.5	1335658.4
3000000.0	1845192.5	1840549.9	1849846.8
4000000.0	2308278.0	2302772.7	2313796.4
5000000.0	2733684.5	2727390.8	2739992.7
6000000.0	3129200.0	3122072.2	3136344.1
7000000.0	3499526.0	3491591.4	3507478.6
8000000.0	3848856.0	3840600.8	3857128.9
9000000.0	4180175.5	4171013.6	4189357.5
10000000.0	4494302.0	4484781.5	4503842.7
11000000.0	4795091.0	4785269.0	4804933.2
12000000.0	5082897.0	5072374.1	5093441.7
13000000.0	5359359.0	5348202.7	5370538.6
14000000.0	5624625.5	5613519.5	5635753.4
15000000.0	5881503.0	5869524.3	5893506.1
16000000.0	6128979.5	6116682.9	6141300.8
17000000.0	6367238.5	6354620.6	6379881.4
18000000.0	6599279.0	6586453.8	6612129.1
19000000.0	6823322.5	6810149.0	6836521.5
20000000.0	7041141.0	7027822.5	7054484.7
21000000.0	7252588.0	7238779.6	7266422.8
22000000.0	7458733.0	7444651.1	7472841.6
23000000.0	7658725.5	7644522.5	7672954.9
24000000.0	7854069.0	7839575.8	7868589.0
25000000.0	8044344.6	8029590.7	8059125.6
26000000.0	8230011.4	8215017.0	8245033.3
27000000.0	8411262.2	8396035.1	8426516.9
