Transcript Id	Gene Name	Read Location	Mate Location	Same Chromosome
		12:18009904-18009996	12:20602650	true
		12:18151425-18151520	12:20436124	true
ENSMUST00000063216	5730507C01Rik	12:18514857-18531703	12:20633189	true
		12:18534672-18534772	12:21018012	true
		12:18873459-18873559	12:21016365	true
		12:19976811-19976910	12:17903216	true
		12:20436124-20436183	12:18151425	true
		12:20602650-20602737	12:18009904	true
		12:20633189-20633491	12:18514857	true
ENSMUST00000174530	Gm21989	12:21016365-21016465	12:18873459	true
ENSMUST00000174530	Gm21989	12:21018012-21018087	12:18534672	true
		12:21992939-21993036	12:24214198	true
		12:21993035-21993891	12:24214275	true
		12:21993097-21993195	12:24214524	true
		12:21993687-21993767	12:24215114	true
		12:24214198-24214293	12:21992939	true
		12:24214275-24214375	12:21993035	true
		12:24214524-24214622	12:21993097	true
		12:24215114-24215195	12:21993687	true
		14:41532829-41532928	14:43695230	true
		14:43695230-43695328	14:41532829	true
		2:177167169-177167271	2:175104262	true
ENSMUST00000143127	Platr16	4:145416573-145416671	4:147456022	true
ENSMUST00000150529	Platr16	4:145449648-145537538	4:147583789	true
ENSMUST00000150529	Platr16	4:145449665-145449757	4:147583865	true
ENSMUST00000150529	Platr16	4:145449724-145449811	4:147514920	true
ENSMUST00000120870	Gm13230	4:145449774-145449874	4:147583785	true
ENSMUST00000120870	Gm13230	4:145449799-145449896	4:147583825	true
ENSMUST00000120870	Gm13230	4:145450001-145537891	4:147584230	true
ENSMUST00000105742	Gm13225	4:145537817-145537917	4:147583819	true
ENSMUST00000105742	Gm13225	4:145537819-145537919	4:147584281	true
ENSMUST00000105742	Gm13225	4:145537841-145537938	4:147584286	true
ENSMUST00000181752	C230088H06Rik	4:147445572-147445639	4:145406351	true
ENSMUST00000181752	C230088H06Rik	4:147451581-147451681	4:145411933	true
ENSMUST00000181752	C230088H06Rik	4:147456022-147456121	4:145416573	true
		4:147514685-147514756	4:145450345	true
		4:147514832-147514905	4:145449724	true
		4:147514920-147515020	4:145449724	true
ENSMUST00000139784	Gm13154	4:147581238-147581325	4:145573443	true
ENSMUST00000081742	Gm13154	4:147583785-147583885	4:145449774	true
ENSMUST00000081742	Gm13154	4:147583789-147583889	4:145449648	true
ENSMUST00000081742	Gm13154	4:147583812-147583912	4:145537841	true
ENSMUST00000081742	Gm13154	4:147583819-147584171	4:145537817	true
ENSMUST00000081742	Gm13154	4:147583825-147583923	4:145449799	true
ENSMUST00000081742	Gm13154	4:147583865-147583965	4:145449665	true
ENSMUST00000081742	Gm13154	4:147584230-147584330	4:145450001	true
ENSMUST00000081742	Gm13154	4:147584281-147584381	4:145537819	true
ENSMUST00000081742	Gm13154	4:147584286-147584386	4:145537841	true
		4:147601639-147601720	4:145592983	true
