#Coverage	Number of genomic locations
40.0	1.0
63.0	2.0
64.0	3.0
67.0	1.0
68.0	4.0
69.0	1.0
71.0	2.0
72.0	1.0
73.0	1.0
76.0	2.0
77.0	2.0
78.0	4.0
79.0	3.0
80.0	2.0
81.0	1.0
84.0	2.0
85.0	4.0
86.0	5.0
87.0	3.0
88.0	5.0
89.0	4.0
90.0	8.0
91.0	10.0
92.0	5.0
93.0	6.0
94.0	3.0
95.0	2.0
96.0	5.0
97.0	8.0
98.0	5.0
99.0	6.0
100.0	16.0
101.0	10.0
102.0	8.0
103.0	7.0
104.0	5.0
105.0	13.0
106.0	12.0
107.0	9.0
108.0	24.0
109.0	11.0
110.0	16.0
111.0	7.0
112.0	13.0
113.0	22.0
114.0	17.0
115.0	10.0
116.0	21.0
117.0	14.0
118.0	9.0
119.0	17.0
120.0	26.0
121.0	25.0
122.0	25.0
123.0	29.0
124.0	19.0
125.0	34.0
126.0	21.0
127.0	10.0
128.0	16.0
129.0	35.0
130.0	27.0
131.0	25.0
132.0	36.0
133.0	35.0
134.0	23.0
135.0	19.0
136.0	22.0
137.0	42.0
138.0	32.0
139.0	28.0
140.0	36.0
141.0	21.0
142.0	19.0
143.0	21.0
144.0	21.0
145.0	35.0
146.0	34.0
147.0	34.0
148.0	37.0
149.0	40.0
150.0	35.0
151.0	39.0
152.0	30.0
153.0	59.0
154.0	37.0
155.0	51.0
156.0	28.0
157.0	40.0
158.0	38.0
159.0	43.0
160.0	40.0
161.0	56.0
162.0	51.0
163.0	36.0
164.0	46.0
165.0	32.0
166.0	36.0
167.0	28.0
168.0	29.0
169.0	21.0
170.0	45.0
171.0	27.0
172.0	45.0
173.0	55.0
174.0	36.0
175.0	39.0
176.0	30.0
177.0	51.0
178.0	44.0
179.0	77.0
180.0	64.0
181.0	57.0
182.0	49.0
183.0	57.0
184.0	53.0
185.0	57.0
186.0	55.0
187.0	46.0
188.0	55.0
189.0	34.0
190.0	62.0
191.0	45.0
192.0	57.0
193.0	63.0
194.0	60.0
195.0	49.0
196.0	73.0
197.0	58.0
198.0	44.0
199.0	61.0
200.0	52.0
201.0	65.0
202.0	51.0
203.0	51.0
204.0	49.0
205.0	60.0
206.0	69.0
207.0	67.0
208.0	53.0
209.0	45.0
210.0	51.0
211.0	41.0
212.0	64.0
213.0	47.0
214.0	50.0
215.0	63.0
216.0	56.0
217.0	51.0
218.0	68.0
219.0	69.0
220.0	55.0
221.0	62.0
222.0	56.0
223.0	67.0
224.0	65.0
225.0	57.0
226.0	49.0
227.0	50.0
228.0	56.0
229.0	60.0
230.0	54.0
231.0	56.0
232.0	67.0
233.0	71.0
234.0	57.0
235.0	61.0
236.0	78.0
237.0	57.0
238.0	70.0
239.0	60.0
240.0	57.0
241.0	71.0
242.0	67.0
243.0	52.0
244.0	69.0
245.0	55.0
246.0	46.0
247.0	61.0
248.0	66.0
249.0	59.0
250.0	60.0
251.0	71.0
252.0	65.0
253.0	86.0
254.0	74.0
255.0	96.0
256.0	81.0
257.0	73.0
258.0	58.0
259.0	66.0
260.0	63.0
261.0	69.0
262.0	79.0
263.0	84.0
264.0	80.0
265.0	73.0
266.0	72.0
267.0	68.0
268.0	89.0
269.0	79.0
270.0	63.0
271.0	74.0
272.0	83.0
273.0	76.0
274.0	64.0
275.0	65.0
276.0	68.0
277.0	51.0
278.0	43.0
279.0	54.0
280.0	69.0
281.0	60.0
282.0	66.0
283.0	67.0
284.0	67.0
285.0	57.0
286.0	65.0
287.0	59.0
288.0	51.0
289.0	54.0
290.0	63.0
291.0	59.0
292.0	48.0
293.0	46.0
294.0	51.0
295.0	41.0
296.0	45.0
297.0	46.0
298.0	41.0
299.0	54.0
300.0	42.0
301.0	48.0
302.0	44.0
303.0	31.0
304.0	41.0
305.0	46.0
306.0	51.0
307.0	37.0
308.0	37.0
309.0	35.0
310.0	42.0
311.0	34.0
312.0	29.0
313.0	30.0
314.0	29.0
315.0	40.0
316.0	28.0
317.0	38.0
318.0	22.0
319.0	23.0
320.0	23.0
321.0	29.0
322.0	34.0
323.0	29.0
324.0	23.0
325.0	22.0
326.0	18.0
327.0	20.0
328.0	18.0
329.0	17.0
330.0	17.0
331.0	12.0
332.0	15.0
333.0	12.0
334.0	8.0
335.0	6.0
336.0	10.0
337.0	7.0
338.0	13.0
339.0	13.0
340.0	8.0
341.0	13.0
342.0	7.0
343.0	14.0
344.0	11.0
345.0	12.0
346.0	14.0
347.0	17.0
348.0	14.0
349.0	14.0
350.0	16.0
351.0	12.0
352.0	10.0
353.0	11.0
354.0	12.0
355.0	10.0
356.0	12.0
357.0	14.0
358.0	12.0
359.0	18.0
360.0	8.0
361.0	17.0
362.0	18.0
363.0	18.0
364.0	22.0
365.0	19.0
366.0	27.0
367.0	18.0
368.0	29.0
369.0	13.0
370.0	21.0
371.0	23.0
372.0	24.0
373.0	14.0
374.0	20.0
375.0	14.0
376.0	27.0
377.0	13.0
378.0	14.0
379.0	7.0
380.0	6.0
381.0	7.0
382.0	6.0
383.0	12.0
384.0	6.0
385.0	7.0
386.0	6.0
387.0	4.0
388.0	5.0
389.0	1.0
390.0	1.0
391.0	2.0
392.0	3.0
393.0	1.0
394.0	2.0
395.0	1.0
