COVERAGE SUMMARY,,Aligned bases,2166059017
COVERAGE SUMMARY,,Aligned bases in QC coverage region,1353428256,66.59
COVERAGE SUMMARY,,Average alignment coverage over QC coverage region,3.52
COVERAGE SUMMARY,,Uniformity of coverage (PCT > 0.2*mean) over QC coverage region,40.34
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [1500x: inf),0.01
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [1000x: inf),0.013
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [ 500x: inf),0.024
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [ 100x: inf),0.034
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [  50x: inf),4.45
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [  20x: inf),54.91
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [  15x: inf),61.97
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [  10x: inf),70.7
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [   3x: inf),81.92
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [   1x: inf),98.07
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [   0x: inf),100.00
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [1000x:1500x),0.0004
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [ 500x:1000x),0.0001
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [ 100x: 500x),0.0009
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [  50x: 100x),0.92
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [  20x:  50x),0.5
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [  15x:  20x),1.0
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [  10x:  15x),0.94
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [   3x:  10x),0.65
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [   1x:   3x),0.1
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [   0x:   1x),0.002
COVERAGE SUMMARY,,Average chr X coverage over QC coverage region,28.25
COVERAGE SUMMARY,,Average chr Y coverage over QC coverage region,22.53
COVERAGE SUMMARY,,Average mitochondrial coverage over QC coverage region,79.2
COVERAGE SUMMARY,,Average autosomal coverage over QC coverage region,61.22
COVERAGE SUMMARY,,Median autosomal coverage over QC coverage region,64.48
COVERAGE SUMMARY,,Mean/Median autosomal coverage ratio over QC coverage region,47.36
COVERAGE SUMMARY,,Aligned reads,2093521485
COVERAGE SUMMARY,,Aligned reads in QC coverage region,2081803029,64.22
