sample	read_end	cycle	frac_a	frac_c	frac_g	frac_t	frac_n
HG00240	1	1	0.28942	0.20943	0.20676	0.29184	0.00255
HG00240	1	2	0.28603	0.21469	0.21071	0.28856	0.00001
HG00240	1	3	0.27908	0.22161	0.21724	0.28207	0.00001
HG00240	1	4	0.27963	0.22114	0.21697	0.28226	0.00000
HG00240	1	5	0.28747	0.21336	0.20914	0.29003	0.00000
HG00240	1	6	0.28123	0.21971	0.21554	0.28352	0.00000
HG00240	1	7	0.27907	0.22193	0.21783	0.28117	0.00000
HG00240	1	8	0.28494	0.21586	0.21183	0.28738	0.00000
HG00240	1	9	0.28308	0.21768	0.21359	0.28565	0.00000
HG00240	1	10	0.28043	0.22036	0.21610	0.28312	0.00000
HG00240	1	11	0.28172	0.21908	0.21480	0.28440	0.00000
HG00240	1	12	0.28060	0.22020	0.21583	0.28336	0.00000
HG00240	1	13	0.28170	0.21913	0.21463	0.28453	0.00000
HG00240	1	14	0.28088	0.22014	0.21549	0.28348	0.00000
HG00240	1	15	0.27973	0.22129	0.21651	0.28226	0.00021
HG00240	1	16	0.27960	0.22154	0.21682	0.28203	0.00001
HG00240	1	17	0.27780	0.22155	0.21685	0.28052	0.00328
HG00240	1	18	0.27773	0.22327	0.21844	0.28056	0.00000
HG00240	1	19	0.27768	0.22341	0.21849	0.28042	0.00000
HG00240	1	20	0.27778	0.22352	0.21834	0.28036	0.00000
HG00240	1	21	0.27704	0.22424	0.21899	0.27973	0.00000
HG00240	1	22	0.27685	0.22416	0.21898	0.28001	0.00000
HG00240	1	23	0.27700	0.22403	0.21880	0.28017	0.00000
HG00240	1	24	0.27594	0.22520	0.21981	0.27903	0.00001
HG00240	1	25	0.27612	0.22492	0.21959	0.27935	0.00001
HG00240	1	26	0.27612	0.22497	0.21947	0.27936	0.00008
HG00240	1	27	0.27527	0.22576	0.22039	0.27849	0.00009
HG00240	1	28	0.27515	0.22579	0.22026	0.27869	0.00011
HG00240	1	29	0.27519	0.22591	0.22026	0.27850	0.00014
HG00240	1	30	0.27446	0.22665	0.22082	0.27800	0.00007
HG00240	1	31	0.27430	0.22663	0.22118	0.27784	0.00006
HG00240	1	32	0.27434	0.22671	0.22095	0.27795	0.00005
HG00240	1	33	0.27360	0.22746	0.22159	0.27728	0.00006
HG00240	1	34	0.27363	0.22734	0.22143	0.27752	0.00008
HG00240	1	35	0.27343	0.22743	0.22155	0.27750	0.00009
HG00240	1	36	0.27300	0.22789	0.22209	0.27694	0.00008
HG00240	1	37	0.27321	0.22780	0.22169	0.27728	0.00001
HG00240	1	38	0.27313	0.22790	0.22165	0.27727	0.00005
HG00240	1	39	0.27249	0.22835	0.22219	0.27692	0.00006
HG00240	1	40	0.27269	0.22828	0.22200	0.27698	0.00005
HG00240	1	41	0.27255	0.22836	0.22197	0.27704	0.00008
HG00240	1	42	0.27195	0.22894	0.22254	0.27649	0.00008
HG00240	1	43	0.27224	0.22878	0.22232	0.27658	0.00008
HG00240	1	44	0.27224	0.22871	0.22221	0.27676	0.00008
HG00240	1	45	0.27153	0.22927	0.22286	0.27615	0.00018
HG00240	1	46	0.27159	0.22935	0.22266	0.27616	0.00023
HG00240	1	47	0.27140	0.22951	0.22286	0.27602	0.00022
HG00240	1	48	0.27113	0.22985	0.22306	0.27577	0.00020
HG00240	1	49	0.27090	0.23001	0.22318	0.27563	0.00027
HG00240	1	50	0.27129	0.22951	0.22302	0.27595	0.00023
HG00240	1	51	0.27059	0.23025	0.22339	0.27553	0.00024
HG00240	1	52	0.27062	0.23028	0.22341	0.27553	0.00016
HG00240	1	53	0.27079	0.23013	0.22317	0.27580	0.00011
HG00240	1	54	0.27021	0.23078	0.22359	0.27529	0.00013
HG00240	1	55	0.27042	0.23051	0.22349	0.27544	0.00014
HG00240	1	56	0.27035	0.23049	0.22350	0.27552	0.00014
HG00240	1	57	0.26989	0.23103	0.22388	0.27505	0.00016
HG00240	1	58	0.26989	0.23105	0.22378	0.27517	0.00012
HG00240	1	59	0.26997	0.23101	0.22367	0.27518	0.00016
HG00240	1	60	0.26924	0.23160	0.22442	0.27458	0.00017
HG00240	1	61	0.26943	0.23137	0.22426	0.27475	0.00019
HG00240	1	62	0.26956	0.23142	0.22404	0.27480	0.00018
HG00240	1	63	0.26893	0.23201	0.22466	0.27418	0.00022
HG00240	1	64	0.26923	0.23176	0.22439	0.27436	0.00027
HG00240	1	65	0.26894	0.23188	0.22439	0.27439	0.00040
HG00240	1	66	0.26851	0.23226	0.22487	0.27388	0.00048
HG00240	1	67	0.26849	0.23240	0.22497	0.27362	0.00053
HG00240	1	68	0.26851	0.23237	0.22484	0.27368	0.00059
HG00240	1	69	0.26810	0.23258	0.22520	0.27350	0.00062
HG00240	1	70	0.26796	0.23280	0.22521	0.27340	0.00063
HG00240	1	71	0.26796	0.23278	0.22530	0.27347	0.00049
