sample	cycle	mean_quality
HG00240	1	26.50
HG00240	2	26.34
HG00240	3	26.31
HG00240	4	26.55
HG00240	5	32.07
HG00240	6	32.93
HG00240	7	34.28
HG00240	8	34.28
HG00240	9	34.26
HG00240	10	34.25
HG00240	11	35.04
HG00240	12	34.85
HG00240	13	34.91
HG00240	14	34.79
HG00240	15	34.63
HG00240	16	33.74
HG00240	17	33.91
HG00240	18	34.79
HG00240	19	35.40
HG00240	20	34.73
HG00240	21	34.61
HG00240	22	34.70
HG00240	23	35.13
HG00240	24	34.75
HG00240	25	35.26
HG00240	26	35.21
HG00240	27	34.53
HG00240	28	34.97
HG00240	29	33.28
HG00240	30	34.96
HG00240	31	34.97
HG00240	32	34.90
HG00240	33	34.92
HG00240	34	34.96
HG00240	35	34.84
HG00240	36	34.84
HG00240	37	34.83
HG00240	38	34.69
HG00240	39	34.79
HG00240	40	34.62
HG00240	41	34.54
HG00240	42	34.57
HG00240	43	34.48
HG00240	44	34.28
HG00240	45	34.32
HG00240	46	34.28
HG00240	47	33.82
HG00240	48	34.17
HG00240	49	33.55
HG00240	50	34.02
HG00240	51	33.98
HG00240	52	34.02
HG00240	53	33.83
HG00240	54	34.03
HG00240	55	33.69
HG00240	56	33.61
HG00240	57	33.67
HG00240	58	33.90
HG00240	59	33.82
HG00240	60	33.45
HG00240	61	33.38
HG00240	62	33.29
HG00240	63	33.12
HG00240	64	32.91
HG00240	65	33.10
HG00240	66	33.07
HG00240	67	32.98
HG00240	68	32.16
HG00240	69	32.62
HG00240	70	32.58
HG00240	71	32.03
HG00240	72	32.38
HG00240	73	32.13
HG00240	74	32.02
HG00240	75	31.71
HG00240	76	31.81
HG00240	77	31.60
HG00240	78	31.49
HG00240	79	31.23
HG00240	80	31.01
HG00240	81	31.19
HG00240	82	30.78
HG00240	83	30.60
HG00240	84	30.41
HG00240	85	30.05
HG00240	86	30.20
HG00240	87	29.84
HG00240	88	29.59
HG00240	89	29.25
HG00240	90	29.01
HG00240	91	29.07
HG00240	92	28.73
HG00240	93	28.46
HG00240	94	28.22
HG00240	95	27.77
HG00240	96	27.53
HG00240	97	25.58
HG00240	98	24.94
HG00240	99	25.03
HG00240	100	25.05
HG00240	101	26.67
HG00240	102	26.24
HG00240	103	26.16
HG00240	104	26.53
HG00240	105	31.91
HG00240	106	32.45
HG00240	107	32.78
HG00240	108	33.92
HG00240	109	34.03
HG00240	110	34.00
HG00240	111	34.13
HG00240	112	34.08
HG00240	113	33.97
HG00240	114	33.90
HG00240	115	33.78
HG00240	116	34.26
HG00240	117	34.43
HG00240	118	34.24
HG00240	119	35.00
HG00240	120	34.29
HG00240	121	34.93
HG00240	122	34.18
HG00240	123	34.84
HG00240	124	34.78
HG00240	125	34.76
HG00240	126	34.41
HG00240	127	34.69
HG00240	128	34.68
HG00240	129	34.27
HG00240	130	34.47
HG00240	131	34.45
HG00240	132	33.74
HG00240	133	34.33
HG00240	134	34.41
HG00240	135	33.85
HG00240	136	34.37
HG00240	137	34.42
HG00240	138	34.10
HG00240	139	34.19
HG00240	140	34.20
HG00240	141	33.71
HG00240	142	34.15
HG00240	143	34.15
HG00240	144	34.04
HG00240	145	33.91
HG00240	146	33.95
HG00240	147	33.94
HG00240	148	33.72
HG00240	149	33.58
HG00240	150	33.02
HG00240	151	33.71
HG00240	152	33.42
HG00240	153	33.18
HG00240	154	33.16
HG00240	155	33.20
HG00240	156	33.18
HG00240	157	33.03
HG00240	158	33.12
HG00240	159	32.79
HG00240	160	31.75
HG00240	161	32.93
HG00240	162	32.74
HG00240	163	32.58
HG00240	164	32.35
HG00240	165	32.11
HG00240	166	32.40
HG00240	167	32.08
HG00240	168	31.99
HG00240	169	31.86
HG00240	170	31.65
HG00240	171	31.58
HG00240	172	31.27
HG00240	173	31.11
HG00240	174	30.04
HG00240	175	30.64
HG00240	176	29.88
HG00240	177	30.46
HG00240	178	30.12
HG00240	179	29.94
HG00240	180	29.58
HG00240	181	29.89
HG00240	182	29.44
HG00240	183	26.81
HG00240	184	28.88
HG00240	185	28.67
HG00240	186	28.82
HG00240	187	28.30
HG00240	188	27.98
HG00240	189	27.69
HG00240	190	27.36
HG00240	191	27.55
HG00240	192	26.94
HG00240	193	25.10
HG00240	194	26.09
HG00240	195	25.77
HG00240	196	25.43
HG00240	197	23.79
HG00240	198	23.09
HG00240	199	23.20
HG00240	200	22.91
