## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectWgsMetrics INPUT=/gpfs/projects/bioinfo/najeeb/withKhalid/PMC/PMC01/PMC01-01_AB082422_S5_L005_R1_001.bam OUTPUT=/gpfs/projects/bioinfo/najeeb/withKhalid/PMC/QC_PMC/CollectWgsMetrics/PMC01-01_AB082422_S5_L005_R1_001.txt REFERENCE_SEQUENCE=/gpfs/ngsdata/ref_data/Homo_sapiens/hs37d5/Sequences/BWAIndex/hs37d5.fa    MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 COVERAGE_CAP=250 LOCUS_ACCUMULATION_CAP=100000 STOP_AFTER=-1 INCLUDE_BQ_HISTOGRAM=false COUNT_UNPAIRED=false SAMPLE_SIZE=10000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Jan 29 10:39:28 AST 2017

## METRICS CLASS	picard.analysis.CollectWgsMetrics$WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	HET_SNP_SENSITIVITY	HET_SNP_Q
2900340137	26.418221	9.47068	27	4	0.051101	0.324405	0.001958	0.01772	0.011417	0.011702	0.418303	0.986543	0.981036	0.968552	0.930974	0.849993	0.64089	0.332685	0.02619	0.004533	0.003041	0.002217	0.001727	0.001397	0.001173	0.983519	18

## HISTOGRAM	java.lang.Integer
coverage	count
0	39031266
1	5152960
2	3821845
3	3471317
4	3523506
5	3956310
6	4911919
7	6532040
8	8911155
9	11899020
10	15279723
11	18705761
12	21946237
13	24987723
14	28066845
15	31769408
16	36877368
17	44215020
18	54388805
19	67622215
20	83769569
21	102189025
22	121687498
23	140816089
24	158009480
25	171694994
26	180754218
27	184370837
28	182259989
29	174819739
30	162814360
31	147433847
32	129798506
33	111315246
34	92968767
35	75753726
36	60218258
37	46768764
38	35498046
39	26369738
40	19193477
41	13718854
42	9656458
43	6714344
44	4629527
45	3181318
46	2199516
47	1548362
48	1121899
49	847648
50	669491
51	558966
52	489720
53	442680
54	411598
55	386969
56	366574
57	349521
58	333289
59	317840
60	303059
61	286603
62	272601
63	257507
64	243003
65	229011
66	215416
67	204957
68	194736
69	183477
70	174944
71	165712
72	157346
73	149930
74	143461
75	137078
76	131044
77	125234
78	120795
79	116276
80	112128
81	108416
82	104341
83	100126
84	97238
85	93044
86	90136
87	86722
88	83826
89	80630
90	76999
91	73487
92	70679
93	68086
94	65526
95	63042
96	61019
97	58802
98	56481
99	54496
100	52627
101	50785
102	48847
103	47246
104	46230
105	44896
106	44121
107	43444
108	42611
109	41490
110	40580
111	39971
112	39276
113	38664
114	37774
115	37364
116	36799
117	35980
118	35813
119	34900
120	34706
121	34227
122	33842
123	33589
124	33143
125	32452
126	31986
127	31651
128	31161
129	30871
130	30618
131	29883
132	29700
133	28884
134	28974
135	28716
136	28566
137	27837
138	27838
139	27423
140	27026
141	26824
142	26123
143	25607
144	25139
145	24710
146	24554
147	24249
148	23425
149	23269
150	22664
151	22389
152	21668
153	21517
154	21011
155	20608
156	20127
157	19817
158	19293
159	18562
160	18210
161	17752
162	17322
163	16623
164	16169
165	15918
166	15361
167	15045
168	14324
169	13934
170	13591
171	13079
172	12590
173	12293
174	11866
175	11372
176	10976
177	10649
178	10339
179	9905
180	9692
181	9389
182	9236
183	8819
184	8884
185	8478
186	8233
187	8168
188	7812
189	7576
190	7509
191	7369
192	7387
193	6897
194	6863
195	6764
196	6491
197	6431
198	6286
199	6234
200	6132
201	6096
202	5817
203	5826
204	5595
205	5391
206	5439
207	5373
208	5175
209	5085
210	5091
211	5028
212	4958
213	4858
214	4816
215	4763
216	4562
217	4532
218	4498
219	4420
220	4435
221	4495
222	4315
223	4274
224	4272
225	4114
226	4048
227	4171
228	3999
229	4058
230	3937
231	3922
232	3755
233	3731
234	3668
235	3602
236	3599
237	3558
238	3500
239	3527
240	3493
241	3434
242	3406
243	3404
244	3354
245	3191
246	3275
247	3162
248	3131
249	3264
250	842081

