#SentieonCommandLine: /usr/local/sentieon-genomics-201911/libexec/driver -t 36 -i sorted_0.bam -i sorted_1.bam -r genome/hs37d5.fa --algo InsertSizeMetricAlgo is_metric.txt
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT
242.000000	95.000000	2	242551291	272.106580	149.757020	54955704	FR	39	77	115	153	191	233	281	345	481	953

insert_size	All_Reads.fr_count
2	103
3	148
4	140
5	70
6	67
7	143
8	104
9	692
10	108
11	143
12	60
13	73
14	164
15	137
16	135
17	90
18	95
19	490
20	435
21	430
22	334
23	382
24	457
25	518
26	1360
27	3984
28	4572
29	4827
30	8014
31	9098
32	9235
33	10122
34	11621
35	15832
36	23451
37	30759
38	34152
39	36465
40	36855
41	36710
42	35490
43	35805
44	36196
45	36260
46	37326
47	38939
48	40908
49	43047
50	43401
51	43552
52	43511
53	42826
54	43937
55	44727
56	47209
57	49946
58	51794
59	54748
60	54558
61	54742
62	55764
63	55098
64	57642
65	58098
66	59663
67	62732
68	64144
69	68806
70	69875
71	71267
72	71534
73	70562
74	71220
75	71066
76	73333
77	78442
78	80365
79	85278
80	86050
81	88048
82	88601
83	87791
84	89992
85	88738
86	91881
87	95458
88	97884
89	103791
90	104290
91	107206
92	107168
93	110141
94	109502
95	110568
96	111401
97	113052
98	116383
99	121066
100	126340
101	128875
102	129997
103	130547
104	130470
105	130500
106	131873
107	131822
108	134360
109	137771
110	142179
111	146496
112	148970
113	147192
114	148442
115	147114
116	146294
117	148071
118	150479
119	152789
120	156652
121	159297
122	160581
123	162198
124	163860
125	162128
126	158956
127	159414
128	160250
129	163705
130	165796
131	167880
132	168982
133	172354
134	173043
135	174052
136	169453
137	168079
138	167775
139	169028
140	170956
141	171826
142	174963
143	176423
144	178300
145	176994
146	174183
147	171323
148	172016
149	172824
150	173259
151	174961
152	175873
153	177876
154	177934
155	176672
156	177888
157	174660
158	174476
159	173033
160	173831
161	173900
162	173971
163	175840
164	176469
165	177523
166	176410
167	174866
168	173247
169	172107
170	173214
171	170864
172	172094
173	173716
174	174939
175	175817
176	174433
177	174931
178	171971
179	171715
180	171343
181	169116
182	169083
183	169557
184	171224
185	171044
186	170452
187	169660
188	168864
189	167375
190	167398
191	164558
192	165889
193	166126
194	166807
195	165548
196	166061
197	166470
198	166453
199	166133
200	163007
201	161613
202	160884
203	161551
204	162737
205	161289
206	163054
207	162684
208	162449
209	160705
210	160407
211	157913
212	156580
213	157977
214	158471
215	158670
216	159107
217	158754
218	159265
219	158819
220	156147
221	156175
222	152905
223	153380
224	153531
225	153122
226	153573
227	153495
228	154307
229	153392
230	152196
231	151628
232	150172
233	149832
234	148454
235	149309
236	149903
237	150896
238	148744
239	148334
240	147341
241	146661
242	146672
243	144849
244	144872
245	143779
246	143571
247	144519
248	143561
249	144574
250	142835
251	142524
252	141589
253	140779
254	142185
255	139963
256	139513
257	138213
258	139344
259	140011
260	139602
261	139254
262	136809
263	136134
264	136138
265	134430
266	134438
267	133816
268	134077
269	133449
270	133754
271	132963
272	132379
273	131463
274	131227
275	130369
276	129525
277	129781
278	128687
279	129147
280	128866
281	128815
282	127520
283	126717
284	126503
285	124615
286	124471
287	124655
288	124137
289	124313
290	123640
291	123210
292	122505
293	122317
294	121535
295	120741
296	120780
297	120008
298	119044
299	119240
300	118922
301	119260
302	118011
303	118768
304	117702
305	115729
306	115331
307	114880
308	114954
309	114637
310	113751
311	113567
312	112463
313	112063
314	111852
315	111965
316	110133
317	109522
318	109269
319	108891
320	108710
321	108472
322	108405
323	108019
324	107128
325	106717
326	106477
327	104669
328	105451
329	104193
330	103531
331	103587
332	103166
333	103543
334	102768
335	102354
336	100861
337	100497
338	100127
339	99719
340	99420
341	98531
342	98745
343	97708
344	97978
345	98261
346	96840
347	95834
348	95790
349	96678
350	94961
351	95148
352	93790
353	93367
354	93870
355	92546
356	91688
357	91767
358	91109
359	90939
360	90039
361	90222
362	90043
363	88892
364	89675
365	88573
366	88158
367	86916
368	86693
369	86038
370	85569
371	85300
372	85312
373	84585
374	84116
375	83742
376	82819
377	82692
378	82710
379	82065
380	81670
381	81304
382	80875
383	80495
384	79890
385	79479
386	79418
387	78827
388	78859
389	77925
390	77795
391	77170
392	76576
393	76701
394	74829
395	75121
396	74652
397	74503
398	73107
399	73341
400	72738
401	73219
402	71992
403	71616
404	71307
405	71155
406	70820
407	70044
408	69713
409	69954
410	69475
411	68635
412	68505
413	67487
414	67556
415	67119
416	66660
417	67154
418	66219
419	66138
420	65011
421	65427
422	64505
423	63937
424	63715
425	63507
426	63134
427	62594
428	62977
429	63128
430	61375
431	61022
432	60807
433	60896
434	59967
435	59783
436	59639
437	58911
438	58911
439	58571
440	58102
441	58681
442	57404
443	56760
444	57196
445	55986
446	56237
447	55329
448	55490
449	54815
450	54735
451	54134
452	54250
453	53608
454	53667
455	52870
456	52951
457	52012
458	51930
459	51658
460	51304
461	51021
462	50912
463	50384
464	49960
465	49331
466	49779
467	49173
468	48939
469	48533
470	48485
471	48132
472	47657
473	47216
474	46284
475	46728
476	46968
477	45672
478	45535
479	45819
480	44907
481	44439
482	45188
483	44389
484	44258
485	44175
486	43883
487	43197
488	43318
489	42656
490	42383
491	41915
492	41869
493	41125
494	41175
495	40497
496	40406
497	40570
498	40339
499	39778
500	39370
501	39450
502	39062
503	39065
504	38630
505	37847
506	38139
507	38001
508	37554
509	37610
510	36751
511	36298
512	36733
513	36327
514	35794
515	35690
516	35675
517	35251
518	35134
519	34640
520	34766
521	34322
522	34280
523	33757
524	33633
525	33283
526	32888
527	32709
528	32597
529	32217
530	32324
531	31595
532	32017
533	31247
534	31080
535	31178
536	30658
537	30371
538	30253
539	30361
540	29839
541	29981
542	29652
543	29262
544	29327
545	28938
546	28114
547	28236
548	28377
549	27575
550	27779
551	27698
552	27615
553	26922
554	26926
555	26703
556	26424
557	26656
558	26302
559	26053
560	25701
561	25567
562	25396
563	25187
564	25216
565	24897
566	24600
567	24382
568	24107
569	24095
570	23955
571	23705
572	23681
573	23239
574	22924
575	22782
576	22858
577	22570
578	22119
579	21966
580	22163
581	21968
582	21854
583	21293
584	21335
585	21096
586	21010
587	21008
588	20593
589	20507
590	20427
591	20223
592	19850
593	19646
594	19876
595	19933
596	19477
597	19497
598	19249
599	19060
600	18722
601	18609
602	18474
603	18137
604	18278
605	17920
606	17765
607	17766
608	17541
609	17579
610	17388
611	17121
612	16903
613	16696
614	16535
615	16491
616	16069
617	16133
618	16050
619	15766
620	15995
621	15997
622	15701
623	15179
624	15339
625	15400
626	14963
627	15123
628	14803
629	14592
630	14515
631	14608
632	14374
633	14260
634	14208
635	14100
636	13922
637	13501
638	13604
639	13255
640	13445
641	13447
642	13139
643	12800
644	12798
645	12689
646	12387
647	12660
648	12487
649	12231
650	12092
651	12153
652	11879
653	11866
654	11763
655	11648
656	11506
657	11463
658	11339
659	11203
660	11230
661	10940
662	10755
663	10673
664	10668
665	10369
666	10464
667	10374
668	10298
669	10034
670	10046
671	10013
672	9955
673	9812
674	9728
675	9691
676	9588
677	9523
678	9386
679	9303
680	9374
681	9281
682	9007
683	8820
684	8938
685	8654
686	8726
687	8611
688	8604
689	8576
690	8276
691	8151
692	8064
693	8039
694	8192
695	8034
696	7970
697	7809
698	7744
699	7781
700	7657
701	7462
702	7347
703	7281
704	7263
705	7019
706	7206
707	6984
708	6994
709	6853
710	6847
711	6841
712	6764
713	6688
714	6613
715	6331
716	6556
717	6425
718	6621
719	6203
720	6180
721	6168
722	6148
723	6103
724	5954
725	5728
726	5708
727	5903
728	5583
729	5566
730	5595
731	5570
732	5401
733	5390
734	5202
735	5303
736	5235
737	5328
738	5122
739	4911
740	4988
741	4952
742	4950
743	4914
744	4820
745	4712
746	4695
747	4516
748	4592
749	4691
750	4482
751	4522
752	4468
753	4385
754	4320
755	4157
756	4180
757	4105
758	4119
759	4004
760	3956
761	3978
762	3859
763	4084
764	3905
765	3806
766	3796
767	3669
768	3658
769	3613
770	3680
771	3634
772	3396
773	3433
774	3401
775	3383
776	3378
777	3320
778	3296
779	3315
780	3322
781	3161
782	3192
783	3101
784	3090
785	2997
786	2994
787	3083
788	2896
789	2872
790	2912
791	2791
792	2664
793	2711
794	2732
795	2696
796	2660
797	2611
798	2574
799	2559
800	2529
801	2491
802	2573
803	2500
804	2428
805	2396
806	2361
807	2299
808	2251
809	2333
810	2252
811	2227
812	2139
813	2154
814	2117
815	2205
816	2158
817	1991
818	1973
819	2031
820	1959
821	1908
822	1956
823	1920
824	1875
825	1829
826	1901
827	1851
828	1736
829	1783
830	1819
831	1683
832	1624
833	1670
834	1706
835	1661
836	1643
837	1646
838	1572
839	1628
840	1604
841	1573
842	1455
843	1523
844	1357
845	1477
846	1420
847	1422
848	1432
849	1311
850	1329
851	1335
852	1305
853	1364
854	1317
855	1342
856	1265
857	1255
858	1272
859	1198
860	1173
861	1185
862	1191
863	1104
864	1138
865	1110
866	1151
867	1082
868	1130
869	1065
870	1108
871	1000
872	974
873	1007
874	1009
875	970
876	1001
877	936
878	910
879	952
880	923
881	876
882	924
883	865
884	881
885	852
886	860
887	791
888	800
889	761
890	793
891	832
892	790
893	739
894	772
895	818
896	763
897	685
898	708
899	683
900	704
901	640
902	627
903	645
904	632
905	605
906	684
907	614
908	623
909	610
910	579
911	638
912	584
913	553
914	592
915	523
916	537
917	554
918	493
919	522
920	530
921	535
922	475
923	489
924	503
925	473
926	409
927	452
928	451
929	476
930	448
931	411
932	409
933	429
934	397
935	376
936	413
937	388
938	346
939	376
940	371
941	356
942	362
943	363
944	361
945	352
946	380
947	358
948	306
949	348
950	345
951	304
952	322
953	272
954	299
955	304
956	304
957	312
958	255
959	248
960	281
961	271
962	285
963	242
964	252
965	258
966	229
967	260
968	236
969	237
970	242
971	200
972	231
973	216
974	212
975	252
976	212
977	225
978	234
979	183
980	203
981	183
982	177
983	175
984	159
985	159
986	194
987	175
988	187
989	157
990	148
991	155
992	145
993	147
994	116
995	143
996	141
997	137
998	117
999	139
1000	149
1001	147
1002	133
1003	133
1004	124
1005	116
1006	118
1007	128
1008	94
1009	117
1010	114
1011	123
1012	97
1013	98
1014	123
1015	107
1016	106
1017	91
1018	90
1019	95
1020	92
1021	91
1022	70
1023	80
1024	88
1025	69
1026	78
1027	76
1028	80
1029	75
1030	66
1031	79
1032	83
1033	69
1034	67
1035	60
1036	74
1037	61
1038	62
1039	71
1040	69
1041	50
1042	51
1043	44
1044	60
1045	56
1046	53
1047	69
1048	53
1049	48
1050	52
1051	56
1052	48
1053	42
1054	41
1055	48
1056	51
1057	41
1058	46
1059	43
1060	56
1061	41
1062	40
1063	36
1064	38
1065	43
1066	36
1067	44
1068	30
1069	43
1070	42
1071	39
1072	38
1073	33
1074	40
1075	28
1076	35
1077	30
1078	34
1079	37
1080	44
1081	25
1082	32
1083	30
1084	30
1085	23
1086	28
1087	26
1088	31
1089	30
1090	32
1091	17
1092	26
1093	36
1094	24
1095	18
1096	32
1097	22
1098	25
1099	22
1100	27
1101	27
1102	20
1103	20
1104	27
1105	28
1106	24
1107	21
1108	14
1109	14
1110	26
1111	20
1112	16
1113	16
1114	19
1115	12
1116	21
1117	12
1118	21
1119	16
1120	21
1121	20
1122	22
1123	18
1124	20
1125	12
1126	15
1127	18
1128	12
1129	12
1130	11
1131	14
1132	9
1133	29
1134	20
1135	14
1136	12
1137	18
1138	14
1139	23
1140	10
1141	12
1142	11
1143	15
1144	13
1145	18
1146	15
1147	9
1148	11
1149	8
1150	11
1151	13
1152	7
1153	13
1154	10
1155	10
1156	11
1157	8
1158	5
1159	11
1160	10
1161	12
1162	9
1163	6
1164	3
1165	6
1166	10
1167	10
1168	8
1169	5
1170	3
1171	7
1172	4
1173	11
1174	8
1175	8
1176	8
1177	4
1178	4
1179	3
1180	5
1181	6
1182	5
1183	6
1184	12
1185	6
1186	6
1187	7
1188	6
1189	4
1190	3
1191	5
1192	2

