## hicstuff v3.2.4
## distance_law
## columns: start_bp	p(s)	chrom
1	1e-09	ENA|CU329670|CU329670.1
2	1e-09	ENA|CU329670|CU329670.1
3	1e-09	ENA|CU329670|CU329670.1
4	1e-09	ENA|CU329670|CU329670.1
5	1e-09	ENA|CU329670|CU329670.1
6	1e-09	ENA|CU329670|CU329670.1
7	0.00186153	ENA|CU329670|CU329670.1
8	1e-09	ENA|CU329670|CU329670.1
9	0.00372306	ENA|CU329670|CU329670.1
10	1e-09	ENA|CU329670|CU329670.1
11	0.000930766	ENA|CU329670|CU329670.1
13	1e-09	ENA|CU329670|CU329670.1
14	1e-09	ENA|CU329670|CU329670.1
15	1e-09	ENA|CU329670|CU329670.1
17	1e-09	ENA|CU329670|CU329670.1
19	1e-09	ENA|CU329670|CU329670.1
21	1e-09	ENA|CU329670|CU329670.1
23	1e-09	ENA|CU329670|CU329670.1
25	0.00124102	ENA|CU329670|CU329670.1
28	0.0325769	ENA|CU329670|CU329670.1
30	0.07865	ENA|CU329670|CU329670.1
34	0.213457	ENA|CU329670|CU329670.1
37	0.214543	ENA|CU329670|CU329670.1
41	0.222454	ENA|CU329670|CU329670.1
45	0.215939	ENA|CU329670|CU329670.1
49	0.228225	ENA|CU329670|CU329670.1
54	0.263409	ENA|CU329670|CU329670.1
60	0.281714	ENA|CU329670|CU329670.1
66	0.290092	ENA|CU329670|CU329670.1
72	0.324608	ENA|CU329670|CU329670.1
80	0.330892	ENA|CU329670|CU329670.1
88	0.353903	ENA|CU329670|CU329670.1
97	0.351421	ENA|CU329670|CU329670.1
106	0.358774	ENA|CU329670|CU329670.1
117	0.375727	ENA|CU329670|CU329670.1
129	0.412267	ENA|CU329670|CU329670.1
142	0.417658	ENA|CU329670|CU329670.1
156	0.428412	ENA|CU329670|CU329670.1
171	0.416168	ENA|CU329670|CU329670.1
189	0.417307	ENA|CU329670|CU329670.1
207	0.410261	ENA|CU329670|CU329670.1
228	0.397656	ENA|CU329670|CU329670.1
251	0.382152	ENA|CU329670|CU329670.1
276	0.389345	ENA|CU329670|CU329670.1
304	0.379215	ENA|CU329670|CU329670.1
334	0.374464	ENA|CU329670|CU329670.1
368	0.371979	ENA|CU329670|CU329670.1
405	0.354834	ENA|CU329670|CU329670.1
445	0.355871	ENA|CU329670|CU329670.1
490	0.351519	ENA|CU329670|CU329670.1
539	0.334557	ENA|CU329670|CU329670.1
593	0.332525	ENA|CU329670|CU329670.1
652	0.317501	ENA|CU329670|CU329670.1
717	0.303703	ENA|CU329670|CU329670.1
789	0.293364	ENA|CU329670|CU329670.1
868	0.276429	ENA|CU329670|CU329670.1
955	0.260835	ENA|CU329670|CU329670.1
1051	0.247614	ENA|CU329670|CU329670.1
1156	0.231106	ENA|CU329670|CU329670.1
1271	0.216396	ENA|CU329670|CU329670.1
1399	0.200817	ENA|CU329670|CU329670.1
1538	0.194006	ENA|CU329670|CU329670.1
1692	0.177274	ENA|CU329670|CU329670.1
1862	0.169659	ENA|CU329670|CU329670.1
2048	0.156174	ENA|CU329670|CU329670.1
2253	0.143349	ENA|CU329670|CU329670.1
2478	0.130969	ENA|CU329670|CU329670.1
2726	0.124589	ENA|CU329670|CU329670.1
2999	0.115006	ENA|CU329670|CU329670.1
3298	0.105518	ENA|CU329670|CU329670.1
3628	0.096686	ENA|CU329670|CU329670.1
3991	0.0872121	ENA|CU329670|CU329670.1
4390	0.0802474	ENA|CU329670|CU329670.1
4830	0.0733523	ENA|CU329670|CU329670.1
5313	0.0671944	ENA|CU329670|CU329670.1
5844	0.0613193	ENA|CU329670|CU329670.1
6428	0.0551222	ENA|CU329670|CU329670.1
7071	0.0508107	ENA|CU329670|CU329670.1
7778	0.046235	ENA|CU329670|CU329670.1
8556	0.0422525	ENA|CU329670|CU329670.1
9412	0.0385015	ENA|CU329670|CU329670.1
10353	0.0355408	ENA|CU329670|CU329670.1
11388	0.0323642	ENA|CU329670|CU329670.1
12527	0.0295183	ENA|CU329670|CU329670.1
13780	0.0276542	ENA|CU329670|CU329670.1
15158	0.0253035	ENA|CU329670|CU329670.1
16674	0.0235591	ENA|CU329670|CU329670.1
18341	0.0216085	ENA|CU329670|CU329670.1
20176	0.0197933	ENA|CU329670|CU329670.1
22193	0.0185283	ENA|CU329670|CU329670.1
24413	0.0174976	ENA|CU329670|CU329670.1
26854	0.0160758	ENA|CU329670|CU329670.1
29539	0.0150369	ENA|CU329670|CU329670.1
32493	0.0136278	ENA|CU329670|CU329670.1
35743	0.0125725	ENA|CU329670|CU329670.1
39317	0.0115071	ENA|CU329670|CU329670.1
43249	0.0104407	ENA|CU329670|CU329670.1
47574	0.00936882	ENA|CU329670|CU329670.1
52331	0.00832873	ENA|CU329670|CU329670.1
57565	0.00763915	ENA|CU329670|CU329670.1
63321	0.00657994	ENA|CU329670|CU329670.1
69653	0.00571671	ENA|CU329670|CU329670.1
76619	0.00504229	ENA|CU329670|CU329670.1
84280	0.00426599	ENA|CU329670|CU329670.1
92709	0.00360278	ENA|CU329670|CU329670.1
101979	0.00300215	ENA|CU329670|CU329670.1
112177	0.00249398	ENA|CU329670|CU329670.1
123395	0.00205559	ENA|CU329670|CU329670.1
135735	0.00169245	ENA|CU329670|CU329670.1
149308	0.00135682	ENA|CU329670|CU329670.1
164239	0.00110349	ENA|CU329670|CU329670.1
180663	0.000841984	ENA|CU329670|CU329670.1
198730	0.000699761	ENA|CU329670|CU329670.1
218603	0.000572295	ENA|CU329670|CU329670.1
240463	0.000472887	ENA|CU329670|CU329670.1
264509	0.000385204	ENA|CU329670|CU329670.1
290960	0.00032455	ENA|CU329670|CU329670.1
320056	0.000268911	ENA|CU329670|CU329670.1
352062	0.000226113	ENA|CU329670|CU329670.1
387268	0.000191055	ENA|CU329670|CU329670.1
425995	0.000162092	ENA|CU329670|CU329670.1
468595	0.000142643	ENA|CU329670|CU329670.1
515454	0.00012642	ENA|CU329670|CU329670.1
567000	0.000113641	ENA|CU329670|CU329670.1
623700	0.000104728	ENA|CU329670|CU329670.1
686070	9.49636e-05	ENA|CU329670|CU329670.1
754677	8.99007e-05	ENA|CU329670|CU329670.1
830145	8.06062e-05	ENA|CU329670|CU329670.1
913159	7.67773e-05	ENA|CU329670|CU329670.1
1.00448e+06	7.15964e-05	ENA|CU329670|CU329670.1
1.10492e+06	6.41316e-05	ENA|CU329670|CU329670.1
1.21542e+06	6.25743e-05	ENA|CU329670|CU329670.1
1.33696e+06	6.21775e-05	ENA|CU329670|CU329670.1
1.47065e+06	5.81768e-05	ENA|CU329670|CU329670.1
1.61772e+06	5.89961e-05	ENA|CU329670|CU329670.1
1.77949e+06	5.64812e-05	ENA|CU329670|CU329670.1
1.95744e+06	5.25935e-05	ENA|CU329670|CU329670.1
2.15318e+06	5.08756e-05	ENA|CU329670|CU329670.1
2.3685e+06	4.86536e-05	ENA|CU329670|CU329670.1
2.60535e+06	4.62204e-05	ENA|CU329670|CU329670.1
2.86588e+06	4.35158e-05	ENA|CU329670|CU329670.1
3.15247e+06	4.34416e-05	ENA|CU329670|CU329670.1
3.46772e+06	5.01162e-05	ENA|CU329670|CU329670.1
3.81449e+06	5.49759e-05	ENA|CU329670|CU329670.1
4.19594e+06	6.35991e-05	ENA|CU329670|CU329670.1
4.61554e+06	8.95374e-05	ENA|CU329670|CU329670.1
5.07709e+06	8.95374e-05	ENA|CU329670|CU329670.1
1	1e-09	ENA|CU329671|CU329671.1
2	1e-09	ENA|CU329671|CU329671.1
3	0.00231691	ENA|CU329671|CU329671.1
4	1e-09	ENA|CU329671|CU329671.1
5	0.00231691	ENA|CU329671|CU329671.1
6	1e-09	ENA|CU329671|CU329671.1
7	1e-09	ENA|CU329671|CU329671.1
8	0.00231691	ENA|CU329671|CU329671.1
9	1e-09	ENA|CU329671|CU329671.1
10	1e-09	ENA|CU329671|CU329671.1
11	1e-09	ENA|CU329671|CU329671.1
13	1e-09	ENA|CU329671|CU329671.1
14	1e-09	ENA|CU329671|CU329671.1
15	1e-09	ENA|CU329671|CU329671.1
17	1e-09	ENA|CU329671|CU329671.1
19	0.00115846	ENA|CU329671|CU329671.1
21	1e-09	ENA|CU329671|CU329671.1
23	1e-09	ENA|CU329671|CU329671.1
25	0.00154461	ENA|CU329671|CU329671.1
28	0.0312784	ENA|CU329671|CU329671.1
30	0.0712453	ENA|CU329671|CU329671.1
34	0.183809	ENA|CU329671|CU329671.1
37	0.203889	ENA|CU329671|CU329671.1
41	0.225321	ENA|CU329671|CU329671.1
45	0.231114	ENA|CU329671|CU329671.1
49	0.240497	ENA|CU329671|CU329671.1
54	0.259497	ENA|CU329671|CU329671.1
60	0.276488	ENA|CU329671|CU329671.1
66	0.289231	ENA|CU329671|CU329671.1
72	0.300913	ENA|CU329671|CU329671.1
80	0.334509	ENA|CU329671|CU329671.1
88	0.33982	ENA|CU329671|CU329671.1
97	0.352177	ENA|CU329671|CU329671.1
106	0.369239	ENA|CU329671|CU329671.1
117	0.378245	ENA|CU329671|CU329671.1
129	0.401728	ENA|CU329671|CU329671.1
142	0.409113	ENA|CU329671|CU329671.1
156	0.4064	ENA|CU329671|CU329671.1
171	0.40998	ENA|CU329671|CU329671.1
189	0.395178	ENA|CU329671|CU329671.1
207	0.398527	ENA|CU329671|CU329671.1
228	0.39057	ENA|CU329671|CU329671.1
251	0.385463	ENA|CU329671|CU329671.1
276	0.368742	ENA|CU329671|CU329671.1
304	0.366869	ENA|CU329671|CU329671.1
334	0.365895	ENA|CU329671|CU329671.1
368	0.363785	ENA|CU329671|CU329671.1
405	0.35927	ENA|CU329671|CU329671.1
445	0.360239	ENA|CU329671|CU329671.1
490	0.347717	ENA|CU329671|CU329671.1
539	0.345262	ENA|CU329671|CU329671.1
593	0.33804	ENA|CU329671|CU329671.1
652	0.324772	ENA|CU329671|CU329671.1
717	0.306075	ENA|CU329671|CU329671.1
789	0.288258	ENA|CU329671|CU329671.1
868	0.273343	ENA|CU329671|CU329671.1
955	0.261651	ENA|CU329671|CU329671.1
1051	0.246998	ENA|CU329671|CU329671.1
1156	0.23276	ENA|CU329671|CU329671.1
1271	0.219465	ENA|CU329671|CU329671.1
1399	0.205954	ENA|CU329671|CU329671.1
1538	0.191152	ENA|CU329671|CU329671.1
1692	0.174218	ENA|CU329671|CU329671.1
1862	0.167824	ENA|CU329671|CU329671.1
2048	0.156968	ENA|CU329671|CU329671.1
2253	0.143805	ENA|CU329671|CU329671.1
2478	0.133775	ENA|CU329671|CU329671.1
2726	0.122517	ENA|CU329671|CU329671.1
2999	0.114476	ENA|CU329671|CU329671.1
3298	0.104839	ENA|CU329671|CU329671.1
3628	0.0975067	ENA|CU329671|CU329671.1
3991	0.0893908	ENA|CU329671|CU329671.1
4390	0.0796718	ENA|CU329671|CU329671.1
4830	0.0739165	ENA|CU329671|CU329671.1
5313	0.0663642	ENA|CU329671|CU329671.1
5844	0.0604005	ENA|CU329671|CU329671.1
6428	0.0558725	ENA|CU329671|CU329671.1
7071	0.0508355	ENA|CU329671|CU329671.1
7778	0.0457474	ENA|CU329671|CU329671.1
8556	0.0422941	ENA|CU329671|CU329671.1
9412	0.0379928	ENA|CU329671|CU329671.1
10353	0.0352005	ENA|CU329671|CU329671.1
11388	0.0322837	ENA|CU329671|CU329671.1
12527	0.0296584	ENA|CU329671|CU329671.1
13780	0.0275342	ENA|CU329671|CU329671.1
15158	0.0251462	ENA|CU329671|CU329671.1
16674	0.0235545	ENA|CU329671|CU329671.1
18341	0.0217905	ENA|CU329671|CU329671.1
20176	0.0201674	ENA|CU329671|CU329671.1
22193	0.0189204	ENA|CU329671|CU329671.1
24413	0.0175666	ENA|CU329671|CU329671.1
26854	0.0160462	ENA|CU329671|CU329671.1
29539	0.0148389	ENA|CU329671|CU329671.1
32493	0.0137309	ENA|CU329671|CU329671.1
35743	0.0127956	ENA|CU329671|CU329671.1
39317	0.0117628	ENA|CU329671|CU329671.1
43249	0.0105723	ENA|CU329671|CU329671.1
47574	0.00955442	ENA|CU329671|CU329671.1
52331	0.00841419	ENA|CU329671|CU329671.1
57565	0.00755771	ENA|CU329671|CU329671.1
63321	0.00646396	ENA|CU329671|CU329671.1
69653	0.00576338	ENA|CU329671|CU329671.1
76619	0.0048381	ENA|CU329671|CU329671.1
84280	0.00420394	ENA|CU329671|CU329671.1
92709	0.00355534	ENA|CU329671|CU329671.1
101979	0.00294154	ENA|CU329671|CU329671.1
112177	0.00228999	ENA|CU329671|CU329671.1
123395	0.00189329	ENA|CU329671|CU329671.1
135735	0.00155296	ENA|CU329671|CU329671.1
149308	0.0012948	ENA|CU329671|CU329671.1
164239	0.000984678	ENA|CU329671|CU329671.1
180663	0.000800849	ENA|CU329671|CU329671.1
198730	0.000651706	ENA|CU329671|CU329671.1
218603	0.000520654	ENA|CU329671|CU329671.1
240463	0.000417904	ENA|CU329671|CU329671.1
264509	0.00033868	ENA|CU329671|CU329671.1
290960	0.000286262	ENA|CU329671|CU329671.1
320056	0.000236797	ENA|CU329671|CU329671.1
352062	0.000200173	ENA|CU329671|CU329671.1
387268	0.000176109	ENA|CU329671|CU329671.1
425995	0.000152096	ENA|CU329671|CU329671.1
468595	0.000134754	ENA|CU329671|CU329671.1
515454	0.000121814	ENA|CU329671|CU329671.1
567000	0.000107558	ENA|CU329671|CU329671.1
623700	9.38953e-05	ENA|CU329671|CU329671.1
686070	8.73047e-05	ENA|CU329671|CU329671.1
754677	7.96287e-05	ENA|CU329671|CU329671.1
830145	7.38506e-05	ENA|CU329671|CU329671.1
913159	6.72589e-05	ENA|CU329671|CU329671.1
1.00448e+06	7.64974e-05	ENA|CU329671|CU329671.1
1.10492e+06	6.2813e-05	ENA|CU329671|CU329671.1
1.21542e+06	5.64015e-05	ENA|CU329671|CU329671.1
1.33696e+06	5.36864e-05	ENA|CU329671|CU329671.1
1.47065e+06	5.38866e-05	ENA|CU329671|CU329671.1
1.61772e+06	4.82861e-05	ENA|CU329671|CU329671.1
1.77949e+06	4.75286e-05	ENA|CU329671|CU329671.1
1.95744e+06	4.63491e-05	ENA|CU329671|CU329671.1
2.15318e+06	4.47567e-05	ENA|CU329671|CU329671.1
2.3685e+06	4.41089e-05	ENA|CU329671|CU329671.1
2.60535e+06	4.82667e-05	ENA|CU329671|CU329671.1
2.86588e+06	4.93472e-05	ENA|CU329671|CU329671.1
3.15247e+06	5.69786e-05	ENA|CU329671|CU329671.1
3.46772e+06	6.96621e-05	ENA|CU329671|CU329671.1
3.81449e+06	0.000117966	ENA|CU329671|CU329671.1
4.19594e+06	0.000117966	ENA|CU329671|CU329671.1
1	1e-09	ENA|CU329672|CU329672.1
2	1e-09	ENA|CU329672|CU329672.1
3	1e-09	ENA|CU329672|CU329672.1
4	1e-09	ENA|CU329672|CU329672.1
5	1e-09	ENA|CU329672|CU329672.1
6	1e-09	ENA|CU329672|CU329672.1
7	1e-09	ENA|CU329672|CU329672.1
8	1e-09	ENA|CU329672|CU329672.1
9	1e-09	ENA|CU329672|CU329672.1
10	1e-09	ENA|CU329672|CU329672.1
11	0.00231082	ENA|CU329672|CU329672.1
13	1e-09	ENA|CU329672|CU329672.1
14	1e-09	ENA|CU329672|CU329672.1
15	0.00231083	ENA|CU329672|CU329672.1
