File	Total Reads	Aligned Reads	Unaligned Reads	Ambiguously Aligned Reads	No Genomic Sequence	Duplicate Reads (removed)	Unique Reads (remaining)	Total Cs	Methylated CpGs	Unmethylated CpGs	Methylated CpHs	Unmethylated CpHs	Methylated CHHs	Unmethylated CHHs
MethylC-Seq_mm_fc_2wk_SRR921696_1_trimmed.fq.gz_bismark_bt2.bam	116247060	89616435	9698581	16932038	6	5482044	84134391	1366729142	51721327	16593466	3340228	350489608	10598154	933986359
MethylC-Seq_mm_fc_4wk_SRR921697_1_trimmed.fq.gz_bismark_bt2.bam	136274764	100956774	15444320	19873639	31	6544547	94412227	1513414151	55162015	15113825	7197261	372785802	25612101	1037543147
MethylC-Seq_mm_fc_2wk_SRR921694_1_trimmed.fq.gz_bismark_bt2.bam	153092768	120059525	12078510	20954714	19	8370629	111688896	1928202931	74456543	23848801	4731636	500040303	14906573	1310219075
MethylC-Seq_mm_fc_2wk_SRR921695_1_trimmed.fq.gz_bismark_bt2.bam	153372033	120235441	12132257	21004325	10	8385764	111849677	1930076424	74520126	23854898	4738195	500496609	14929689	1311536907
MethylC-Seq_mm_fc_1wk_SRR921767_1_trimmed.fq.gz_bismark_bt2.bam	99942367	85970797	3096960	10874570	40	2505631	83465166	1567978762	45027781	13443163	1811762	332074146	6342884	1169279026
MethylC-Seq_mm_fc_4wk_SRR921700_1_trimmed.fq.gz_bismark_bt2.bam	171506611	131431110	16833323	23242109	69	9515768	121915342	2103894910	79085722	22028109	10162664	528340888	35395685	1428881842
MethylC-Seq_mm_fc_6wk_SRR921780_1_trimmed.fq.gz_bismark_bt2.bam	138945839	105017644	14810878	19117263	54	6832181	98185463	1585190710	55364279	14626183	6467274	380453198	23502228	1104777548
MethylC-Seq_mm_fc_6wk_SRR921781_1_trimmed.fq.gz_bismark_bt2.bam	170616521	131957273	15700404	22958749	95	9453310	122503963	2061304321	73238464	19342024	8366762	498891962	30042192	1431422917
MethylC-Seq_mm_fc_10wk_SRR921784_1_trimmed.fq.gz_bismark_bt2.bam	33617933	25023357	3630068	4964506	2	1007281	24016076	353373074	12502162	4092466	1379224	90342568	4795839	240260815
MethylC-Seq_mm_fc_10wk_SRR921785_1_trimmed.fq.gz_bismark_bt2.bam	70595869	53647367	7548425	9400071	6	2822726	50824641	907230026	31942388	10638779	3369415	231707984	11824634	617746826
MethylC-Seq_mm_fc_1wk_SRR921770_1_trimmed.fq.gz_bismark_bt2.bam	99944444	85880302	3179359	10884757	26	2498381	83381921	1562840273	44827612	13404041	1812592	331308033	6320794	1165167201
MethylC-Seq_mm_fc_2wk_SRR921773_1_trimmed.fq.gz_bismark_bt2.bam	128125879	97745848	11557697	18822330	4	6179436	91566412	1472451692	55160868	17617658	3583627	375850399	11458218	1008780922
MethylC-Seq_mm_fc_10wk_SRR921786_1_trimmed.fq.gz_bismark_bt2.bam	69142855	52426620	7067020	9649208	7	2739471	49687149	851179600	29997684	9926483	3141990	217388944	11065984	579658515
MethylC-Seq_mm_fc_10wk_SRR921787_1_trimmed.fq.gz_bismark_bt2.bam	64092251	48672513	6848641	8571090	7	2554732	46117781	821642249	28898848	9596169	3028554	209826329	10664028	559628321
MethylC-Seq_mm_fc_1wk_SRR921768_1_trimmed.fq.gz_bismark_bt2.bam	99937484	85690288	3389442	10857715	39	2484308	83205980	1559936769	44808244	13403348	1801911	330756121	6303584	1162863561
MethylC-Seq_mm_fc_1wk_SRR921769_1_trimmed.fq.gz_bismark_bt2.bam	20400069	17482184	717541	2200340	4	287686	17194498	321444403	9279423	2771305	374888	68115589	1309578	239593620
MethylC-Seq_mm_fc_22mo_SRR921797_1_trimmed.fq.gz_bismark_bt2.bam	88377494	68298609	7567893	12510963	29	3781779	64516830	1020900641	33700259	9757786	3511901	233572727	13743405	726614563
MethylC-Seq_mm_fc_22mo_SRR921798_1_trimmed.fq.gz_bismark_bt2.bam	96164768	73575805	8774005	13814926	32	3760444	69815361	1078264600	35598714	10123431	3751166	246644040	14706472	767440777
MethylC-Seq_mm_fc_4wk_SRR921698_1_trimmed.fq.gz_bismark_bt2.bam	138660582	103030781	16383591	19246162	48	6887199	96143582	1586700464	59007337	16043189	7776698	394537219	27496001	1081840020
MethylC-Seq_mm_fc_4wk_SRR921699_1_trimmed.fq.gz_bismark_bt2.bam	140019512	103961465	16657184	19400821	42	6951742	97009723	1601669598	59496091	16244997	7822675	398412414	27662961	1092030460
MethylC-Seq_mm_fc_22mo_SRR921799_1_trimmed.fq.gz_bismark_bt2.bam	96157236	73250673	9064576	13841962	25	3705371	69545302	1069026087	35310751	10044648	3721280	244599036	14599561	760750811
MethylC-Seq_mm_fc_22mo_SRR921800_1_trimmed.fq.gz_bismark_bt2.bam	19844392	15011556	1968738	2864094	4	478149	14533407	220247993	7292290	2094097	768984	50371061	3011731	156709830
MethylC-Seq_mm_fc_6wk_SRR921778_1_trimmed.fq.gz_bismark_bt2.bam	132869200	97603957	15878601	19386594	48	6155454	91448503	1411512666	48097120	12573234	5666320	333723292	20821506	990631194
MethylC-Seq_mm_fc_6wk_SRR921779_1_trimmed.fq.gz_bismark_bt2.bam	138053504	103519473	15592328	18941633	70	6727538	96791935	1560618839	54531475	14370733	6371999	374423383	23175579	1087745670
