CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	529417	150498	77.87	679915
2	383034	75712	83.50	458746
3	442403	126467	77.77	568870
4	451382	122368	78.67	573750
5	431273	121900	77.96	553173
6	465246	136066	77.37	601312
7	418281	121008	77.56	539289
8	449868	132519	77.25	582387
9	462487	133952	77.54	596439
10	447753	132820	77.12	580573
11	444961	131188	77.23	576149
12	452808	132890	77.31	585698
13	448830	132162	77.25	580992
14	449694	132768	77.21	582462
15	448963	133529	77.08	582492
16	453537	135274	77.03	588811
17	455072	135336	77.08	590408
18	454916	135996	76.99	590912
19	452807	135787	76.93	588594
20	454828	136286	76.94	591114
21	454364	136046	76.96	590410
22	454859	136123	76.97	590982
23	454825	136221	76.95	591046
24	457954	136088	77.09	594042
25	457079	137224	76.91	594303
26	453923	136532	76.88	590455
27	455051	137549	76.79	592600
28	454313	137074	76.82	591387
29	454977	137168	76.84	592145
30	458606	138046	76.86	596652
31	457536	137810	76.85	595346
32	457351	137289	76.91	594640
33	457384	137834	76.84	595218
34	457085	137365	76.89	594450
35	458530	138028	76.86	596558
36	457191	137547	76.87	594738
37	455495	137527	76.81	593022
38	455681	137536	76.82	593217
39	457381	137165	76.93	594546
40	457310	137307	76.91	594617
41	459393	137647	76.95	597040
42	456652	137595	76.85	594247
43	459054	137882	76.90	596936
44	456384	137665	76.83	594049
45	457759	137453	76.91	595212
46	458953	137731	76.92	596684
47	458980	137686	76.92	596666
48	458528	137307	76.96	595835
49	458040	137222	76.95	595262
50	457709	137593	76.89	595302
51	457810	138445	76.78	596255
52	457621	137062	76.95	594683
53	457715	136945	76.97	594660
54	458754	137346	76.96	596100
55	457865	137932	76.85	595797
56	457949	137617	76.89	595566
57	459536	137403	76.98	596939
58	457079	137290	76.90	594369
59	455807	136666	76.93	592473
60	456906	136863	76.95	593769
61	458378	136536	77.05	594914
62	458510	136398	77.07	594908
63	455964	136615	76.95	592579
64	456355	137017	76.91	593372
65	456080	136979	76.90	593059
66	455761	136666	76.93	592427
67	454619	136487	76.91	591106
68	453444	136144	76.91	589588
69	452598	136687	76.80	589285
70	452232	135415	76.96	587647
71	450753	135925	76.83	586678
72	452747	136019	76.90	588766
73	451009	135415	76.91	586424
74	451526	135392	76.93	586918
75	449102	134998	76.89	584100
76	448652	135228	76.84	583880
77	448447	135040	76.86	583487
78	447205	135140	76.79	582345
79	445504	135062	76.74	580566
80	446593	134069	76.91	580662
81	444141	134539	76.75	578680
82	443396	133954	76.80	577350
83	442922	133654	76.82	576576
84	440572	133541	76.74	574113
85	439783	133047	76.77	572830
86	436647	132677	76.70	569324
87	436386	132886	76.66	569272
88	434216	132793	76.58	567009
89	433320	132518	76.58	565838
90	431298	132700	76.47	563998
91	428852	130806	76.63	559658
92	424815	130564	76.49	555379
93	422619	130792	76.37	553411
94	417068	128926	76.39	545994
95	414118	128362	76.34	542480
96	413237	127711	76.39	540948
97	408684	125670	76.48	534354
98	403096	124338	76.43	527434
99	397251	124003	76.21	521254
100	386763	115973	76.93	502736

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	89894	3670322	2.39	3760216
2	32987	2817196	1.16	2850183
3	28276	2978271	0.94	3006547
4	23835	2992226	0.79	3016061
5	19866	3108847	0.63	3128713
6	19235	3151483	0.61	3170718
7	18844	3152164	0.59	3171008
8	19937	3317500	0.60	3337437
9	19590	3311273	0.59	3330863
10	18663	3274698	0.57	3293361
11	18201	3267566	0.55	3285767
12	18159	3278274	0.55	3296433
13	17762	3265490	0.54	3283252
14	17687	3293430	0.53	3311117
15	17401	3299211	0.52	3316612
16	17541	3314655	0.53	3332196
17	17371	3316191	0.52	3333562
18	17488	3319586	0.52	3337074
19	17232	3332966	0.51	3350198
20	17483	3347410	0.52	3364893
21	17567	3355798	0.52	3373365
22	17137	3351189	0.51	3368326
23	17378	3357489	0.51	3374867
24	17404	3380693	0.51	3398097
