chrom	start	end	length	name	%gc	mean_coverage	normalized_coverage	min_normalized_coverage	max_normalized_coverage	min_coverage	max_coverage	pct_0x	read_count
1	4849324	4849444	121	.	0.363636	88.570248	0.698413	0.536208	0.820083	68	104	0	155
1	8080083	8080203	121	.	0.371901	34.090909	0.268821	0.212906	0.315417	27	40	0	73
1	11168230	11168350	121	.	0.495868	88.958678	0.701476	0.512552	0.812198	65	103	0	159
1	11169327	11169447	121	.	0.413223	73.719008	0.581305	0.402156	0.670261	51	85	0	125
1	11174323	11174563	241	.	0.526971	131.767635	1.039043	0.686031	1.174927	87	149	0	360
1	11177042	11177162	121	.	0.421488	77.173554	0.608546	0.425813	0.725458	54	92	0	135
1	11181244	11181484	241	.	0.560166	135.481328	1.068327	0.709688	1.277438	90	162	0	362
1	11181990	11182230	241	.	0.551867	154.423237	1.217692	0.583521	1.553427	74	197	0	412
1	11184503	11184743	241	.	0.481328	146.883817	1.15824	0.764886	1.340521	97	170	0	399
1	11186646	11186886	241	.	0.46473	141.352697	1.114625	0.693917	1.427261	88	181	0	395
1	11187652	11187892	241	.	0.510373	152.26971	1.20071	0.717573	1.387834	91	176	0	426
1	11188002	11188242	241	.	0.539419	135.850622	1.071239	0.615063	1.238011	78	157	0	381
1	11189785	11189905	121	.	0.53719	86.702479	0.683685	0.473125	0.796427	60	101	0	144
1	11190530	11190890	361	.	0.592798	167.526316	1.321015	0.662375	1.679594	84	213	0	627
1	11210173	11210293	121	.	0.528926	96.661157	0.762214	0.512552	0.883167	65	112	0	158
1	11217159	11217399	241	.	0.53527	142.497925	1.123656	0.65449	1.269552	83	161	0	383
1	11227477	11227597	121	.	0.454545	85.61157	0.675083	0.488896	0.812198	62	103	0	153
1	11293314	11293434	121	.	0.347107	67.454545	0.531907	0.362729	0.662375	46	84	0	116
1	14192612	14192732	121	.	0.429752	98.85124	0.779483	0.615063	0.891052	78	113	0	166
1	20541310	20541430	121	.	0.413223	103.867769	0.819041	0.56775	0.993563	72	126	0	186
1	27022863	27024063	1201	.	0.766028	170.965029	1.348131	0.520438	1.8925	66	240	0	1928
1	27056128	27056368	241	.	0.585062	174.240664	1.37396	0.851625	1.640167	108	208	0	463
1	27057629	27058109	481	.	0.602911	152.243243	1.200502	0.709688	1.514	90	192	0	738
1	27059165	27059285	121	.	0.520661	100.247934	0.790497	0.622948	0.898938	79	114	0	170
1	27087287	27087647	361	.	0.520776	164.67867	1.29856	0.65449	1.726907	83	219	0	619
1	27087859	27087979	121	.	0.570248	85.917355	0.677494	0.559865	0.764886	71	97	0	152
1	27088607	27088847	241	.	0.543568	159.614108	1.258624	0.757	1.537656	96	195	0	421
1	27089440	27089800	361	.	0.578947	194.795014	1.53604	0.764886	1.924042	97	244	0	724
1	27092664	27092904	241	.	0.485477	151.427386	1.194068	0.780656	1.41149	99	179	0	457
1	27092942	27093062	121	.	0.495868	123.487603	0.973751	0.701802	1.174927	89	149	0	229
1	27094265	27094505	241	.	0.518672	140.6639	1.109194	0.733344	1.403604	93	178	0	390
1	27097594	27097834	241	.	0.502075	141.385892	1.114887	0.709688	1.435146	90	182	0	391
1	27098937	27099177	241	.	0.53527	175.410788	1.383187	0.827969	1.726907	105	219	0	490
1	27099271	27099511	241	.	0.46473	147.589212	1.163803	0.701802	1.435146	89	182	0	416
1	27099792	27100259	468	.	0.58547	183.224359	1.444801	0.94625	1.8925	120	240	0	919
1	27100281	27100401	121	.	0.53719	119.165289	0.939668	0.559865	1.159156	71	147	0	216
1	27100786	27101746	961	.	0.587929	171.886576	1.355397	0.559865	1.916157	71	243	0	1597
1	27102013	27102253	241	.	0.514523	145.622407	1.148294	0.757	1.32475	96	168	0	401
1	27105480	27107280	1801	.	0.544697	195.358134	1.540481	0.449469	1.924042	57	244	0	3240
1	30794900	30795020	121	.	0.570248	97.049587	0.765277	0.536208	0.930479	68	118	0	165
1	35013526	35013646	121	.	0.371901	76.355372	0.602094	0.433698	0.701802	55	89	0	134
1	36411677	36411797	121	.	0.380165	92.826446	0.731975	0.536208	0.851625	68	108	0	156
1	46597443	46597563	121	.	0.363636	49.033058	0.386646	0.315417	0.425813	40	54	0	101
1	46733086	46733326	241	.	0.493776	149.340249	1.17761	0.772771	1.395719	98	177	0	401
1	59245323	59245443	121	.	0.371901	60.107438	0.473972	0.3785	0.559865	48	71	0	119
1	59564313	59564433	121	.	0.38843	100.53719	0.792778	0.638719	0.922594	81	117	0	180
1	65306915	65307035	121	.	0.429752	108.975207	0.859315	0.638719	1.009333	81	128	0	184
1	66042018	66042138	121	.	0.438017	95.710744	0.754719	0.504667	0.867396	64	110	0	168
1	78428415	78428655	241	.	0.365145	139.929461	1.103402	0.749115	1.253781	95	159	0	384
1	78432454	78432574	121	.	0.305785	49.165289	0.387689	0.252333	0.536208	32	68	0	121
1	78432594	78432714	121	.	0.297521	61.694215	0.486485	0.27599	0.646604	35	82	0	114
1	82939477	82939597	121	.	0.347107	98.198347	0.774335	0.591406	0.875281	75	111	0	168
1	96258865	96258985	121	.	0.231405	79.752066	0.628878	0.48101	0.757	61	96	0	135
1	106053743	106053863	121	.	0.330579	63.198347	0.498345	0.323302	0.599292	41	76	0	109
1	113234396	113234516	121	.	0.578512	95.429752	0.752503	0.559865	0.883167	71	112	0	172
1	115252150	115252390	241	.	0.423237	142.854772	1.12647	0.496781	1.364177	63	173	0	389
1	115256390	115256630	241	.	0.448133	86.751037	0.684068	0.149823	0.977792	19	124	0	221
1	115258666	115258786	121	.	0.471074	103.206612	0.813827	0.662375	0.914708	84	116	0	166
1	120199129	120199249	121	.	0.38843	61.752066	0.486941	0.339073	0.575636	43	73	0	98
1	147282386	147282506	121	.	0.429752	74.495868	0.587431	0.433698	0.701802	55	89	0	132
1	148888224	148888344	121	.	0.280992	77.024793	0.607373	0.425813	0.772771	54	98	0	157
1	155874078	155874318	241	.	0.448133	130.145228	1.02625	0.662375	1.214354	84	154	0	346
1	156834566	156835096	531	.	0.580038	187.766478	1.480617	0.859511	1.750563	109	222	0	984
1	156835286	156836726	1441	.	0.564885	163.734212	1.291113	0.331188	1.766334	42	224	0	2224
1	156841526	156842486	961	.	0.408949	153.398543	1.209612	0.110396	1.868844	14	237	0	1383
