## htsjdk.samtools.metrics.StringHeader
# picard.analysis.directed.CollectHsMetrics BAIT_INTERVALS=[NexteraRapidCaptureExpandedExome_Probes.header.bed] CLIP_OVERLAPPING_READS=true TARGET_INTERVALS=[NexteraRapidCaptureExpandedExome_Target.header.bed] INPUT=S1.bam OUTPUT=hs_metrics.txt    MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 COVERAGE_CAP=200 SAMPLE_SIZE=10000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Nov 24 13:49:33 CET 2017

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	GENOME_SIZE	BAIT_TERRITORY	TARGET_TERRITORY	BAIT_DESIGN_EFFICIENCY	TOTAL_READS	PF_READS	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PCT_PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	ON_TARGET_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
NexteraRapidCaptureExpandedExome_Probes	3137161264	32382013	62085286	1.917277	184773856	184773856	142329726	1	0.770291	140938987	0.990229	16407716502	12594740410	7349331817	4645985059	4412399626	4496460987	0.731078	0.268922	0.612683	226.957225	72.423939	63	1566	0.39565	0.242066	43.394303	0.008655	0.232389	0.09324	0.006253	0.195308	0.474398	2.785536	0.96861	0.953891	0.905991	0.849141	0.77475	0.690491	0.60527	0.267246	112218019	8.563485	9.547257	10.963888	13.167536	17.721742	-1	0	0	0.943618	12			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	1948855	0
1	913862	0
2	566223	0
3	434606	148976
4	374807	496349
5	346452	1011909
6	325747	2011334
7	310851	4403248
8	305629	7559486
9	309544	9306644
10	309768	9260138
11	315782	9342596
12	324530	7244338
13	336887	5858138
14	345000	6602577
15	355751	5758665
16	367069	5529083
17	380138	6198288
18	391582	7440168
19	403058	7956666
20	417785	8915979
21	427789	10902910
22	438656	12539518
23	447965	13782534
24	459240	15996432
25	468551	21784187
26	478129	28946320
27	486397	37765118
28	494718	59879776
29	499337	80114725
30	505195	195203132
31	512305	443106152
32	516856	636988798
33	522043	672414425
34	523392	521719995
35	525038	788964016
36	529319	707998519
37	529370	181258726
38	532995	0
39	534705	0
40	535861	0
41	534475	0
42	534835	0
43	533246	0
44	532303	0
45	530321	0
46	526820	0
47	524264	0
48	520514	0
49	518336	0
50	514043	0
51	512423	0
52	508437	0
53	503690	0
54	502507	0
55	497904	0
56	493212	0
57	487825	0
58	485531	0
59	480643	0
60	476217	0
61	472437	0
62	470239	0
63	465538	0
64	459299	0
65	456980	0
66	452572	0
67	449655	0
68	446356	0
69	442120	0
70	438714	0
71	434327	0
72	430426	0
73	425072	0
74	420053	0
75	416325	0
76	412747	0
77	410182	0
78	405835	0
79	401561	0
80	397768	0
81	393599	0
82	390191	0
83	387741	0
84	382936	0
85	378091	0
86	374429	0
87	370178	0
88	366028	0
89	362107	0
90	357790	0
91	355583	0
92	351725	0
93	348125	0
94	344052	0
95	340178	0
96	334442	0
97	329739	0
98	326367	0
99	322414	0
100	317200	0
101	312607	0
102	308536	0
103	303953	0
104	300206	0
105	296995	0
106	293057	0
107	289272	0
108	283871	0
109	279649	0
110	276046	0
111	271466	0
112	266375	0
113	262690	0
114	258072	0
115	254374	0
116	250417	0
117	246535	0
118	242666	0
119	238357	0
120	235197	0
121	230638	0
122	226625	0
123	222847	0
124	218113	0
125	214422	0
126	211171	0
127	207232	0
128	202466	0
129	199347	0
130	194511	0
131	191095	0
132	186974	0
133	184748	0
134	181725	0
135	177810	0
136	175257	0
137	171668	0
138	167739	0
139	163901	0
140	161862	0
141	158223	0
142	155288	0
143	152048	0
144	148849	0
145	146392	0
146	144118	0
147	141402	0
148	138532	0
149	135870	0
150	133731	0
151	130922	0
152	128585	0
153	125663	0
154	124719	0
155	120710	0
156	118978	0
157	116596	0
158	114652	0
159	112119	0
160	109810	0
161	107370	0
162	106066	0
163	103666	0
164	101145	0
165	98801	0
166	97318	0
167	95058	0
168	93653	0
169	91381	0
170	89133	0
171	87665	0
172	85405	0
173	83451	0
174	81459	0
175	79469	0
176	78050	0
177	76553	0
178	74804	0
179	73158	0
180	71271	0
181	69281	0
182	67811	0
183	66019	0
184	64990	0
185	63574	0
186	62069	0
187	60827	0
188	58616	0
189	57513	0
190	55842	0
191	54842	0
192	53717	0
193	51839	0
194	50570	0
195	49245	0
196	47348	0
197	46956	0
198	45583	0
199	44241	0
200	1411374	0

