Found 196 primers in BED file

Number of references in file: 1
NC_045512.2
Using Region: NC_045512.2

Found 48670 mapped reads
Found 0 unmapped reads
Sorted By Coordinate
-------
Processed 10% reads ... 
Processed 20% reads ... 
Processed 30% reads ... 
Processed 40% reads ... 
Processed 50% reads ... 
Processed 60% reads ... 
Processed 70% reads ... 
Processed 80% reads ... 
Processed 90% reads ... 
Processed 100% reads ... 

-------
Results: 
Primer Name	Read Count
nCoV-2019_1_LEFT	366
nCoV-2019_1_RIGHT	359
nCoV-2019_2_LEFT	79
nCoV-2019_2_RIGHT	76
nCoV-2019_3_LEFT	770
nCoV-2019_3_RIGHT	688
nCoV-2019_4_LEFT	786
nCoV-2019_4_RIGHT	736
nCoV-2019_5_LEFT	101
nCoV-2019_5_RIGHT	93
nCoV-2019_6_LEFT	105
nCoV-2019_6_RIGHT	49
nCoV-2019_7_LEFT	103
nCoV-2019_7_RIGHT	86
nCoV-2019_8_LEFT	90
nCoV-2019_8_RIGHT	135
nCoV-2019_9_LEFT	53
nCoV-2019_9_RIGHT	119
nCoV-2019_10_LEFT	63
nCoV-2019_10_RIGHT	73
nCoV-2019_11_LEFT	372
nCoV-2019_11_RIGHT	335
nCoV-2019_12_LEFT	98
nCoV-2019_12_RIGHT	82
nCoV-2019_13_LEFT	4
nCoV-2019_13_RIGHT	6
nCoV-2019_14_LEFT	736
nCoV-2019_14_RIGHT	664
nCoV-2019_15_LEFT	3
nCoV-2019_15_RIGHT	4
nCoV-2019_16_LEFT	263
nCoV-2019_16_RIGHT	391
nCoV-2019_17_LEFT	24
nCoV-2019_17_RIGHT	1
nCoV-2019_18_LEFT	3
nCoV-2019_18_RIGHT	52
nCoV-2019_19_LEFT	210
nCoV-2019_19_RIGHT	201
nCoV-2019_20_LEFT	66
nCoV-2019_20_RIGHT	47
nCoV-2019_21_LEFT	36
nCoV-2019_21_RIGHT	35
nCoV-2019_22_LEFT	1336
nCoV-2019_22_RIGHT	1049
nCoV-2019_23_LEFT	53
nCoV-2019_23_RIGHT	121
nCoV-2019_24_LEFT	239
nCoV-2019_24_RIGHT	288
nCoV-2019_25_LEFT	408
nCoV-2019_25_RIGHT	460
nCoV-2019_26_LEFT	27
nCoV-2019_26_RIGHT	53
nCoV-2019_27_LEFT	291
nCoV-2019_27_RIGHT	282
nCoV-2019_28_LEFT	17
nCoV-2019_28_RIGHT	19
nCoV-2019_29_LEFT	0
nCoV-2019_29_RIGHT	1
nCoV-2019_30_LEFT	281
nCoV-2019_30_RIGHT	291
nCoV-2019_31_LEFT	168
nCoV-2019_31_RIGHT	92
nCoV-2019_32_LEFT	60
nCoV-2019_32_RIGHT	55
nCoV-2019_33_LEFT	114
nCoV-2019_33_RIGHT	204
nCoV-2019_34_LEFT	574
nCoV-2019_34_RIGHT	652
nCoV-2019_35_LEFT	111
nCoV-2019_35_RIGHT	37
nCoV-2019_36_LEFT	46
nCoV-2019_36_RIGHT	64
nCoV-2019_37_LEFT	149
nCoV-2019_37_RIGHT	236
nCoV-2019_38_LEFT	45
nCoV-2019_38_RIGHT	21
nCoV-2019_39_LEFT	72
nCoV-2019_39_RIGHT	79
nCoV-2019_40_LEFT	353
nCoV-2019_40_RIGHT	381
nCoV-2019_41_LEFT	258
nCoV-2019_41_RIGHT	188
nCoV-2019_42_LEFT	116
nCoV-2019_42_RIGHT	132
nCoV-2019_43_LEFT	43
nCoV-2019_43_RIGHT	142
nCoV-2019_44_LEFT	348
nCoV-2019_44_RIGHT	292
nCoV-2019_45_LEFT	58
nCoV-2019_45_RIGHT	55
nCoV-2019_46_LEFT	321
nCoV-2019_46_RIGHT	314
nCoV-2019_47_LEFT	312
nCoV-2019_47_RIGHT	433
nCoV-2019_48_LEFT	308
nCoV-2019_48_RIGHT	328
nCoV-2019_49_LEFT	605
nCoV-2019_49_RIGHT	549
nCoV-2019_50_LEFT	548
nCoV-2019_50_RIGHT	555
nCoV-2019_51_LEFT	208
nCoV-2019_51_RIGHT	124
nCoV-2019_52_LEFT	442
nCoV-2019_52_RIGHT	430
nCoV-2019_53_LEFT	735
nCoV-2019_53_RIGHT	829
nCoV-2019_54_LEFT	122
nCoV-2019_54_RIGHT	177
nCoV-2019_55_LEFT	100
nCoV-2019_55_RIGHT	30
nCoV-2019_56_LEFT	167
nCoV-2019_56_RIGHT	173
nCoV-2019_57_LEFT	123
nCoV-2019_57_RIGHT	131
nCoV-2019_58_LEFT	752
nCoV-2019_58_RIGHT	735
nCoV-2019_59_LEFT	426
nCoV-2019_59_RIGHT	470
nCoV-2019_60_LEFT	162
nCoV-2019_60_RIGHT	167
nCoV-2019_61_LEFT	177
nCoV-2019_61_RIGHT	145
nCoV-2019_62_LEFT	261
nCoV-2019_62_RIGHT	341
nCoV-2019_63_LEFT	210
nCoV-2019_63_RIGHT	247
nCoV-2019_64_LEFT	1
nCoV-2019_64_RIGHT	27
nCoV-2019_65_LEFT	61
nCoV-2019_65_RIGHT	44
nCoV-2019_66_LEFT	102
nCoV-2019_66_RIGHT	66
nCoV-2019_67_LEFT	217
nCoV-2019_67_RIGHT	195
nCoV-2019_68_LEFT	284
nCoV-2019_68_RIGHT	363
nCoV-2019_69_LEFT	165
nCoV-2019_69_RIGHT	184
nCoV-2019_70_LEFT	4
nCoV-2019_70_RIGHT	12
nCoV-2019_71_LEFT	24
nCoV-2019_71_RIGHT	86
nCoV-2019_72_LEFT	462
nCoV-2019_72_RIGHT	445
nCoV-2019_73_LEFT	204
nCoV-2019_73_RIGHT	380
nCoV-2019_74_LEFT	19
nCoV-2019_74_RIGHT	15
nCoV-2019_75_LEFT	170
nCoV-2019_75_RIGHT	135
nCoV-2019_76_LEFT	41
nCoV-2019_76_RIGHT	2
nCoV-2019_77_LEFT	1124
nCoV-2019_77_RIGHT	781
nCoV-2019_78_LEFT	7
nCoV-2019_78_RIGHT	22
nCoV-2019_79_LEFT	26
nCoV-2019_79_RIGHT	67
nCoV-2019_80_LEFT	34
nCoV-2019_80_RIGHT	29
nCoV-2019_81_LEFT	56
nCoV-2019_81_RIGHT	88
nCoV-2019_82_LEFT	155
nCoV-2019_82_RIGHT	115
nCoV-2019_83_LEFT	108
nCoV-2019_83_RIGHT	149
nCoV-2019_84_LEFT	268
nCoV-2019_84_RIGHT	289
nCoV-2019_85_LEFT	3
nCoV-2019_85_RIGHT	17
nCoV-2019_86_LEFT	112
nCoV-2019_86_RIGHT	132
nCoV-2019_87_LEFT	883
nCoV-2019_87_RIGHT	965
nCoV-2019_88_LEFT	328
nCoV-2019_88_RIGHT	274
nCoV-2019_89_LEFT	723
nCoV-2019_89_RIGHT	624
nCoV-2019_90_LEFT	648
nCoV-2019_90_RIGHT	876
nCoV-2019_91_LEFT	17
nCoV-2019_91_RIGHT	9
nCoV-2019_92_LEFT	145
nCoV-2019_92_RIGHT	142
nCoV-2019_93_LEFT	484
nCoV-2019_93_RIGHT	551
nCoV-2019_94_LEFT	108
nCoV-2019_94_RIGHT	39
nCoV-2019_95_LEFT	198
nCoV-2019_95_RIGHT	248
nCoV-2019_96_LEFT	161
nCoV-2019_96_RIGHT	199
nCoV-2019_97_LEFT	46
nCoV-2019_97_RIGHT	41
nCoV-2019_98_LEFT	0
nCoV-2019_98_RIGHT	2

Trimmed primers from 94.68% (46082) of reads.
0.52% (254) of reads were quality trimmed below the minimum length of 30 bp and were not writen to file.
5.29% (2575) of reads that started outside of primer regions were not written to file.
