## htsjdk.samtools.metrics.StringHeader
# CollectMultipleMetrics INPUT=path/to/sample.recal.bam OUTPUT=path/to/sample FILE_EXTENSION=.txt PROGRAM=[CollectAlignmentSummaryMetrics, CollectBaseDistributionByCycle, CollectInsertSizeMetrics, MeanQualityByCycle, QualityScoreDistribution, CollectGcBiasMetrics, CollectSequencingArtifactMetrics, CollectQualityYieldMetrics] 
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 03 10:14:32 MST 2020


## HISTOGRAM	java.lang.Integer
CYCLE	MEAN_QUALITY	MEAN_ORIGINAL_QUALITY
1	35.12345	32.45678
2	35.23456	32.56789
3	35.34567	32.67890
4	35.45678	32.78901
5	35.56789	32.89012
6	35.67890	32.90123
7	35.78901	33.01234
8	35.89012	33.12345
9	35.90123	33.23456
10	36.01234	33.34567
11	36.12345	33.45678
12	36.23456	33.56789
13	36.34567	33.67890
14	36.45678	33.78901
15	36.56789	33.89012
16	36.67890	33.90123
17	36.78901	34.01234
18	36.89012	34.12345
19	36.90123	34.23456
20	37.01234	34.34567
21	37.12345	34.45678
22	37.23456	34.56789
23	37.34567	34.67890
24	37.45678	34.78901
25	37.56789	34.89012
26	37.67890	34.90123
27	37.78901	35.01234
28	37.89012	35.12345
29	37.90123	35.23456
30	38.01234	35.34567
31	38.12345	35.45678
32	38.23456	35.56789
33	38.34567	35.67890
34	38.45678	35.78901
35	38.56789	35.89012
36	38.67890	35.90123
37	38.78901	36.01234
38	38.89012	36.12345
39	38.90123	36.23456
40	39.01234	36.34567
41	39.12345	36.45678
42	39.23456	36.56789
43	39.34567	36.67890
44	39.45678	36.78901
45	39.56789	36.89012
46	39.67890	36.90123
47	39.78901	37.01234
48	39.89012	37.12345
49	39.90123	37.23456
50	40.01234	37.34567
51	40.12345	37.45678
52	40.23456	37.56789
53	40.34567	37.67890
54	40.45678	37.78901
55	39.56789	37.89012
56	39.67890	37.90123
57	39.78901	38.01234
58	39.89012	38.12345
59	39.90123	38.23456
60	39.01234	38.34567
61	39.12345	38.45678
62	39.23456	38.56789
63	39.34567	38.67890
64	39.45678	38.78901
65	39.56789	38.89012
66	39.67890	38.90123
67	39.78901	39.01234
68	39.89012	39.12345
69	39.90123	39.23456
70	39.01234	39.34567
71	39.12345	39.45678
72	39.23456	39.56789
73	39.34567	39.67890
74	39.45678	39.78901
75	39.56789	39.89012
76	38.67890	38.90123
77	38.78901	38.01234
78	38.89012	38.12345
79	38.90123	38.23456
80	38.01234	38.34567
81	38.12345	38.45678
82	38.23456	38.56789
83	38.34567	38.67890
84	38.45678	38.78901
85	38.56789	38.89012
86	38.67890	38.90123
87	38.78901	37.01234
88	38.89012	37.12345
89	38.90123	37.23456
90	38.01234	37.34567
91	38.12345	37.45678
92	38.23456	37.56789
93	38.34567	37.67890
94	38.45678	37.78901
95	38.56789	37.89012
96	37.67890	36.90123
97	37.78901	36.01234
98	37.89012	36.12345
99	37.90123	36.23456
100	37.01234	36.34567
