## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=gcbias_summary.pdf SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	138328	166	17	0.053532	0.004155			
All Reads	ALL	1	101882	37	16	0.016200	0.002663			
All Reads	ALL	2	119633	43	18	0.016034	0.002445			
All Reads	ALL	3	154753	1964	22	0.566132	0.012775			
All Reads	ALL	4	168634	209	16	0.055286	0.003824			
All Reads	ALL	5	172932	190	15	0.049011	0.003556			
All Reads	ALL	6	197404	230	14	0.051974	0.003427			
All Reads	ALL	7	210776	198	17	0.041904	0.002978			
All Reads	ALL	8	240243	262	19	0.048648	0.003005			
All Reads	ALL	9	273101	678	17	0.110744	0.004253			
All Reads	ALL	10	322266	450	19	0.062289	0.002936			
All Reads	ALL	11	388575	642	19	0.073701	0.002909			
All Reads	ALL	12	498636	907	19	0.081141	0.002694			
All Reads	ALL	13	652857	1483	19	0.101330	0.002631			
All Reads	ALL	14	920903	2076	20	0.100561	0.002207			
All Reads	ALL	15	1348138	3410	21	0.112833	0.001932			
All Reads	ALL	16	2011188	5763	21	0.127824	0.001684			
All Reads	ALL	17	3013230	9601	22	0.142134	0.001451			
All Reads	ALL	18	4515702	15213	22	0.150281	0.001218			
All Reads	ALL	19	6663211	23491	23	0.157265	0.001026			
All Reads	ALL	20	9610921	36165	24	0.167857	0.000883			
All Reads	ALL	21	13510113	53342	24	0.176127	0.000763			
All Reads	ALL	22	18442702	76719	24	0.185564	0.000670			
All Reads	ALL	23	24481906	105324	24	0.191910	0.000591			
All Reads	ALL	24	31604650	141021	24	0.199044	0.000530			
All Reads	ALL	25	39642086	184204	25	0.207280	0.000483			
All Reads	ALL	26	48283438	233004	25	0.215268	0.000446			
All Reads	ALL	27	57323384	287519	25	0.223743	0.000417			
All Reads	ALL	28	66433882	350322	25	0.235230	0.000397			
All Reads	ALL	29	75328194	413862	25	0.245083	0.000381			
All Reads	ALL	30	83808611	484445	25	0.257852	0.000370			
All Reads	ALL	31	91749734	559414	25	0.271984	0.000364			
All Reads	ALL	32	98978976	636568	26	0.286891	0.000360			
All Reads	ALL	33	105414554	723435	26	0.306136	0.000360			
All Reads	ALL	34	111133690	814238	26	0.326829	0.000362			
All Reads	ALL	35	116058063	907363	26	0.348755	0.000366			
All Reads	ALL	36	120023344	1005133	26	0.373571	0.000373			
All Reads	ALL	37	122246907	1112390	26	0.405914	0.000385			
All Reads	ALL	38	122309590	1216184	26	0.443562	0.000402			
All Reads	ALL	39	120434132	1315179	26	0.487136	0.000425			
All Reads	ALL	40	116751821	1411300	26	0.539226	0.000454			
All Reads	ALL	41	111440930	1499679	26	0.600301	0.000490			
All Reads	ALL	42	105148400	1581124	26	0.670777	0.000533			
All Reads	ALL	43	98716179	1653410	26	0.747149	0.000581			
All Reads	ALL	44	93020494	1720012	26	0.824837	0.000629			
All Reads	ALL	45	88502400	1776612	26	0.895474	0.000672			
All Reads	ALL	46	85118552	1827583	26	0.957785	0.000708			
All Reads	ALL	47	82467341	1880047	26	1.016955	0.000742			
All Reads	ALL	48	79811744	1938650	26	1.083547	0.000778			
All Reads	ALL	49	76496982	2006727	26	1.170198	0.000826			
All Reads	ALL	50	72222703	2088697	26	1.290081	0.000893			
All Reads	ALL	51	67165605	2154845	26	1.431147	0.000975			
All Reads	ALL	52	61918976	2222617	26	1.601239	0.001074			
All Reads	ALL	53	57021723	2281146	26	1.784547	0.001182			
All Reads	ALL	54	52657156	2336749	26	1.979566	0.001295			
All Reads	ALL	55	48829189	2390182	26	2.183568	0.001412			
All Reads	ALL	56	45098176	2419990	26	2.393700	0.001539			
All Reads	ALL	57	41111495	2416568	26	2.622110	0.001687			
All Reads	ALL	58	36693376	2378057	26	2.891011	0.001875			
All Reads	ALL	59	31874034	2320358	26	3.247380	0.002132			
All Reads	ALL	60	27047752	2240225	26	3.694670	0.002468			
All Reads	ALL	61	22581627	2145682	26	4.238628	0.002894			
All Reads	ALL	62	18749692	2029071	26	4.827456	0.003389			
All Reads	ALL	63	15546905	1880441	26	5.395491	0.003935			
All Reads	ALL	64	12911974	1697530	26	5.864622	0.004501			
All Reads	ALL	65	10696467	1500463	26	6.257490	0.005108			
All Reads	ALL	66	8840909	1300110	26	6.559918	0.005753			
All Reads	ALL	67	7196079	1115992	25	6.917997	0.006549			
All Reads	ALL	68	5775769	940517	25	7.263937	0.007490			
All Reads	ALL	69	4629779	780463	25	7.519817	0.008512			
All Reads	ALL	70	3713040	636567	25	7.647680	0.009585			
All Reads	ALL	71	2964631	511390	25	7.694790	0.010760			
All Reads	ALL	72	2391492	405372	24	7.561362	0.011876			
All Reads	ALL	73	1950688	319475	24	7.305741	0.012925			
All Reads	ALL	74	1606129	247977	24	6.887255	0.013831			
All Reads	ALL	75	1344957	194940	24	6.465584	0.014644			
All Reads	ALL	76	1155597	152974	24	5.905089	0.015098			
All Reads	ALL	77	1012807	120527	24	5.308513	0.015291			
All Reads	ALL	78	897014	95151	23	4.731832	0.015340			
All Reads	ALL	79	782856	72695	23	4.142265	0.015363			
All Reads	ALL	80	667190	57327	23	3.832877	0.016008			
All Reads	ALL	81	559012	42969	23	3.428857	0.016541			
All Reads	ALL	82	468701	32070	22	3.052237	0.017044			
All Reads	ALL	83	383651	23304	22	2.709626	0.017750			
All Reads	ALL	84	298534	16397	22	2.450111	0.019134			
All Reads	ALL	85	216663	11579	22	2.383974	0.022155			
All Reads	ALL	86	144958	7848	21	2.415083	0.027262			
All Reads	ALL	87	94863	5147	21	2.420319	0.033736			
All Reads	ALL	88	65633	3194	20	2.170840	0.038411			
All Reads	ALL	89	42544	1814	20	1.902016	0.044658			
All Reads	ALL	90	27779	1139	20	1.829036	0.054195			
All Reads	ALL	91	17787	911	19	2.284709	0.075696			
All Reads	ALL	92	10676	213	19	0.889992	0.060981			
All Reads	ALL	93	6740	133	19	0.880252	0.076328			
All Reads	ALL	94	3865	300	16	3.462478	0.199906			
All Reads	ALL	95	1809	1856	17	45.767229	1.062345			
