## htsjdk.samtools.metrics.StringHeader
# MeanQualityByCycle CHART_OUTPUT=meanQualityByCycle.pdf ALIGNED_READS_ONLY=false PF_READS_ONLY=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
## HISTOGRAM	java.lang.Integer
CYCLE	MEAN_QUALITY
1	36.529454
2	36.497673
3	36.552887
4	36.560611
5	36.560544
6	36.580395
7	36.570120
8	36.567613
9	36.585250
10	36.566464
11	36.590289
12	36.570121
13	36.552455
14	36.556516
15	36.616379
16	36.535726
17	36.605614
18	36.568154
19	36.541903
20	36.531542
21	36.602558
22	36.499491
23	36.586287
24	36.485617
25	36.519163
26	36.503949
27	36.489015
28	36.475315
29	36.461502
30	36.444414
31	36.455931
32	36.436777
33	36.430650
34	36.422726
35	36.444061
36	36.481568
37	36.408182
38	36.408300
39	36.405294
40	36.466911
41	36.389072
42	36.444579
43	36.450126
44	36.382320
45	36.364038
46	36.354402
47	36.357595
48	36.409157
49	36.336905
50	36.351309
51	36.342390
52	36.357786
53	36.353329
54	36.348179
55	36.354692
56	36.369936
57	36.358356
58	36.383517
59	36.359046
60	36.338621
61	36.347656
62	36.357485
63	36.354747
64	36.368459
65	36.359477
66	36.349793
67	36.334758
68	36.349471
69	36.353996
70	36.284715
71	36.277606
72	36.264593
73	36.265626
74	36.263869
75	36.251818
76	36.246413
77	36.228659
78	36.194717
79	36.213887
80	36.206859
81	36.197404
82	36.157363
83	36.181541
84	36.196658
85	36.239675
86	36.225680
87	36.240871
88	36.258389
89	36.241401
90	36.221883
91	36.230278
92	36.206274
93	36.205802
94	36.220654
95	36.183867
96	36.193362
97	36.221464
98	36.182292
99	36.157190
100	36.161986
101	36.118053
102	36.146440
103	36.141390
104	36.157443
105	36.155696
106	36.199735
107	36.177038
108	36.163395
109	36.123312
110	36.094467
111	36.117129
112	36.133460
113	36.076305
114	36.047427
115	36.038068
116	36.059099
117	36.061556
118	36.069666
119	36.055761
120	36.028888
121	36.053636
122	36.081214
123	36.037460
124	36.047779
125	36.027855
126	36.046670
127	36.058409
128	36.027889
129	36.044045
130	35.982656
131	35.962185
132	35.965256
133	35.978349
134	35.961087
135	35.954466
136	35.981820
137	35.927439
138	35.910697
139	35.919466
140	35.898040
141	35.894865
142	35.884500
143	35.876599
144	35.841345
145	35.887537
146	35.903722
147	35.872121
148	35.915500
149	35.983711
150	36.580311
151	36.261057
152	36.249336
153	36.343743
154	36.334847
155	36.352662
156	36.387869
157	36.347728
158	36.352136
159	36.382313
160	36.368796
161	36.406770
162	36.381714
163	36.399819
164	36.379491
165	36.390579
166	36.384679
167	36.394710
168	36.380221
169	36.381193
170	36.373296
171	36.400174
172	36.371551
173	36.378308
174	36.359723
175	36.351995
176	36.325548
177	36.330222
178	36.333483
179	36.316249
180	36.307746
181	36.318224
182	36.311521
183	36.318691
184	36.315140
185	36.304019
186	36.291018
187	36.280865
188	36.265807
189	36.267950
190	36.262434
191	36.269384
192	36.258841
193	36.275163
194	36.268597
195	36.265604
196	36.263795
197	36.260239
198	36.255173
199	36.258009
200	36.253737
201	36.257502
202	36.229283
203	36.229486
204	36.210223
205	36.203813
206	36.198882
207	36.198338
208	36.202379
209	36.175672
210	36.183978
211	36.212359
212	36.186650
213	36.195446
214	36.185020
215	36.170251
216	36.176466
217	36.152436
218	36.143763
219	36.133531
220	36.133441
221	36.144451
222	36.148732
223	36.125516
224	36.130391
225	36.124749
226	36.117450
227	36.105787
228	36.093461
229	36.093441
230	36.070849
231	36.091900
232	36.090095
233	36.089059
234	36.070229
235	36.063974
236	36.048766
237	36.027655
238	36.035101
239	36.033364
240	36.002328
241	36.002661
242	35.993788
243	35.990297
244	35.977216
245	35.998918
246	36.006826
247	36.004336
248	35.996214
249	35.949250
250	35.984647
251	35.984961
252	35.946237
253	35.937800
254	35.913721
255	35.917866
256	35.942392
257	35.916367
258	35.894935
259	35.870453
260	35.860019
261	35.865989
262	35.866802
263	35.871691
264	35.858743
265	35.887955
266	35.879374
267	35.819769
268	35.766662
269	35.754765
270	35.779501
271	35.782208
272	35.791989
273	35.773712
274	35.760414
275	35.717899
276	35.715298
277	35.753335
278	35.734101
279	35.681768
280	35.678632
281	35.691601
282	35.643521
283	35.620445
284	35.630398
285	35.585062
286	35.578483
287	35.583941
288	35.591536
289	35.615605
290	35.578331
291	35.525611
292	35.489692
293	35.483296
294	35.491298
295	35.557401
296	35.588149
297	35.557808
298	35.575480
299	35.667091
300	36.354210

