## htsjdk.samtools.metrics.StringHeader
# CollectBaseDistributionByCycle ALIGNED_READS_ONLY=false PF_READS_ONLY=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
## METRICS CLASS	picard.analysis.BaseDistributionByCycleMetrics
READ_END	CYCLE	PCT_A	PCT_C	PCT_G	PCT_T	PCT_N
1	1	24.633197	25.385241	25.564886	24.414701	0.001975
1	2	25.882078	24.222789	24.156687	25.663599	0.074846
1	3	24.751962	25.309731	25.467580	24.467145	0.003583
1	4	24.204110	25.795370	26.048412	23.951599	0.000508
1	5	24.553953	25.402258	25.718598	24.284161	0.041030
1	6	24.395390	25.594557	25.925586	24.084467	0.000000
1	7	24.392051	25.605546	25.927334	24.070277	0.004791
1	8	24.945125	25.071066	25.419715	24.561032	0.003063
1	9	24.721493	25.289387	25.649338	24.339783	0.000000
1	10	24.595913	25.417303	25.761434	24.225350	0.000000
1	11	24.752346	25.243692	25.638142	24.365819	0.000000
1	12	24.649927	25.338946	25.755844	24.255282	0.000000
1	13	24.747756	25.242182	25.654229	24.355608	0.000224
1	14	24.831140	25.188257	25.588345	24.392258	0.000000
1	15	24.644269	25.361024	25.770453	24.224253	0.000000
1	16	24.667622	25.338217	25.772598	24.221564	0.000000
1	17	24.705081	25.310194	25.762232	24.221612	0.000881
1	18	24.545421	25.434863	25.921547	24.098169	0.000000
1	19	24.545533	25.440998	25.925112	24.088357	0.000000
1	20	24.643563	25.359971	25.865831	24.130633	0.000003
1	21	24.508008	25.475422	25.957134	24.059435	0.000000
1	22	24.515739	25.467092	25.970692	24.046477	0.000000
1	23	24.636389	25.360126	25.845773	24.157712	0.000000
1	24	24.495472	25.490554	26.007299	24.006675	0.000000
1	25	24.522017	25.447781	25.976175	24.054027	0.000000
1	26	24.602671	25.375908	25.894678	24.126743	0.000000
1	27	24.466292	25.508383	26.049862	23.975463	0.000000
1	28	24.448316	25.529856	26.059783	23.962045	0.000000
1	29	24.551306	25.430853	25.959945	24.057896	0.000000
1	30	24.445227	25.544395	26.058155	23.952222	0.000000
1	31	24.426889	25.547915	26.083437	23.941759	0.000000
1	32	24.517731	25.483543	26.013201	23.985524	0.000000
1	33	24.418059	25.556670	26.102857	23.922413	0.000000
1	34	24.386204	25.582914	26.145750	23.885132	0.000000
1	35	24.496853	25.487648	26.035282	23.980217	0.000000
1	36	24.370209	25.600248	26.159700	23.869840	0.000003
1	37	24.359123	25.610734	26.182813	23.847331	0.000000
1	38	24.465056	25.512790	26.077377	23.944777	0.000000
1	39	24.375002	25.617523	26.170700	23.836522	0.000253
1	40	24.336020	25.644516	26.205499	23.813836	0.000129
1	41	24.438806	25.554388	26.103229	23.903563	0.000014
1	42	24.330177	25.648945	26.218856	23.802023	0.000000
1	43	24.306773	25.657698	26.236055	23.799474	0.000000
1	44	24.413887	25.559078	26.137690	23.889345	0.000000
1	45	24.299881	25.667603	26.254296	23.778220	0.000000
1	46	24.314750	25.667715	26.248531	23.769001	0.000003
1	47	24.390417	25.588637	26.153609	23.867337	0.000000
1	48	24.300804	25.668224	26.266643	23.764328	0.000000
1	49	24.303723	25.678365	26.262019	23.753171	0.002723
1	50	24.377812	25.596563	26.179669	23.845873	0.000083
1	51	24.300877	25.682388	26.260407	23.756307	0.000020
1	52	24.284626	25.685142	26.290605	23.739628	0.000000
1	53	24.372948	25.611136	26.181669	23.834247	0.000000
1	54	24.294811	25.711647	26.277972	23.715570	0.000000
1	55	24.275787	25.704772	26.290408	23.728765	0.000267
1	56	24.361991	25.629347	26.193873	23.814669	0.000121
1	57	24.242943	25.732543	26.306927	23.716535	0.001051
1	58	24.263786	25.723278	26.301533	23.711253	0.000149
1	59	24.370424	25.619237	26.192649	23.817647	0.000043
1	60	24.269755	25.721257	26.297029	23.711919	0.000040
1	61	24.258788	25.710310	26.311135	23.719767	0.000000
1	62	24.358156	25.634641	26.215135	23.792011	0.000057
1	63	24.258332	25.714176	26.327052	23.700336	0.000103
1	64	24.240846	25.745381	26.312394	23.701149	0.000230
1	65	24.339993	25.666088	26.214518	23.779398	0.000003
1	66	24.249196	25.733586	26.311779	23.705439	0.000000
1	67	24.221989	25.748412	26.343816	23.685314	0.000468
1	68	24.341174	25.654025	26.225538	23.779202	0.000060
1	69	24.247793	25.744709	26.332813	23.674685	0.000000
1	70	24.240655	25.731993	26.341616	23.685653	0.000083
1	71	24.318947	25.664761	26.246007	23.770286	0.000000
