#Transcript position	Transcript coverage profile
0.0	108.45913220838455
1.0	359.3890519283146
2.0	577.2475283298279
3.0	683.5895028739768
4.0	797.5654090951664
5.0	926.8854318319496
6.0	983.2462644946711
7.0	966.3938115607202
8.0	887.7951466962505
9.0	930.9116697304202
10.0	971.5935435940456
11.0	983.5354652655582
12.0	980.3775613857407
13.0	1075.39418327349
14.0	1189.1889565111921
15.0	1229.390953622805
16.0	1300.0996574068438
17.0	1303.8885608943094
18.0	1223.4890663867743
19.0	1196.8858575125878
20.0	1213.3974067514594
21.0	1195.2695094070125
22.0	1196.009532916515
23.0	1362.8713451320339
24.0	1432.4753589949678
25.0	1414.7804349493458
26.0	1490.4696344402978
27.0	1642.7914526664233
28.0	1887.1111311752754
29.0	1915.1922385253
30.0	1827.1992003487987
31.0	1648.8693653680912
32.0	1447.5042505821475
33.0	1481.3568281026814
34.0	1568.7189053434506
35.0	1602.7803059056378
36.0	1628.344245573707
37.0	1668.1197929113678
38.0	1673.9514266646709
39.0	1697.2963094837166
40.0	1694.3886177488575
41.0	1723.7217823509477
42.0	1732.655042796082
43.0	1694.8702258982887
44.0	1690.453525931805
45.0	1728.258906684061
46.0	1758.3885802014638
47.0	1703.862802148253
48.0	1650.697487012494
49.0	1543.1069497714402
50.0	1500.918130434141
51.0	1451.303919181303
52.0	1526.356405428748
53.0	1561.5583230294874
54.0	1595.2403258013258
55.0	1555.3054167961786
56.0	1480.6762706053685
57.0	1393.5762929637579
58.0	1443.9946767786714
59.0	1471.9960939905436
60.0	1483.3534045956837
61.0	1451.5894115232468
62.0	1413.273850550289
63.0	1397.221202370041
64.0	1469.6330413917747
65.0	1434.7058488838966
66.0	1375.1850037751294
67.0	1396.0945578461865
68.0	1412.53655997275
69.0	1359.9425752193595
70.0	1395.876207550448
71.0	1356.66891982917
72.0	1374.1404978017054
73.0	1384.5499821994224
74.0	1458.089575290069
75.0	1544.5826842722104
76.0	1704.429287910008
77.0	1796.0379828298899
78.0	1742.9717438347066
79.0	1645.6472877862204
80.0	1456.4633046902597
81.0	1386.7311556362556
82.0	1373.9107610648502
83.0	1302.895470277949
84.0	1265.5827922767687
85.0	1268.3703582980297
86.0	1199.837054926495
87.0	1227.3118550627828
88.0	1267.5701451944315
89.0	1363.7188587059702
90.0	1356.8700446177113
91.0	1315.7363086298385
92.0	1220.7459950062664
93.0	1210.8134879190698
94.0	1002.5640301849464
95.0	797.296835669133
96.0	499.388573050031
97.0	193.34828733736762
98.0	37.250589916942104
99.0	4.962919651058024
