CTRL-rep1	CTRL-rep2	CTRL-rep3	ESRP-DKO-rep1	ESRP-DKO-rep2	ESRP-DKO-rep3	
7.068	8.746	7.117	7.097	8.995	8.4	
7.125	8.744	7.166	7.128	9.018	8.394	
7.175	8.75	7.166	7.147	9.079	8.39	
7.171	8.735	7.195	7.166	9.08	8.425	
7.212	8.815	7.235	7.157	9.064	8.504	
7.228	8.77	7.254	7.158	9.092	8.505	
7.211	8.751	7.286	7.122	9.115	8.546	
7.175	8.811	7.295	7.128	9.102	8.559	
7.037	8.813	7.303	7.14	9.135	8.563	
7.046	8.793	7.341	7.143	9.137	8.554	
7.074	8.805	7.316	7.161	9.134	8.556	
7.107	8.798	7.305	7.177	9.177	8.546	
7.125	8.818	7.317	7.178	9.205	8.632	
7.154	8.818	7.33	7.19	9.189	8.579	
7.167	8.86	7.374	7.209	9.194	8.594	
7.214	8.885	7.365	7.217	9.202	8.612	
7.232	8.885	7.372	7.226	9.218	8.613	
7.264	8.889	7.394	7.222	9.225	8.612	
7.287	8.888	7.351	7.197	9.241	8.622	
7.272	8.882	7.357	7.205	9.255	8.642	
7.288	8.849	7.372	7.217	9.275	8.651	
7.296	8.852	7.38	7.248	9.266	8.663	
7.294	8.877	7.4	7.263	9.296	8.655	
7.329	8.865	7.408	7.295	9.32	8.647	
7.349	8.874	7.393	7.316	9.293	8.641	
7.337	8.858	7.388	7.342	9.285	8.669	
7.361	8.85	7.427	7.339	9.26	8.687	
7.433	8.862	7.433	7.317	9.247	8.71	
7.439	8.863	7.464	7.344	9.277	8.706	
7.452	8.87	7.457	7.359	9.339	8.826	
7.468	8.904	7.473	7.365	9.34	8.841	
7.502	8.943	7.505	7.368	9.339	8.941	
7.538	8.937	7.542	7.378	9.321	8.94	
7.517	8.921	7.556	7.422	9.329	8.983	
7.523	8.941	7.594	7.371	9.346	9.012	
7.546	8.934	7.626	7.39	9.347	9.031	
7.558	8.921	7.654	7.412	9.348	9.048	
7.563	8.931	7.697	7.4	9.36	9.038	
7.636	8.938	7.713	7.372	9.39	9.043	
7.687	8.948	7.73	7.362	9.41	9.084	
7.713	8.939	7.709	7.359	9.43	9.067	
7.714	8.941	7.78	7.378	9.468	9.041	
7.721	8.937	7.793	7.401	9.509	8.993	
7.717	8.925	7.817	7.443	9.518	8.978	
7.732	8.98	7.853	7.45	9.55	8.982	
7.735	9.004	7.876	7.464	9.543	8.98	
7.764	9.002	8.03	7.694	9.557	9.006	
7.779	9.039	8.062	7.715	9.558	9.038	
7.779	9.05	8.085	7.746	9.528	9.078	
7.793	9.132	8.111	7.74	9.592	9.105	
7.835	9.18	8.139	7.772	9.621	9.092	
7.835	9.205	8.176	7.792	9.659	9.131	
7.825	9.221	8.195	7.814	9.66	9.129	
7.869	9.184	8.214	7.879	9.693	9.142	
7.856	9.259	8.232	7.913	9.685	9.133	
7.847	9.251	8.207	7.936	9.724	9.101	
7.855	9.261	8.234	7.922	9.716	9.104	
7.868	9.291	8.253	7.931	9.774	9.086	
7.89	9.298	8.335	7.979	9.794	9.102	
7.901	9.298	8.339	7.982	9.873	9.111	
7.918	9.303	8.374	7.98	9.925	9.13	
