CTRL-rep1	CTRL-rep2	CTRL-rep3	ESRP-DKO-rep1	ESRP-DKO-rep2	ESRP-DKO-rep3	
5.159	4.823	4.365	4.845	4.802	5.565	
6.079	5.705	5.487	6.157	6.17	6.908	
7.004	6.676	6.51	7.381	7.458	7.83	
7.666	7.439	7.298	8.504	8.66	8.77	
8.326	7.706	7.835	9.055	9.748	9.272	
8.587	8.402	8.202	9.15	10.547	9.515	
8.963	8.983	8.767	9.361	10.23	9.913	
9.128	9.316	9.168	9.613	10.713	10.297	
9.248	9.656	9.605	9.731	10.699	10.435	
9.352	9.774	9.669	9.936	11.056	10.742	
9.56	10.237	9.926	10.359	11.2	10.882	
9.74	10.698	10.096	10.651	11.438	10.892	
9.861	10.896	10.206	10.847	11.516	10.956	
9.724	10.315	10.28	11.023	11.444	11.107	
9.734	9.972	10.33	11.028	11.536	11.272	
9.91	10.115	10.339	10.95	11.582	11.427	
9.931	10.219	10.157	10.9	11.619	11.517	
10.054	10.253	10.255	10.864	11.896	11.816	
10.173	10.394	10.294	10.937	12.142	11.657	
10.303	10.466	10.245	11.044	12.308	11.735	
10.333	10.566	10.1	11.224	12.423	11.712	
10.272	10.565	9.985	11.463	12.283	11.474	
10.191	10.564	10.015	11.466	12.216	11.288	
10.368	10.447	10.18	11.147	12.145	11.195	
10.254	10.446	10.056	11.025	12.215	10.932	
10.158	10.412	10.056	10.866	12.1	10.85	
10.129	10.481	10.132	10.811	12.118	11.062	
10.049	10.548	10.152	10.781	12.023	11.238	
10.055	10.71	10.081	10.815	12.086	11.211	
10.153	10.853	9.941	10.778	12.027	11.445	
10.078	10.692	9.883	10.667	11.992	11.454	
10.024	10.547	9.846	10.622	12.066	11.291	
10.097	10.396	9.828	10.95	12.08	11.359	
10.188	10.302	9.835	10.893	11.896	11.352	
10.078	10.353	10.032	10.996	11.92	11.337	
10.178	10.497	9.953	11.115	11.906	11.248	
10.128	10.689	9.905	10.739	11.879	11.074	
10.07	10.944	10.107	10.755	11.871	11.067	
9.917	10.97	10.029	10.636	11.896	11.149	
9.887	10.92	9.969	10.554	11.759	11.151	
9.872	10.93	10.097	10.506	11.622	11.034	
10.016	10.943	9.954	10.467	11.493	10.731	
10.16	11.059	9.98	10.689	11.442	10.666	
10.156	11.107	10.066	10.757	11.325	10.805	
10.189	10.975	10.243	10.807	11.366	10.785	
10.107	10.876	10.281	10.703	11.339	10.666	
10.064	10.907	10.24	10.731	11.398	10.783	
10.055	10.822	10.224	10.645	11.859	10.767	
10.323	10.767	10.249	10.782	11.707	10.847	
10.556	10.766	10.09	10.653	11.305	10.913	
10.43	10.794	10.01	10.68	11.312	10.87	
10.266	10.613	9.915	10.572	11.385	10.737	
10.187	10.47	9.83	10.302	11.522	10.75	
10.24	10.424	9.948	10.26	11.751	10.659	
10.049	10.49	9.994	9.961	11.941	10.688	
9.951	10.581	10.08	10.033	12.075	10.751	
9.814	10.523	10.269	10.269	12.161	10.741	
9.862	10.463	10.296	10.495	12.198	10.883	
9.826	10.555	10.236	10.552	12.241	10.959	
9.933	10.646	10.121	10.569	12.143	11.023	
9.861	10.692	9.881	10.57	12.035	10.901	
9.689	10.848	9.977	10.383	12.054	10.882	
9.769	10.857	9.939	10.46	12.011	10.697	
9.984	10.534	10.016	10.465	12.065	10.522	
9.963	10.456	10.151	10.495	12.014	10.668	
9.986	10.506	10.223	10.364	11.752	10.724	
10.021	10.535	10.248	10.369	11.611	11.077	
10.028	10.431	10.248	10.307	11.762	11.142	
10.002	10.38	10.161	10.379	11.897	11.207	
9.905	10.472	10.022	10.36	11.963	11.066	
9.839	10.431	9.866	10.24	11.846	10.935	
9.841	10.492	10.018	10.127	11.928	10.971	
9.815	10.585	9.929	10.115	11.872	10.994	
9.822	10.644	10.113	10.37	11.87	11.033	
9.856	10.561	10.189	10.501	11.86	11.023	
9.732	10.631	10.118	10.666	11.731	11.012	
9.688	10.684	10.193	10.717	11.872	10.92	
9.697	10.848	10.241	10.571	12.062	11.026	
9.615	10.637	10.25	10.441	12.031	10.805	
9.596	10.377	10.119	10.404	12.0	10.737	
9.708	10.258	10.074	10.233	11.943	10.673	
9.802	10.587	10.209	10.239	12.032	10.744	
9.957	10.675	10.321	10.122	12.094	10.77	
9.837	10.67	10.443	10.148	12.007	10.57	
9.728	10.777	10.578	10.242	11.952	10.504	
9.698	10.771	10.572	10.244	11.982	10.501	
9.565	10.543	10.371	10.289	11.967	10.372	
9.538	10.472	10.146	10.422	12.218	10.451	
9.521	10.323	10.097	10.358	12.024	10.724	
9.402	10.141	10.133	10.204	11.678	10.765	
9.251	10.028	10.021	10.382	11.372	10.608	
9.2	10.136	9.88	10.32	11.263	10.459	
9.135	10.185	9.659	10.044	11.387	10.4	
9.041	10.108	9.51	9.933	11.248	10.317	
8.889	10.079	9.558	9.61	11.1	10.304	
8.606	10.069	9.235	9.431	10.832	10.032	
8.28	9.862	8.845	9.19	10.576	9.663	
7.851	9.513	8.384	8.534	10.087	9.327	
7.352	9.018	7.637	7.673	9.475	8.861	
6.95	8.582	7.009	7.024	8.936	8.31	
