CTRL-rep1	CTRL-rep2	CTRL-rep3	ESRP-DKO-rep1	ESRP-DKO-rep2	ESRP-DKO-rep3	
15.188	15.535	17.479	16.052	17.79	16.303	
20.209	20.599	21.802	19.448	22.185	20.662	
24.323	24.795	25.505	22.928	26.117	25.038	
27.245	28.554	28.86	26.238	29.527	29.074	
29.05	30.855	31.667	28.911	31.919	32.068	
30.797	33.206	33.071	31.228	33.486	33.993	
31.978	34.137	33.845	33.355	35.453	35.447	
33.329	35.228	35.178	35.584	37.562	36.771	
35.258	36.949	36.456	37.133	39.555	38.212	
37.361	38.719	38.131	38.587	41.108	39.695	
38.841	40.508	39.924	40.081	43.35	41.553	
39.247	41.316	40.636	41.335	44.15	42.479	
39.643	41.853	41.279	42.446	45.255	43.52	
40.279	42.834	41.865	43.461	45.614	44.183	
40.441	42.839	42.302	44.264	46.193	45.308	
41.405	44.134	42.772	44.659	46.921	45.889	
42.174	44.942	42.981	44.985	47.461	46.309	
42.572	45.255	42.981	45.265	47.864	47.261	
43.585	45.599	43.491	45.724	48.481	47.603	
44.055	45.958	43.984	45.778	48.61	47.192	
43.772	45.686	44.437	46.458	48.821	46.994	
43.617	46.282	44.515	46.333	49.525	47.73	
44.018	46.159	44.799	46.271	49.969	47.88	
43.806	45.165	45.433	46.632	50.416	48.15	
44.369	45.409	45.928	46.619	50.933	48.371	
44.387	46.066	46.058	46.775	51.777	48.535	
44.481	46.538	46.165	46.984	52.319	49.067	
44.693	46.303	46.427	47.628	52.393	49.335	
44.767	46.155	46.766	48.676	52.628	49.786	
45.186	46.04	47.507	49.216	53.084	49.881	
45.234	46.03	47.841	49.468	53.668	50.465	
44.891	46.21	47.719	49.866	54.086	50.903	
44.825	46.61	47.479	50.338	53.973	50.954	
44.319	47.679	47.387	50.576	54.245	51.245	
44.726	48.289	47.094	50.541	54.381	50.96	
44.812	48.291	47.517	50.325	54.427	51.045	
45.087	48.381	47.965	50.31	54.423	51.186	
45.181	48.195	47.99	50.477	54.774	51.083	
45.055	48.264	47.995	50.926	54.777	51.586	
45.098	48.139	47.539	50.934	54.715	51.626	
44.956	48.264	47.388	51.14	54.291	52.07	
44.769	48.276	47.425	51.53	54.185	52.297	
45.104	48.589	47.232	51.556	54.473	52.307	
45.102	48.239	47.46	52.052	54.965	51.894	
45.188	48.125	47.51	52.267	54.767	51.465	
44.858	48.398	47.761	51.848	54.602	51.78	
44.755	48.322	47.95	51.396	54.346	50.982	
44.928	48.518	47.821	51.159	54.235	50.658	
45.108	48.452	47.681	50.951	53.594	49.929	
44.891	48.411	47.548	50.73	53.513	49.975	
44.804	48.062	47.811	50.91	53.874	49.613	
44.464	48.17	48.55	50.951	53.957	49.768	
44.67	48.637	48.793	51.059	54.434	50.112	
44.767	48.674	48.918	50.725	54.576	50.909	
44.445	48.346	49.007	50.732	54.662	51.321	
43.951	48.203	48.524	50.928	54.452	51.282	
43.326	47.973	48.025	50.374	53.923	50.898	
43.076	47.652	48.137	50.5	53.968	51.019	
43.731	47.416	48.535	50.73	53.845	51.292	
44.486	47.002	48.496	50.249	53.646	51.423	
44.75	47.012	48.596	50.296	53.627	51.127	
44.313	47.269	48.261	49.781	53.648	51.085	
44.288	47.331	47.948	49.529	53.385	50.69	
44.16	46.845	47.504	49.67	53.469	50.315	
44.046	46.84	47.152	49.646	53.255	49.971	
44.629	46.843	47.367	49.834	53.033	50.287	
44.776	46.544	46.909	49.822	52.567	50.497	
44.848	45.782	46.987	49.214	52.586	50.685	
44.61	45.608	46.677	48.802	52.397	50.332	
44.624	45.616	45.76	48.477	51.918	49.797	
44.488	45.442	45.112	48.152	51.805	49.857	
44.298	45.257	44.741	48.559	51.972	49.715	
43.878	45.062	44.768	48.592	52.123	49.425	
43.876	45.136	44.681	48.481	52.407	49.207	
44.105	44.913	45.069	47.804	52.164	48.681	
44.328	44.466	45.68	47.301	51.579	48.569	
44.047	44.161	45.879	46.967	51.004	47.955	
44.085	44.404	45.842	47.062	50.629	47.866	
43.855	44.393	45.938	46.945	50.772	47.32	
43.196	44.46	45.811	46.628	50.401	47.236	
42.864	44.345	45.864	46.689	50.189	47.487	
42.899	44.273	45.619	46.102	49.802	47.026	
42.794	44.169	45.601	46.036	49.575	46.577	
42.477	44.044	45.256	45.974	49.623	46.413	
42.407	43.747	44.179	45.944	49.942	46.2	
42.543	43.154	43.599	45.518	49.595	45.572	
43.27	43.108	43.502	45.302	49.322	45.717	
43.346	42.982	43.421	44.702	48.339	45.619	
42.556	42.613	42.977	44.726	47.738	44.843	
41.825	42.279	42.455	44.44	47.821	44.482	
40.906	41.88	41.877	43.959	47.734	43.713	
40.078	41.21	40.855	42.78	46.739	43.193	
39.363	40.668	39.802	41.546	45.739	42.82	
38.499	39.72	38.976	40.326	44.859	41.626	
37.39	38.08	37.88	38.949	43.505	40.395	
36.049	36.564	36.44	37.395	42.11	39.107	
34.768	34.272	34.736	35.834	40.22	37.61	
33.028	32.126	32.467	33.551	37.805	35.291	
30.772	30.003	29.813	30.717	34.739	32.997	
28.51	27.714	27.404	28.253	32.057	30.641	
