CTRL-rep1	CTRL-rep2	CTRL-rep3	ESRP-DKO-rep1	ESRP-DKO-rep2	ESRP-DKO-rep3	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
34	25	39	28	35	31	
30	31	30	38	19	29	
22	33	28	31	34	33	
27	37	33	28	32	28	
24	15	24	37	16	23	
20	20	23	36	23	27	
39	25	24	29	30	30	
27	11	26	27	31	27	
22	26	31	22	28	23	
25	28	23	40	29	19	
27	24	20	28	18	20	
22	18	17	18	21	30	
28	21	16	27	23	20	
21	23	14	19	28	23	
17	16	18	24	21	18	
16	20	26	27	18	15	
22	21	20	19	15	13	
21	18	21	17	25	18	
23	19	18	29	14	12	
23	19	23	23	22	17	
20	24	17	14	24	9	
25	20	20	17	18	24	
24	21	13	21	28	17	
23	16	25	10	17	13	
21	17	19	18	17	16	
24	18	14	12	17	21	
16	12	9	14	23	14	
14	17	17	18	13	16	
20	30	9	13	17	25	
12	18	14	3	17	12	
12	17	11	20	14	13	
13	29	13	11	13	17	
19	19	17	21	19	11	
22	9	15	14	13	13	
22	20	14	15	12	16	
11	7	9	11	22	11	
11	17	13	11	13	17	
14	15	16	9	16	11	
11	13	12	17	18	12	
19	12	11	15	21	17	
15	19	10	15	8	12	
25	9	20	21	13	14	
16	9	10	12	11	8	
8	9	11	12	10	13	
7	8	8	11	9	12	
22	8	10	14	10	13	
17	12	14	15	15	9	
5	11	10	8	17	10	
9	9	9	8	6	13	
12	6	10	13	8	7	
9	12	10	12	7	10	
11	5	11	8	18	8	
11	12	13	13	7	7	
11	16	9	9	14	6	
12	12	15	8	14	10	
11	8	10	10	11	8	
10	5	10	16	4	10	
4	12	9	22	10	4	
10	9	10	26	11	6	
9	13	13	10	15	11	
7	8	5	9	11	8	
8	3	8	7	6	7	
3	3	8	11	9	6	
6	6	10	11	7	11	
9	10	6	11	15	11	
9	7	5	8	8	6	
7	4	11	7	7	6	
8	12	7	14	4	7	
5	9	10	5	6	6	
7	8	9	8	8	7	
4	9	6	12	3	11	
8	10	5	9	11	8	
11	7	8	7	10	9	
5	4	5	7	7	8	
1	5	10	11	10	8	
7	6	2	6	5	5	
3	5	4	4	8	7	
3	7	7	11	1	9	
5	5	8	10	8	4	
5	6	3	6	2	6	
9	4	3	5	6	6	
8	5	7	5	4	6	
9	9	5	8	1	5	
4	5	4	5	11	7	
4	4	14	2	7	5	
3	3	8	9	4	1	
5	4	6	7	3	9	
4	4	6	3	8	5	
6	7	9	8	3	4	
5	4	4	5	4	2	
6	4	1	4	6	4	
4	4	7	10	6	5	
6	8	4	1	5	5	
5	3	8	3	7	9	
8	4	8	5	5	2	
8	3	3	1	5	2	
5	2	4	7	3	2	
2	5	7	5	6	1	
4	4	4	7	4	7	
7	3	5	5	6	6	
12	3	8	5	5	2	
8	4	3	1	3	5	
5	2	2	3	3	3	
3	8	4	4	2	7	
6	7	3	5	7	2	
7	3	6	5	1	4	
0	2	7	4	6	5	
7	4	3	10	4	1	
9	9	4	1	2	2	
6	8	4	3	7	2	
6	7	3	5	3	6	
4	3	4	5	3	4	
4	4	2	5	1	4	
7	7	6	4	4	7	
1	3	6	3	2	7	
3	3	5	5	6	1	
8	5	6	5	2	3	
5	9	2	4	3	8	
2	5	5	6	2	4	
2	5	2	3	7	4	
6	7	3	10	5	4	
9	2	7	4	4	6	
4	5	2	4	3	8	
3	4	4	9	5	5	
4	3	5	4	4	3	
7	1	3	3	0	3	
2	7	4	2	4	4	
3	3	4	4	7	3	
5	3	2	3	5	2	
3	3	2	3	5	4	
3	3	3	2	2	4	
6	1	4	3	1	5	
5	7	6	1	2	4	
3	5	0	1	2	3	
6	6	2	6	3	2	
3	4	2	3	2	3	
3	0	4	2	5	3	
1	3	3	5	1	0	
6	5	5	3	2	4	
2	7	1	2	4	1	
3	2	7	1	2	6	
3	0	6	1	3	4	
3	3	3	4	0	3	
1	2	4	2	3	2	
2	5	3	5	6	3	
0	2	2	6	2	3	
2	2	0	3	2	2	
5	4	3	4	4	5	
1	5	5	1	3	3	
2	3	3	4	5	9	
0	0	2	2	3	2	
6	1	4	5	3	3	
0	6	0	1	2	3	
1	1	1	4	3	2	
3	1	2	1	2	3	
0	2	4	2	2	2	
0	1	1	3	1	4	
5	0	4	3	4	3	
3	1	0	4	0	2	
2	1	0	3	4	2	
1	3	2	5	3	0	
6	3	0	3	1	1	
3	4	2	2	1	1	
3	4	4	1	1	1	
3	2	0	0	2	3	
3	1	2	3	3	0	
0	5	3	1	2	5	
1	3	2	1	4	2	
3	3	0	3	0	3	
1	2	1	5	0	3	
2	2	1	1	5	0	
2	3	2	2	3	5	
1	0	4	1	0	1	
1	4	2	2	2	3	
2	3	2	5	1	2	
6	5	2	1	1	1	
2	4	1	2	1	0	
1	1	4	2	0	3	
1	4	1	3	3	1	
5	0	2	4	0	0	
1	1	3	3	3	3	
2	5	0	4	4	3	
1	3	2	1	1	1	
3	2	8	3	4	1	
1	4	1	3	1	1	
5	3	2	0	4	5	
1	3	2	0	1	1	
3	0	5	2	3	2	
2	2	6	1	3	1	
3	3	2	0	2	1	
3	2	1	2	0	1	
3	2	5	0	2	1	
2	2	2	1	2	3	
2	0	1	1	2	3	
3	3	1	1	2	2	
0	2	2	2	0	3	
2	3	0	2	0	2	
1	2	4	3	1	4	
1	2	1	1	0	1	
1	1	0	1	2	3	
0	0	1	0	1	3	
2	0	6	3	0	3	
2	2	1	2	2	1	
3	0	3	1	1	2	
1	1	1	4	0	1	
0	3	1	0	1	1	
2	1	0	3	2	3	
1	0	2	0	1	4	
1	2	1	3	5	0	
2	2	3	1	3	1	
1	0	1	1	0	2	
4	4	2	3	2	1	
1	3	2	1	1	4	
3	1	0	1	2	2	
3	1	0	4	0	0	
1	3	3	1	2	2	
3	1	0	0	0	0	
2	1	3	1	0	1	
1	1	3	0	2	4	
1	0	2	2	2	1	
3	1	4	0	3	0	
1	0	1	0	1	4	
4	1	2	2	2	2	
0	2	0	0	0	1	
4	0	1	1	2	0	
0	3	1	1	1	2	
3	4	0	0	0	0	
2	1	2	2	7	0	
1	0	3	1	1	1	
1	2	3	1	4	2	
3	1	2	6	1	1	
0	3	3	4	3	2	
0	2	1	1	2	0	
1	1	2	3	3	4	
1	1	2	4	0	0	
2	1	1	1	5	3	
4	0	2	0	3	3	
0	0	2	3	4	1	
1	2	3	7	1	2	
2	1	1	2	5	0	
0	0	2	3	1	2	
0	1	2	4	2	0	
0	2	2	0	1	3	
2	0	1	2	2	2	
0	2	0	1	0	1	
1	1	3	0	0	0	
1	3	2	3	1	1	
2	1	0	3	2	0	
3	1	0	0	1	0	
2	1	0	0	3	0	
1	0	1	2	0	0	
1	0	1	3	1	0	
1	0	1	1	0	0	
0	0	0	0	1	1	
1	2	2	0	1	0	
1	0	2	0	0	0	
1	1	1	0	2	1	
0	1	1	0	3	2	
0	2	1	1	0	1	
2	1	1	0	0	1	
4	3	0	7	0	3	
0	0	2	2	1	2	
0	3	1	1	0	2	
1	1	2	1	1	0	
2	1	2	0	1	0	
0	0	1	0	1	2	
0	2	1	2	2	1	
1	3	2	1	2	1	
0	2	2	0	2	1	
0	0	1	1	4	0	
1	0	1	0	2	1	
2	0	1	0	0	0	
1	2	1	0	3	1	
0	0	0	2	0	3	
1	2	1	0	0	1	
2	0	0	0	0	2	
0	0	0	0	1	0	
0	1	1	0	0	0	
0	0	1	0	0	1	
1	1	0	2	1	1	
2	1	0	0	0	1	
2	1	1	1	2	0	
1	0	1	0	1	2	
0	1	0	4	0	1	
0	0	1	0	0	1	
3	1	0	0	0	1	
1	1	2	3	1	0	
1	1	0	1	1	1	
2	0	1	2	0	1	
3	1	0	1	3	0	
2	1	0	0	0	0	
0	1	0	0	2	1	
2	1	1	1	2	1	
2	1	0	1	0	0	
2	5	2	1	1	3	
1	1	0	0	1	1	
