BISCUITqc Mapping Quality Table
MapQ	Count
unmapped	7271756
0	11657199
1	140688
2	100248
3	160135
4	112468
5	106589
6	179964
7	172852
8	57573
9	284547
10	65906
11	56419
12	108093
13	69332
14	36287
15	95580
16	45417
17	41925
18	86486
19	82454
20	27141
21	138987
22	34279
23	32364
24	54733
25	41048
26	31209
27	49981
28	38880
29	34189
30	70186
31	61179
32	17607
33	91782
34	20860
35	20445
36	42267
37	28301
38	19879
39	37282
40	1148831
41	41122
42	50422
43	65448
44	81490
45	117927
46	333585
47	40059
48	46860
49	64072
50	58662
51	62699
52	174956
53	38212
54	41585
55	49408
56	28307
57	42404
58	91452
59	35650
60	10706790
