BISCUITqc Retention Distribution Table
RetentionFraction	Count
  0	548005
  1	148
  2	171
  3	145
  4	138
  5	244
  6	320
  7	367
  8	678
  9	501
 10	654
 11	956
 12	1403
 13	50
 14	2093
 15	71
 16	10
 17	3292
 18	134
 19	22
 20	5596
 21	34
 22	268
 23	27
 24	16
 25	10707
 26	9
 27	94
 28	15
 29	778
 30	125
 31	43
 32	12
 33	24168
 34	9
 35	24
 36	108
 37	12
 38	358
 39	12
 40	2810
 41	17
 42	84
 43	682
 44	198
 45	98
 46	52
 47	43
 48	19
 49	3
 50	7892
 51	3
 52	11
 53	50
 54	50
 55	91
 56	203
 57	620
 58	54
 59	17
 60	2732
 61	8
 62	353
 63	8
 64	108
 65	22
 66	6
 67	21942
 68	22
 69	66
 70	116
 71	669
 72	13
 73	107
 74	11
 75	8899
 76	24
 77	48
 78	256
 79	47
 80	4016
 81	38
 82	125
 83	2097
 84	19
 85	59
 86	1192
 87	43
 88	825
 89	511
 90	350
 91	251
 92	294
 93	189
 94	159
 95	133
 96	120
 97	105
 98	84
 99	36
100	269809
