BISCUITqc Frequency of Total Retention per Read Table
CTXT	numRET	Cnt
CA	0	13266485
CA	1	1963068
CA	2	443897
CA	3	173335
CA	4	74067
CA	5	27568
CA	6	11048
CA	7	5696
CA	8	4078
CA	9	3221
CA	10	2654
CA	11	2162
CA	12	1715
CA	13	1241
CA	14	1051
CA	15	837
CA	16	707
CA	17	631
CA	18	568
CA	19	440
CA	20	487
CA	21	486
CA	22	482
CA	23	555
CA	24	552
CA	25	588
CA	26	633
CA	27	620
CA	28	689
CA	29	732
CA	30	778
CA	31	772
CA	32	730
CA	33	622
CA	34	504
CA	35	450
CA	36	383
CA	37	344
CA	38	302
CA	39	254
CA	40	178
CA	41	133
CA	42	101
CA	43	75
CA	44	63
CA	45	42
CA	46	20
CA	47	11
CA	48	5
CA	49	6
CC	0	13917383
CC	1	1245884
CC	2	310056
CC	3	142504
CC	4	86600
CC	5	68429
CC	6	61892
CC	7	45912
CC	8	39030
CC	9	29187
CC	10	16943
CC	11	9914
CC	12	6283
CC	13	3997
CC	14	2807
CC	15	1915
CC	16	1544
CC	17	1139
CC	18	952
CC	19	776
CC	20	617
CC	21	415
CC	22	318
CC	23	262
CC	24	201
CC	25	170
CC	26	110
CC	27	101
CC	28	94
CC	29	54
CC	30	62
CC	31	55
CC	32	51
CC	33	53
CC	34	31
CC	35	29
CC	36	23
CC	37	39
CC	38	26
CC	39	28
CC	40	21
CC	41	11
CC	42	15
CC	43	16
CC	44	13
CC	45	14
CC	46	7
CC	47	9
CC	48	11
CC	49	11
CC	50	17
CC	51	12
CC	52	15
CC	53	8
CG	0	10603953
CG	1	3421194
CG	2	1358088
CG	3	429030
CG	4	125226
CG	5	38312
CG	6	12850
CG	7	4636
CG	8	1633
CG	9	645
CG	10	314
CG	11	109
CG	12	48
CG	13	10
CG	14	11
CG	15	5
CG	16	1
CG	18	1
CT	0	13698803
CT	1	1699507
CT	2	360632
CT	3	133649
CT	4	50243
CT	5	20217
CT	6	10207
CT	7	6383
CT	8	4379
CT	9	3015
CT	10	2060
CT	11	1547
CT	12	1064
CT	13	742
CT	14	580
CT	15	387
CT	16	364
CT	17	240
CT	18	197
CT	19	159
CT	20	149
CT	21	161
CT	22	159
CT	23	133
CT	24	130
CT	25	134
CT	26	133
CT	27	125
CT	28	119
CT	29	119
CT	30	98
CT	31	66
CT	32	59
CT	33	49
CT	34	23
CT	35	12
CT	36	9
CT	37	5
CT	38	4
CT	39	3
CT	41	1
