BISCUITqc Mapping Quality Table
MapQ	Count
unmapped	7262577
0	18473997
1	168691
2	120595
3	185936
4	133461
5	125613
6	196449
7	191562
8	67546
9	298498
10	77580
11	65572
12	115459
13	82371
14	42825
15	110538
16	53458
17	49093
18	92086
19	90993
20	33070
21	145326
22	41320
23	38595
24	59278
25	49263
26	37302
27	58079
28	47683
29	41682
30	77095
31	71125
32	21341
33	100599
34	25201
35	24987
36	46681
37	34227
38	24254
39	43819
40	1270321
41	49427
42	61024
43	74087
44	91907
45	130307
46	322170
47	47441
48	55252
49	73794
50	67379
51	74541
52	180228
53	44135
54	48861
55	55138
56	33054
57	47995
58	92768
59	43127
60	12344229
